"yr_monitoring","labnum_mom","prefered_labnum_mom","colony","rfid_mom","yr_birth_mom","labnum_off","sex_off","rfid_off","yr_birth_off"
"<1995","","","GB2","",NA,"584","f","5E44","<1995"
"<1995","","","GB2","",NA,"585","f","ECD5","<1995"
"<1995","","","GB2","",NA,"591","f","D008","<1995"
"<1995","","","GB2","",NA,"594","f","5862","<1995"
"<1995","","","GB2","",NA,"597","f","5E7B","<1995"
"<1995","","","GB2","",NA,"599","f","5C0C","<1995"
"<1995","","","GB2","",NA,"607","f","B0CD","<1995"
"<1995","","","GB2","",NA,"427","f","0C9F","<1995"
"<1995","","","GB2","",NA,"428","f","693C","<1995"
"<1995","","","GB2","",NA,"429","f","586A","<1995"
"<1995","","","GB2","",NA,"430","f","A3C3","<1995"
"<1995","","","GB2","",NA,"431","f","66EE","<1995"
"<1995","","","GB2","",NA,"432","f","C50A","<1995"
"<1995","","","GB2","",NA,"433","f","5574","<1995"
"<1995","","","GB2","",NA,"436","f","7ADA","<1995"
"<1995","","","GB2","",NA,"437","f","10BF","<1995"
"<1995","","","GB2","",NA,"438","f","4AA3","<1995"
"<1995","","","GB2","",NA,"441","f","DFED","<1995"
"<1995","","","GB2","",NA,"443","f","E76D","<1995"
"<1995","","","GB2","",NA,"444","f","1775","<1995"
"<1995","","","GB2","",NA,"545","f","BCFB=DEFEKT","<1995"
"<1995","","","GB2","",NA,"578","f","91BB=5642","<1995"
"<1996","","","GB2","",NA,"439","f","f439","<1996"
"<1996","","","GB2","",NA,"440","f","f440","<1996"
"1995","435","","GB2","",NA,"","","",""
"1995","439","","GB2","",NA,"","","",""
"1995","442","","GB2","",NA,"","","",""
"1995","427=608","","GB2","",NA,"","","",""
"1995","428=601","","GB2","",NA,"","","",""
"1995","429=590","","GB2","",NA,"","","",""
"1995","430=600","","GB2","",NA,"","","",""
"1995","431=597","","GB2","",NA,"","","",""
"1995","432=603","","GB2","",NA,"","","",""
"1995","433=613","","GB2","",NA,"","","",""
"1995","434=597","","GB2","",NA,"","","",""
"1995","436=595","","GB2","",NA,"","","",""
"1995","437=d09","","GB2","",NA,"","","",""
"1995","438=582","","GB2","",NA,"","","",""
"1995","440=607","","GB2","",NA,"","","",""
"1995","441=589","","GB2","",NA,"","","",""
"1995","443=605","","GB2","",NA,"","","",""
"1995","444=593","","GB2","",NA,"","","",""
"1995","","","GB2","",NA,"583","f","ED06","1995"
"1995","","","GB2","",NA,"592","f","CECC","1995"
