"rfid_mom","rfid_off","pairID","year"
"B587","5672","5672-B587",2013
"6D0D","4C7B","4C7B-6D0D",2013
"07F9","BF04","07F9-BF04",2013
"0D1B","4FE4","0D1B-4FE4",2013
"24E9","41C1","24E9-41C1",2013
"B587","879F","879F-B587",2014
"4ECA","29B2","29B2-4ECA",2014
"AA57","076C","076C-AA57",2014
"BF04","7C6F","7C6F-BF04",2014
"5672","22B0","22B0-5672",2014
"377E","E063","377E-E063",2014
"3CA1","5ACA","3CA1-5ACA",2014
"D726","6BD8","6BD8-D726",2014
"4ECA","9A91","4ECA-9A91",2015
"B75C","663E","663E-B75C",2015
"41C1","2BFD","2BFD-41C1",2015
"BF04","F534","BF04-F534",2015
"879F","6B55","6B55-879F",2015
"E063","125F","125F-E063",2015
"3F49","EC1A","3F49-EC1A",2015
"1731","256A","1731-256A",2015
"39ED","D14D","39ED-D14D",2016
"41C1","F377","41C1-F377",2016
"29B2","0758","0758-29B2",2016
"41C1","9FB7","41C1-9FB7",2017
"879F","2F8D","2F8D-879F",2017
"29B2","D629","29B2-D629",2017
"663E","A539","663E-A539",2017
"256A","15BF","15BF-256A",2017
"0758","C5F2","0758-C5F2",2017
"377E","DCCF","377E-DCCF",2017
"24E9","44BD","24E9-44BD",2017
"4FE4","F44A","4FE4-F44A",2017
"F377","ACF4","ACF4-F377",2017
"39ED","80F1","39ED-80F1",2018
"AC35","AA3C","AA3C-AC35",2018
"41C1","A5EF","41C1-A5EF",2018
"BF04","898A","898A-BF04",2018
"076C","9407","076C-9407",2018
"D629","0255","0255-D629",2018
"C5F2","9A21","9A21-C5F2",2018
"377E","5939","377E-5939",2018
"7C6F","CB2B","7C6F-CB2B",2018
"F377","204F","204F-F377",2018
"41C1","A24D","41C1-A24D",2019
"0758","1958","0758-1958",2019
"D14D","5909","5909-D14D",2019
"F44A","2D31","2D31-F44A",2019
"377E","B8A2","377E-B8A2",2019
"F377","B1E3","B1E3-F377",2019
"4ECA","C809","4ECA-C809",2020
"AC35","D3E1","AC35-D3E1",2020
"41C1","B5D9","41C1-B5D9",2020
"BF04","F429","BF04-F429",2020
"879F","AC37","879F-AC37",2020
"EC1A","82C7","82C7-EC1A",2020
"663E","0387","0387-663E",2020
"F44A","5A31","5A31-F44A",2020
"DCCF","3CC1","3CC1-DCCF",2020
"80F1","9A5D","80F1-9A5D",2020
"CB2B","8787","8787-CB2B",2020
"0255","3C0F","0255-3C0F",2020
"1731","D4DC","1731-D4DC",2020
"4FE4","418B","418B-4FE4",2020
"15BF","A312","15BF-A312",2020
"39ED","A16E","39ED-A16E",2021
"AC35","A816","A816-AC35",2021
"41C1","34C9","34C9-41C1",2021
"BF04","8666","8666-BF04",2021
"E063","B3E8","B3E8-E063",2021
"076C","494F","076C-494F",2021
"F44A","9A80","9A80-F44A",2021
"A539","D849","A539-D849",2021
"44BD","0734","0734-44BD",2021
"D629","8106","8106-D629",2021
"C5F2","0145","0145-C5F2",2021
"AA3C","A42D","A42D-AA3C",2021
"AC37","DFAD","AC37-DFAD",2021
"15BF","8BE4","15BF-8BE4",2021
"41C1","0636","0636-41C1",2022
"BF04","12D7","12D7-BF04",2022
"879F","0F3D","0F3D-879F",2022
"E063","CC06","CC06-E063",2022
"22B0","8C52","22B0-8C52",2022
"663E","0896","0896-663E",2022
"F44A","922C","922C-F44A",2022
"A539","FB4B","A539-FB4B",2022
"44BD","F4D9","44BD-F4D9",2022
"D629","054D","054D-D629",2022
"AA3C","0A62","0A62-AA3C",2022
"5939","1270","1270-5939",2022
"A24D","9907","9907-A24D",2022
"2D31","8B80","2D31-8B80",2022
"D4DC","F948","D4DC-F948",2022
"418B","B484","418B-B484",2022
"8787","D6D5","8787-D6D5",2022
"A816","B0C8","A816-B0C8",2022
"F377","EB80","EB80-F377",2022
"D14D","BA7C","BA7C-D14D",2022
"39ED","0482","0482-39ED",2023
"663E","10B4","10B4-663E",2023
"F44A","09B4","09B4-F44A",2023
"44BD","062C","062C-44BD",2023
"C5F2","104E","104E-C5F2",2023
"80F1","F1D5","80F1-F1D5",2023
"CB2B","088C","088C-CB2B",2023
"0255","0739","0255-0739",2023
"C809","f5161","C809-f5161",2023
"3CC1","0DE4","0DE4-3CC1",2023
"418B","0B04","0B04-418B",2023
"494F","04D3","04D3-494F",2023
"0145","0BA0","0145-0BA0",2023
"8BE4","10B6","10B6-8BE4",2023
"0896","0CE1","0896-0CE1",2023
"BA7C","0122","0122-BA7C",2023
"DFAD","04DB","04DB-DFAD",2023
