"rfid_mom","rfid_off","year","pairID"
"61B2","A4F8",2013,"61B2-A4F8"
"5EBF3C","5971",2013,"5971-5EBF3C"
"5EBF3C","900E",2013,"5EBF3C-900E"
"1F36","A093",2013,"1F36-A093"
"C073","0832",2013,"0832-C073"
"4D10","8712",2014,"4D10-8712"
"61B2","1338",2014,"1338-61B2"
"4FCA","5876",2014,"4FCA-5876"
"9900","A290",2015,"9900-A290"
"5440","E89B",2015,"5440-E89B"
"8712","4107",2015,"4107-8712"
"A1D2","238E",2015,"238E-A1D2"
"9900","175F",2016,"175F-9900"
"775E","FA6F",2016,"775E-FA6F"
"A093","110D",2016,"110D-A093"
"1338","1E39",2016,"1338-1E39"
"A1D2","2562",2016,"2562-A1D2"
"E89B","FA5B",2017,"E89B-FA5B"
"4107","F886",2017,"4107-F886"
"A290","ED72",2017,"A290-ED72"
"1E39","D8F5",2017,"1E39-D8F5"
"4FCA","FBF5",2017,"4FCA-FBF5"
"775E","A1CE",2018,"775E-A1CE"
"8712","4999",2018,"4999-8712"
"2562","101F",2018,"101F-2562"
"1E39","EDDE",2018,"1E39-EDDE"
"B2-94D3","B5F7",2018,"B2-94D3-B5F7"
"5440","B311",2019,"5440-B311"
"A4F8","50FB",2019,"50FB-A4F8"
"238E","F6AA",2019,"238E-F6AA"
"2562","48AB",2020,"2562-48AB"
"1E39","F50E",2020,"1E39-F50E"
"A1CE","A41C",2020,"A1CE-A41C"
"B311","7789",2020,"7789-B311"
"D8F5","ED95",2021,"D8F5-ED95"
"4999","8EBE",2021,"4999-8EBE"
"B5F7","D3B0",2021,"B5F7-D3B0"
"7789","100F",2021,"100F-7789"
"F50E","AE33",2021,"AE33-F50E"
"E89B","877B",2022,"877B-E89B"
"2562","96BF",2022,"2562-96BF"
"B5F7","91BD",2022,"91BD-B5F7"
"48AB","8870",2022,"48AB-8870"
"100F","909D",2022,"100F-909D"
"4999","0222",2023,"0222-4999"
"B5F7","1153",2023,"1153-B5F7"
"100F","0ACE",2023,"0ACE-100F"
"8870","06E6",2023,"06E6-8870"
