number;Year;Month;Day;0D1B;1731;9E17;6D0D;2C18;2F15;07F9;3D98;B587;377E;3CA1;3F49;24E9;A8D2;4ECA;39ED;B75C;AC35;AA57;5108;52AD;BF04;5672;4FE4;4C7B;41C1;;
05.08.2013;2013;8;5;107;107;;107;107;;107;19;107;107;107;;107;107;;107;;;;;107;107;107;107;107;;17;Abfang
06.08.2013;2013;8;6;75;;75;75;75;75;75;75;75;;75;75;2;75;75;75;2;75;75;;75;75;75;75;75;75;23;
07.08.2013;2013;8;7;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Tiere abends in Kasten, aber keine Aufnahmen vor 3:50? Ring war gut platziert
08.08.2013;2013;8;8;31;31;31;31;61;31;31;61;45;31;31;61;31;31;31;31;;31;45;45;31;31;31;61;31;31;25;Abfang
09.08.2013;2013;8;9;95;19;19;95;;19;19;95;19;95;95;19;95;19;19;19;;19;19;95;19;19;95;19;19;19;24;
10.08.2013;2013;8;10;11;11;;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;;95;11;11;11;11;11;11;24;
11.08.2013;2013;8;11;95;95;95;95;95;95;95;95;95;95;95;95;95;;95;95;95;95;95;95;95;95;95;95;95;95;25;
12.08.2013;2013;8;12;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;;;42;42;42;42;42;42;24;
13.08.2013;2013;8;13;42;42;42;42;42;42;;42;42;42;42;42;42;42;39;;;;39;;42;42;42;42;42;42;21;
14.08.2013;2013;8;14;34;34;39;34;39;39;39;39;39;34;39;39;39;34;34;39;;39;34;34;34;34;34;;39;39;24;
15.08.2013;2013;8;15;154;154;;154;154;154;154;154;154;154;154;154;154;154;154;154;;;154;;154;154;154;154;154;154;22;
16.08.2013;2013;8;16;7;7;7;;;2;2;7;7;2;2;2;2;;2;7;;;;;2;2;2;;2;2;18;
17.08.2013;2013;8;17;7;;7;;2;2;;7;7;2;7;2;2;7;;7;;7;;;2;7;2;7;7;2;19;
18.08.2013;2013;8;18;109;7;7;7;7;105;7;109;7;7;7;109;109;105;109;7;;7;109;;7;7;7;7;7;7;24;
19.08.2013;2013;8;19;8;9;;8;8;9;8;8;9;;9;9;8;9;8;9;9;;8;;8;8;9;8;8;9;22;
20.08.2013;2013;8;20;78;78;78;78;78;;78;78;78;78;78;78;;78;78;;;;;78;;78;78;78;78;;18;
21.08.2013;2013;8;21;78;78;78;;78;14;78;78;78;;78;78;14;;;;;78;78;;78;78;78;78;78;14;19;
22.08.2013;2013;8;22;14;74;74;;74;14;;;14;;78;74;14;;14;74;74;;14;;;74;78;78;78;14;18;
23.08.2013;2013;8;23;74;74;74;74;74;14;74;74;14;74;14;74;14;74;74;74;74;74;14;;14;14;14;74;14;14;25;
24.08.2013;2013;8;24;14;14;;8;14;14;;;14;;14;14;14;8;14;8;;;;;14;8;14;14;;14;17;
25.08.2013;2013;8;25;;;;14;109;109;14;;14;;14;109;14;;109;14;;;109;;14;109;109;14;109;14;17;
26.08.2013;2013;8;26;;;;;;;;;;;;;;;;;;;;;;;45;;;;1;Abends waren recht viele Tiere im Kasten?
27.08.2013;2013;8;27;109;14;;14;109;109;14;109;109;14;14;109;14;14;109;14;;109;109;;14;14;14;109;109;14;23;Abfang
28.08.2013;2013;8;28;2;102;;102;102;102;102;2;102;102;;102;2;102;;;;;;;102;2;2;2;2;2;18;
29.08.2013;2013;8;29;102;102;;;102;102;102;;102;102;102;102;;102;102;;102;2;2;;102;2;2;2;2;2;20;
30.08.2013;2013;8;30;102;102;;102;;102;102;;102;102;102;;;102;102;102;102;102;;102;102;102;2;102;;2;19;
01.09.2013;2013;9;1;102;102;102;;;102;102;;;;102;;102;102;102;102;;102;;102;102;102;102;102;102;102;18;
01.09.2013;2013;9;1;102;102;102;;;102;102;;;;102;;102;102;102;102;;102;;102;102;102;102;102;102;102;18;
02.09.2013;2013;9;2;102;102;;;102;102;102;;102;102;102;;;102;102;;102;102;;;102;102;102;102;102;102;18;
03.09.2013;2013;9;3;9;9;91;102;9;91;9;91;;91;9;9;91;9;9;;9;;;;102;9;9;9;9;91;21;
04.09.2013;2013;9;4;9;9;;9;;9;9;;9;;9;9;9;9;9;9;9;9;9;;;9;;9;9;9;19;
05.09.2013;2013;9;5;9;9;;9;9;9;;;9;;9;9;9;9;9;9;9;9;9;;;;9;9;9;;18;
06.09.2013;2013;9;6;9;;;9;9;9;9;;9;;9;9;;;;9;9;9;9;;;9;9;9;9;;16;
07.09.2013;2013;9;7;9;;;9;;;;;9;;9;9;;;;;9;;9;;;;9;9;9;;10;
08.09.2013;2013;9;8;;;;;45;;;;;;;105;;;;;;105;;;;;105;105;105;105;7;
09.09.2013;2013;9;9;;;;;;;;;;;;;;;;;;;;;;;45;;;;1;
10.09.2013;2013;9;10;;;;;;;;;;;;;;;;;;;;;;;45;;;;1;
11.09.2013;2013;9;11;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Aufnahmen auﬂer TT, Einzeltier war in Kasten
