number;Year;Month;Day;0D1B;1731;9E17;6D0D;B661;D726;2C18;07F9;3D98;B587;377E;3CA1;3F49;24E9;4ECA;39ED;B75C;AC35;AA57;5108;52AD;BF04;5672;4FE4;4C7B;41C1;22B0;29B2;5ACA;C950;E063;E4D5;EE00;076C;6BD8;879F;;
29.07.2014;2014;7;29;31;31;;31;;31;31;31;31;31;31;31;31;;31;31;31;86;31;31;31;31;31;31;31;86;31;31;31;31;31;83;31;31;31;86;33;Abfang
30.07.2014;2014;7;30;102;102;;9;;94;9;9;94;9;9;102;9;;9;9;9;9;9;102;9;102;102;9;9;9;102;9;102;9;9;;102;9;86;102;32;
31.07.2014;2014;7;31;102;;102;;;;9;;102;9;102;;9;9;9;;102;102;9;9;102;102;102;9;102;9;;9;102;9;;;;;102;102;24;
01.08.2014;2014;8;1;78;78;;;;;78;;;;78;;;;;78;78;;78;;78;78;;78;78;;78;78;78;78;;;;78;;78;17;
02.08.2014;2014;8;2;94;9;9;94;;9;94;9;94;9;94;9;9;9;94;9;9;9;94;;94;94;;94;9;94;94;9;9;9;;;94;94;9;78;31;
03.08.2014;2014;8;3;11;11;11;11;;11;;11;;11;11;11;11;11;;;;;11;11;11;11;11;11;11;11;;11;11;11;11;;11;11;11;11;27;
04.08.2014;2014;8;4;;;19;19;;;19;19;;19;;;71;19;19;19;;19;;19;;19;;19;19;19;;;;19;;;71;19;;19;19;
05.08.2014;2014;8;5;19;83;19;19;;19;83;83;19;83;83;19;83;19;19;19;83;;19;19;83;19;19;19;83;19;19;19;83;83;83;;83;19;19;19;33;
06.08.2014;2014;8;6;83;83;83;;;83;1;1;;83;1;83;1;1;83;1;1;1;83;83;1;1;83;83;1;1;1;83;83;1;1;;1;1;83;83;32;
07.08.2014;2014;8;7;1;1;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;33;
08.08.2014;2014;8;8;5;;;5;;5;5;5;;5;5;5;5;;5;5;5;5;5;;5;5;5;5;5;5;5;5;5;5;5;;5;;5;5;28;
09.08.2014;2014;8;9;5;5;5;;;5;5;5;;5;5;5;5;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;31;
10.08.2014;2014;8;10;4;4;5;4;;5;4;4;;4;5;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;5;5;4;5;5;;5;4;5;5;33;Abfang, von K4 nach K 42 und K 5 nach K 4
11.08.2014;2014;8;11;9;105;;9;;;;105;;105;;105;105;;9;105;105;;105;105;105;105;105;105;105;105;105;105;9;105;;;105;105;;;24;
12.08.2014;2014;8;12;92;105;;;;92;105;105;;105;105;105;105;92;92;105;105;105;105;105;105;105;105;105;105;105;105;105;92;105;;;105;105;;;28;
13.08.2014;2014;8;13;108;;;;;;108;108;;105;;108;108;108;105;92;108;;108;;108;105;108;108;105;105;108;105;;105;;;105;108;;108;23;
14.08.2014;2014;8;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;;9;9;;;;;9;4;
15.08.2014;2014;8;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;1;
