date;0D1B;1731;2C18;377E;24E9;4ECA;39ED;B75C;AC35;BF04;4FE4;4C7B;41C1;22B0;29B2;C950;E063;076C;879F;EC1A;663E;256A;7C6F;0758;Sum;Kommentar
08.08.2016;;1;1;1;1;1;1;1;1;1;;1;1;;1;;1;1;1;1;1;1;1;1;20;
09.08.2016;43;43;44;43;43;44;44;44;44;43;44;44;43;44;43;;44;44;43;44;43;;43;44;22;
13.08.2016;43;43;;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;23;
14.08.2016;43;;;43;43;43;43;;43;43;43;43;;43;;;43;43;;43;;;43;43;15;
15.08.2016;76;71;76;71;71;71;76;;71;76;76;76;71;76;71;;71;76;71;76;71;76;71;71;22;
16.08.2016;76;76;;;;76;;;;;;;;;;;;;;;;;;76;4;
16.08.2016;;;82;;82;;82;;82;82;82;82;82;82;82;;;82;82;82;;;82;;14;
17.08.2016;82;82;82;;82;82;82;;82;82;82;82;82;82;82;;82;82;82;82;;82;82;82;20;
18.08.2016;82;82;;82;82;82;82;;82;82;82;82;;82;82;;82;82;;82;82;;82;82;18;
19.08.2016;71;71;71;71;71;71;;71;;;71;71;71;71;71;71;71;71;71;71;71;71;71;71;21;
20.08.2016;76;76;76;;76;76;76;;76;76;76;76;;;76;;76;76;;76;;76;;76;16;
23.08.2016;19;19;41;41;;41;41;;41;74;19;19;41;19;41;;74;74;;41;74;;74;41;19;
24.08.2016;19;19;41;41;41;41;41;;;;41;19;41;19;41;;;41;;41;;;41;41;16;
25.08.2016;;;41;;41;41;41;;41;;;;41;;41;;;;41;;;;41;41;10;
26.08.2016;;;41;;;;41;;41;41;41;;41;;41;;;41;;;;;41;41;10;
30.08.2016;76;;76;76;;;;;;;76;75;75;;;75;75;;;76;75;75;75;;12;
31.08.2016;75;;;75;;75;75;;;;75;75;75;75;75;;75;;75;75;75;;75;;14;
01.09.2016;;;76;;;76;;;;;;;75;75;75;;75;76;75;75;;;;76;10;
02.09.2016;;;;;;76;;;;;76;;75;76;75;;;76;75;76;;;;76;9;
03.09.2016;;91;;;;;91;;91;;;91;91;;;;;;;;;91;91;;7;
04.09.2016;76;;76;;;;;;;;76;76;;76;;;;76;76;76;;;;;8;
05.09.2016;;91;;;;91;91;;91;;;;91;;91;;;;;;;91;91;;8;
06.09.2016;;91;;;;91;91;;91;;76;76;91;76;;;;76;76;91;;91;91;91;14;
07.09.2016;;;;;;;91;;91;;76;76;91;;;;;76;91;91;;91;91;91;11;
08.09.2016;;;;;;91;;;91;;76;76;91;76;;91;;76;76;91;91;91;91;91;14;
09.09.2016;;;;;;;;;;;76;;;76;76;;;76;76;;76;;76;;7;
10.09.2016;;;;;;;;;;;76;76;;;;;;;76;;76;76;76;76;7;
