date;0D1B;2C18;377E;24E9;4ECA;39ED;B75C;AC35;BF04;4FE4;4C7B;41C1;22B0;29B2;C950;E063;076C;879F;EC1A;663E;256A;D14D;7C6F;0758;F44A;A539;2F8D;44BD;DCCF;9FB7;F377;ACF4;DE72;D629;C5F2;Sum;Kommentar
02.08.2017;5;5;5;5;5;5;5;5;5;52;5;5;52;;5;5;5;5;5;5;5;5;52;5;52;5;5;5;5;5;5;5;5;5;5;34;
03.08.2017;74;74;74;5;;5;5;74;74;74;5;;74;;;74;74;74;5;5;;5;74;5;74;5;5;5;5;5;5;5;5;5;5;30;
04.08.2017;74;74;74;;;;;74;74;74;;;74;;;74;74;74;74;;;;74;;74;;74;;;;;;;;;14;
05.08.2017;21;;21;;21;21;21;21;21;21;21;;;;21;21;21;;21;21;;21;21;21;21;21;21;21;21;21;21;21;21;21;21;28;
06.08.2017;21;21;21;21;21;21;21;;21;21;21;21;;;;21;;;21;21;21;;;21;21;21;21;21;21;21;21;21;21;21;21;27;
07.08.2017;;;;74;;74;74;;74;;74;74;;74;;;74;;74;74;74;;;74;;74;74;74;;74;74;74;74;;;19;
08.08.2017;52;52;;52;52;;74;52;74;52;74;;52;52;;74;;52;74;74;;;52;52;52;74;52;52;52;52;74;74;74;;52;27;
09.08.2017;52;52;52;52;52;;52;52;52;52;52;52;52;52;;2;2;;2;2;;52;52;2;2;2;2;52;52;52;2;2;2;52;;30;
10.08.2017;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;;52;52;;52;52;52;52;52;;52;52;52;52;52;52;52;52;52;32;
11.08.2017;;;;;;;;;;;;52;;;52;52;;;;;;;;;;;;;;;;;52;52;;5;
12.08.2017;;;;;;;;;;;;;;;;52;;;;;;;;;;;;52;;52;;52;52;;52;6;
13.08.2017;52;52;52;52;52;52;52;;52;52;52;52;52;52;52;52;52;52;52;52;;52;52;52;52;52;52;52;52;52;52;52;52;52;52;33;Logger fail, individuals from 14.08 entered
14.08.2017;52;52;52;52;52;52;52;;52;52;52;52;52;52;52;52;52;52;52;52;;52;52;52;52;52;52;52;52;52;52;52;52;52;52;33;
15.08.2017;;;;;52;;52;;;;;52;;;52;;;;;52;;;;52;;;;;52;;;52;52;52;52;11;
16.08.2017;80;80;80;;;80;80;80;;;80;;;;;;80;80;80;80;;80;80;80;41;80;80;80;80;80;80;80;41;41;41;25;
17.08.2017;80;80;80;;;80;80;80;;;80;;80;;;80;80;80;80;80;;80;80;80;80;80;80;80;80;80;80;80;;;;24;Loger fail, no ID recorded K80 empty 
18.08.2017;75;75;75;75;;75;75;;75;75;75;75;75;75;75;75;75;75;75;75;;;75;75;75;75;75;75;75;75;75;75;;75;75;30;
19.08.2017;104;75;104;104;104;104;104;104;104;104;;;75;104;;;104;75;104;;;104;75;104;75;75;104;75;104;75;104;75;;75;104;28;
20.08.2017;14;14;104;104;104;104;14;104;104;14;14;;;;104;;104;;104;104;;104;14;104;104;104;104;104;104;;104;104;;104;104;27;
21.08.2017;;;;;104;104;14;;14;14;14;;14;104;14;;;14;;14;;104;14;104;;;14;104;104;;;104;;;104;19;
22.08.2017;14;14;;14;14;14;14;;14;14;14;;14;14;;;;;;14;;14;;14;;14;14;;14;;14;14;;;14;20;
23.08.2017;14;14;14;14;14;14;14;14;14;14;14;14;;;14;14;14;;14;14;;14;14;14;14;14;14;14;14;14;14;14;;14;14;30;
24.08.2017;14;;14;;;14;14;;14;;14;;;;;;;;14;14;;14;;14;14;14;14;14;14;;14;14;;14;14;19;
25.08.2017;82;;82;;82;82;;82;82;82;82;82;82;82;82;82;82;82;82;82;;82;82;82;82;82;82;82;82;82;82;82;;82;82;30;
27.08.2017;82;82;;;9;;82;;9;82;82;82;82;9;82;9;82;;82;9;;;82;9;82;82;82;82;9;82;82;82;;82;82;27;
28.08.2017;38;19;19;;38;38;;19;;19;;;;19;38;38;38;38;38;;;38;19;19;19;38;38;19;38;38;38;19;;;38;25;
29.08.2017;38;38;;38;38;38;;;38;38;;;38;38;38;38;38;38;38;38;;38;;38;38;38;38;38;38;38;38;38;;38;38;27;
30.08.2017;;19;;38;19;;;;;19;;;;19;;;;;19;19;;;19;19;38;38;19;38;19;;38;19;;38;19;18;
31.08.2017;19;;;;;;;;;;;;19;;19;;;;19;;;19;19;19;;;19;;19;;;;;;19;10;
01.09.2017;19;;;;19;19;;19;;;19;;;;;;;;19;;;19;19;19;19;;19;;19;;;19;;;19;14;
02.09.2017;19;;;;;;;19;19;;19;14;;;;14;;;19;;;19;;19;19;14;14;14;19;14;14;19;;19;19;19;
03.09.2017;;;;;;;;;;;;;;;;;;;;;;14;;;14;;;;14;14;14;14;;;;6;
04.09.2017;14;;;;;;;14;;;14;;;;;;;;14;14;;14;;14;14;14;14;14;14;14;14;14;;14;14;17;
05.09.2017;14;75;;;;14;75;;75;75;75;14;;;75;75;75;75;14;75;;14;75;14;14;14;14;14;14;14;14;14;;14;75;27;
06.09.2017;14;;85;85;;14;;14;;14;;14;14;14;;14;85;14;14;14;;14;85;14;;14;85;14;14;14;14;14;;14;14;26;
