date;0D1B;2C18;377E;24E9;4ECA;39ED;AC35;BF04;4FE4;4C7B;41C1;22B0;29B2;C950;076C;879F;EC1A;D14D;7C6F;0758;F44A;A539;2F8D;44BD;DCCF;9FB7;F377;ACF4;D629;C5F2;15BF;898A;AA3C;80F1;CB2B;5939;204F;9407;Sum;Kommentar;;EC6B;FB86
31.07.2018;;;;74;;;;;;;;;;;74;;74;;;;;;74;74;74;;74;;;;;;74;;;;74;74;10;;;;
02.08.2018;;;;;4;4;;4;;4;;;;;;;;;4;4;;;;;;;;;;;;;4;4;4;;;4;10;;;;
06.08.2018;;17;17;;;;;;;17;;;;;;;;;;;;;;17;;17;;17;17;;;;;;;;17;;8;;;;
15.08.2018;4;4;4;4;4;4;4;4;4;4;4;;4;4;4;4;4;4;4;;;;4;4;4;4;4;4;4;4;4;4;4;;4;4;;4;32;;;;
16.08.2018;;41;4;4;4;4;;;41;4;41;41;4;4;4;;41;4;4;41;41;;4;4;4;4;4;4;4;4;;;4;4;41;4;;4;30;;;;
17.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nur 1 Individuum ohne Tag;;;
19.08.2018;30;74;;;30;;41;;41;30;41;41;;30;74;30;41;;;;;;74;;;;74;74;;74;;30;41;;41;;;;19;Abfang;;;
20.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;
21.08.2018;14;;;14;;;;;;;;;14;;14;;;;;14;;;;;;;;;14;;;14;;;;;14;;8;;;;
22.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;
23.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;
24.08.2018;;;;75;;;;;;;;;;75;;;75;;75;;;75;75;;;75;75;75;;;;;75;;75;;75;;12;;;;
25.08.2018;;;;75;;;;;;;75;;;75;;;75;;;;;75;75;;;75;75;75;;;;;75;75;75;75;75;;14;;;;
27.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;5;5;;5;;5;5;5;;;7;;;;
28.08.2018;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;5;;;60;5;60;5;;;14;6;1  Flaus in K14 und 4 Fl„use in K60, Handreader;;;
29.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats;;;
30.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
