date;1731;377E;24E9;4ECA;39ED;B75C;BF04;4FE4;4C7B;41C1;22B0;29B2;076C;879F;EC1A;663E;D14D;7C6F;0758;F44A;A539;44BD;DCCF;F377;ACF4;D629;C5F2;15BF;AA3C;80F1;CB2B;5939;0255;A5EF;5909;B8A2;1958;A24D;2D31;B1E3;Sum;Comment
01.08.2019;41;41;41;41;42;41;42;41;41;41;41;41;41;41;41;41;41;41;41;41;;;41;41;;41;42;42;;41;;;;;41;41;41;41;41;41;26;
02.08.2019;41;41;41;41;42;41;42;41;41;41;41;41;41;41;41;41;41;41;41;41;;;;41;;41;;42;;41;;;;;41;41;41;41;41;41;24;
03.08.2019;42;41;41;42;42;42;42;41;41;41;41;41;41;41;41;41;41;42;41;41;;42;;41;;41;;;;41;;;;;41;41;41;41;41;41;24;
04.08.2019;18;42;42;18;42;42;18;42;42;42;42;42;42;42;42;42;42;18;42;42;;18;42;;42;42;42;18;18;42;42;18;18;18;42;42;42;42;42;42;30;
05.08.2019;;42;42;42;42;42;42;42;42;42;;42;42;42;42;42;42;;42;42;;;;42;;42;;;;42;;;;;42;42;42;42;42;42;20;
06.08.2019;18;;42;;;18;18;42;42;;;42;42;;;42;;18;42;42;;18;;42;18;42;;;;;;18;18;18;;;42;42;42;;17;
07.08.2019;42;;;;42;42;42;42;42;;42;;;42;42;42;42;;42;42;;;;42;;42;;;;;;;;;42;42;42;42;42;;15;
08.08.2019;;42;;;42;42;;42;42;;;42;;;42;42;42;;42;42;;;;;;42;;;;42;;;;;42;42;42;42;42;42;13;
09.08.2019;18;42;42;18;18;18;18;42;42;42;;42;;42;18;42;18;18;42;18;;18;;18;;42;;;18;42;18;;18;;42;42;42;42;42;42;24;
10.08.2019;;;;18;;18;;;;18;;;;;;18;;18;;;;18;;;;;;;;;18;;18;;;;;18;;;7;
11.08.2019;7;7;7;7;;7;;7;7;7;;;7;7;7;7;7;7;7;7;;7;;7;;7;;;;;;;18;;7;7;7;7;7;7;19;
12.08.2019;;7;7;;;7;;7;7;7;;7;7;;7;7;;7;7;7;7;7;;7;;7;;;;;;;7;;7;7;7;7;7;7;17;
13.08.2019;;7;7;;;7;;7;7;;;7;7;7;7;7;;;7;7;;7;;7;;7;;;;7;;;;;7;7;7;7;7;7;16;
14.08.2019;;7;7;;;;;;7;;;7;7;;7;7;;;;7;;7;;;;7;;;;;;;7;;;7;7;7;7;;10;
15.08.2019;;7;7;;;;;;;;;;;;;;;;;7;;;;7;;7;;;;;;;;;;7;;7;7;;5;
16.08.2019;7;;;;;18;;7;7;;7;;;;;;;;;7;;;;;;7;;;;;;;18;;;7;7;;7;;7;
17.08.2019;75;75;;;;;;75;75;75;75;75;75;75;75;;;;;;75;;75;;;75;75;;75;;;;;;;75;;75;;75;15;
18.08.2019;75;75;75;;;75;75;75;75;75;;75;75;75;75;75;75;75;75;75;;75;75;75;;75;75;75;75;75;75;75;75;75;;75;;75;75;75;27;
19.08.2019;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;;75;75;75;;75;;75;75;75;75;;75;75;;75;;75;75;75;28;
20.08.2019;75;75;75;75;;;75;75;75;75;75;75;75;75;75;75;75;75;75;75;;75;75;75;;75;;;;;;;75;75;;75;;75;75;75;22;
21.08.2019;;;75;;;;75;75;75;75;75;;;;;75;;75;75;75;;;;75;;;;;;;;;;;;75;;75;75;75;11;
22.08.2019;;75;75;75;75;;;;75;75;75;;75;;75;75;75;75;75;;;;75;75;75;75;;;;75;;;75;;;75;;75;75;75;18;
23.08.2019;18;18;18;75;18;;18;18;18;18;18;18;18;18;18;18;18;18;18;18;;18;18;18;75;18;18;;;18;18;18;75;18;;18;;18;18;75;28;
25.08.2019;;;49;49;;;;76;;;76;49;;76;;;;;76;76;;;;49;;49;;;;76;;;;;;49;;49;76;;11;
26.08.2019;;;49;49;;;;49;49;;49;49;;;49;;49;;;;;;;49;;49;;;;49;;;;;;49;;49;;;11;
28.08.2019;;;30;;;;;30;;30;30;;30;30;;;;30;;30;;;30;;;30;30;;;30;;;30;;;;;30;30;;12;
29.08.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
30.08.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
31.08.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
01.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
02.09.2019;;;;;;;;107;;107;107;;107;107;;;;;;107;;;;;;107;;;107;;107;;107;;;107;;107;107;;9;
04.09.2019;;;;;;;;;;;17;;17;17;17;;;17;17;17;;;;;;17;;;17;;;;17;17;;17;;17;17;;9;
05.09.2019;;49;;60;49;;;49;;60;;49;;;;;49;;49;;;;60;49;;;49;;49;;;;49;;;60;;60;49;49;12;
06.09.2019;;49;49;;;;;49;;;;49;49;;49;;;;49;49;;;49;49;;;;;49;49;;;;;;49;;49;49;49;12;
07.09.2019;;49;;;;;;49;;;;;49;;49;;;;;49;;;49;;;49;;;;49;;;49;;;;;49;49;49;8;
08.09.2019;;49;;;;;;49;;;;;;;49;;;;;49;;;49;;;49;;;;49;;;49;;;49;;;49;;7;
09.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
10.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Abfang, K49
11.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Abfang, K7
14.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Handelseger„t, laut Michelle noch B1E1, aber den Tag gibt es nicht
17.09.2019;;;;60;;;;;;;;;;;;;;;;;;;;60;;;;;;;;60;;;;;;60;60;;3;Handelseger„t
20.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Handelseger„t
25.09.2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parasitenbox;;;2;Handelseger„t
