Date;4ECA;39ED;AC35;BF04;4FE4;4C7B;41C1;22B0;29B2;E063;076C;879F;663E;F44A;A539;44BD;DCCF;F377;D629;C5F2;15BF;AA3C;80F1;CB2B;5939;A5EF;B8A2;A24D;2D31;0387;C809;3CC1;D4DC;418B;8787;AC37;F429;A42D;0145;0734;34C9;494F;8BE4;9A80;A816;8C52;922C;9907;8B80;F948;054D;B0C8;FB4B;0A62;1270;0F3D;0636;CC06;B0F1;Sum;Comments;;1731;2C18;0758;9FB7;ACF4;1958;5909;195A;1731;B1E3;8C1A;3C0F;A312;D9EF;5A31;;;EC6B;FB86
10.08.2022;;;;;;;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;79;;;;;;;;;;;79;;;;;;;;;;;;;;3;Captures;;;;;;;;;;;;;;;;;;;;
11.08.2022;;;;;41;;;;;;41;41;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;41;;;;41;;;41;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;
12.08.2022;;;;;41;;;80bis;;;41;41;;80bis;;41;;;;;;;;;;;;;80bis;;;;;41;;;;;;80bis;80bis;41;;41;;41;80bis;;41;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;
13.08.2022;;;;;41;;;;;;41;41;;41;;41;;;;;;;;;;;;;;;;;;41;;;;;;;;41;;41;;41;41;;41;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;
14.08.2022;41;;;;;;;;;;41;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;41;41;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;
15.08.2022;;;;;103;;;;;;103;;;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;
16.08.2022;41;41;41;41;;41;41;41;;41;41;;;;;;41;;;41;;41;41;41;41;;;;;41;41;41;;;;41;41;41;41;;;;;;41;41;;41;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;
17.08.2022;;;;;;;;;;;108;;;;;108;;;;108;;108;;;;;;108;;108;108;;108;108;;;108;;;108;;108;108;;;;108;;108;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;
18.08.2022;;;108;;;;;71;71;;108;;;;;71;71;71;71;71;;71;;71;;;;71;;71;71;71;71;71;;71;;;71;71;;;71;71;;71;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
19.08.2022;;;108;;;91;;;;;91;108;;;;;;;;;;;;91;;;;;108;91;;;91;;;;91;;;;108;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
20.08.2022;;;;;;;;;91;;91;;;;;;;;;;;;;;;;;;;91;91;;;;;91;;;91;;91;M6;;;;91;;;M6;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
21.08.2022;;;;;;;;;;;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
22.08.2022;50;;;;50;;;50;;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;50;;50;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;
23.08.2022;50;105;;105;50;;;50;105;;50;50;;50;;;;;105;105;;;105;;;;;;;;105;105;;;;;105;;;;;50;;50;;50;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;
24.08.2022;50;105;;105;50;;;50;;;50;50;;50;;;;;105;105;;;;;;;;;;;105;;50;;;;105;;;;;50;;50;;50;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;
25.08.2022;;105;;;;;;;;;50;50;;;;50;105;;;105;;;105;;;;;50;;50;;105;;;;;105;;105;;50;50;;50;;50;;;50;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;
26.08.2022;;;;;;;;;;;;;;;;50;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;;;;;;;;;;;;;;;;;;;;;
27.08.2022;9;51;;;51;;;51;9;51;51;;;;;;;;9;;;51;9;;;;;51;51;51;;51;;;51;;51;;;;51;51;51;;51;51;51;51;51;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;
28.08.2022;9;;51;9;;M6;;51;9;108;M6;M6;;M6;;M6;9;51;9;;;;;;108;;M6;;M6;;9;;;M6;51;M6;;M6;9;;;;51;M6;51;51;;M6;51;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;
29.08.2022;9;9;M6;9;96;M5;M5;96;;M5;M6;96;18;M6;96;18;9;M5;9;96;;M6;9;18;18;;18;M5;M6;96;9;96;;M6;96;96;9;M5;;18;18;;18;M5;M6;;M5;M5;M5;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;
30.08.2022;9;9;96;9;108;;M5;96;9;M5;M5;96;96;M5;96;M5;9;M5;9;9;;M5;9;96;M5;9;;M5;;;9;9;;;96;96;9;108;9;108;96;;M5;108;96;;M5;M5;M6;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;
31.08.2022;9;9;M6;9;96;;;96;;;M6;96;96;M5;;M5;9;M5;9;9;;96;9;96;K1;9;;M5;M6;M5;9;96;;M6;96;96;;K1;9;K1;96;M6;M5;M6;96;96;M5;M5;M5;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;
