Date;4ECA;39ED;AC35;BF04;41C1;22B0;29B2;E063;076C;879F;663E;F44A;44BD;DCCF;D629;C5F2;15BF;AA3C;80F1;CB2B;5939;0255;B8A2;A24D;2D31;0387;C809;3CC1;418B;AC37;F429;A42D;0145;0734;34C9;494F;8BE4;9A80;8C52;922C;8B80;054D;B0C8;0A62;0F3D;0636;CC06;12D7;EB80;F4D9;DFAD;B484;EE51;0CE1;04DB;04D3;0B04;09B4;10B4;0739;F1D5;0122;0482;10B6;104E;0BA0;0DE4;062C;088C;Sum;Comments;;9A21;4FE4;8106;8787;B5D9;9907;1270;BA7C;24E9;B75C;EC1A;D14D;7C6F;82C7;9A5D;0253;FEFB;5F2B;B3E8;8666;A16E;D849;1731;2C18;0758;9FB7;ACF4;1958;5909;195A;1731;B1E3;8C1A;3C0F;A312;D9EF;5A31;;;EC6B;FB86
08.08.2023;60;60;60;;60;12;;;60;12;;12;60;60;;60;60;60;;60;60;60;60;60;12;12;60;60;12;12;60;60;60;60;12;12;60;12;12;12;;;60;;60;60;;60;60;60;12;12;;12;12;12;12;12;12;60;60;60;60;60;60;60;60;60;60;58;capturing & proximity tagging - Round 2 {22B0:82, 8C52:62, 41C1:78, 0636:87, AA3C:84, A42D:90};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Bechis were in 18, but no logger files? Perhaps only males?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.08.2023;;;42;;;50;42;;50;42;50;50;;;;;;42;42;42;;;50;;50;50;;;50;50;;;;;50;50;;50;50;50;;;42;42;;;;;;;;50;;50;50;50;50;50;50;;;42;;;42;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.08.2023;;;;;;;13;;45;45;45;45;;;;13;;;;;;13c;45;;13c;45;13;;13c;13c;;;13;;13c;45;;;45;13c;13c;;;;45;;;;;;;13c;;45;13c;;45;13c;45;;;;;;13;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.08.2023;91;;86;;;45;86;;45;45;45;45;91;91;;91;;86;;86;;13c;86;;45;45;86;;13c;13c;86;86;91;;45;45;;45;;45;45;91;;86;45;91;;;91;;45;13c;;45;45;45;45;45;45;;;86;;;91;;;;86;44;captures and retrieval of proximity tags, add data from capute sheets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.08.2023;;;;;;;;;;78;;;;;;;;;;78;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.08.2023;104;;104;;;44;;;44;5c;44;44;104;104;;104;;104;;;;;;;;44;5c;104;44;5c;;104;104;;44;44;104;44;44;44;;;104;104;44;;;;;;;5c;;5c;;44;5c;;44;;;104;;104;104;104;104;104;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.08.2023;104;;;105;;5c;105;;5c;5c;;;;104;;104;;104;;;;;;;;;5c;;;5c;105;104;104;105;;5c;104;;;;;105;104;;;;;;;105;;5c;;5c;;5c;;5c;;;;104;;;104;104;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.08.2023;4c;;;;;4r;;;4r;4r;;;;;;;;;;;;;;;;;4c;;4c;4r;;;;;75;4c;75;;4c;;;;75;;;;;;;;;4c;;4r;;4c;4c;;;;75;75;;75;75;75;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.08.2023;;;;;;7c;;;7c;7c;;7c;;;;;;;;;;;;;7c;;;;7c;7c;;;;;75;7c;75;7c;75;7c;7c;;;;7c;;;;;;;7c;;7c;7c;75;7c;7c;;;75;75;;75;;75;;;75;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.08.2023;;;;;;78;;;78;78;;;;;;;;;;78;;;;;;;78;;;78;;;;;;78;78;;78;;;;;;;;;;;;;;;;78;78;78;;;;;78;;78;;;;;;14;captures and retrieval of proximity tags, add data from capute sheets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.08.2023;12c;;;;;44;;;44;44;;23;;;;;;12c;;;;;;;;;23;;44;;;;;;;23;;;44;23;44;;;;;;;;;;;;;44;;23;23;44;;;;12c;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
