number;A0CF;5EBF3C;A1D2;C073;61B2;1F36;4D10;2999;CE1D;1A0D;94D3;9900;5CD6;775E;5440;5DED;4FCA;4F91;5971;0832;A093;A4F8;900E;;Kommentar
05.08.2013;31;31;31;31;;31;31;;31;31;;;;;31;31;31;;31;31;31;31;31;16;Abfang
06.08.2013;;;;;;;;;;;;;;;;;19;;19;19;19;19;19;6;
07.08.2013;19;;;19;19;;19;;19;19;19;;;;19;;;19;19;19;19;19;;13;
08.08.2013;19;19;19;19;19;;19;;;19;;;;19;;;;;19;19;;19;19;12;Abfang
09.08.2013;5;5;5;5;5;5;5;;5;5;5;;;5;5;5;5;5;5;5;5;5;5;20;
10.08.2013;2;2;2;2;;2;;;2;2;;;;2;2;2;2;2;2;2;2;;2;16;
11.08.2013;2;2;2;2;2;;2;;2;2;;;;;2;;2;2;2;2;2;2;2;16;
12.08.2013;17;;;17;;;6;;;;;;;6;;;17;6;6;17;6;17;;10;
13.08.2013;;;17;17;;;;;;;;;;;;;17;;17;17;;17;;6;
14.08.2013;235;;235;235;235;235;;;;235;;;;235;;235;;235;;;235;;;10;
15.08.2013;235;;235;235;235;235;;;235;235;235;;;235;;235;235;235;235;;235;235;235;16;
16.08.2013;235;235;235;235;235;235;235;;235;235;;;;235;235;235;235;;235;;235;235;235;17;
17.08.2013;28;28;28;28;28;28;28;;28;28;;28;;;;;28;28;28;28;28;28;28;17;
18.08.2013;28;;28;28;28;;;;;;;;;;28;;28;;28;28;28;28;28;11;
19.08.2013;28;;28;28;;;28;;;28;;;;;;;28;;28;28;28;28;28;11;
20.08.2013;28;28;28;28;;;;;;28;;;;28;;;28;;28;28;28;28;28;12;
21.08.2013;;28;;17;;;;;;;;28;;;;;28;;17;28;28;28;28;9;
22.08.2013;28;;28;110;;;;;;28;;28;;28;;28;28;;28;28;28;28;28;13;
23.08.2013;28;;28;;;28;;;;28;;28;;;;28;;;28;28;28;28;28;11;
24.08.2013;28;;28;28;;;;;28;;;;;;;28;28;;28;;28;28;28;10;
25.08.2013;;;18;18;;;;;;;;;;;;18;;;28;18;18;18;;7;
26.08.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
27.08.2013;28;28;28;28;28;28;28;;28;28;28;28;;28;;28;28;28;28;28;28;28;28;20;Abfangen
28.08.2013;;;5;5;;5;;;;;;5;;5;;5;5;;16;;16;16;;10;
29.08.2013;;;5;5;;;;;;;;;;;;;;;5;5;5;5;;6;Besuch von Mmyo B1E3
30.08.2013;;1;1;1;;1;;;;1;;;;;1;;16;16;1;;1;1;;11;
31.08.2013;;;;1;;;;;1;1;;;;;;;16;;1;;1;1;;7;
01.09.2013;1;;1;1;;;;;;;;;;1;;1;1;;16;;1;1;16;10;
02.09.2013;;;;1;;;;;;;;;;;1;;1;;1;;16;;;5;
03.09.2013;1;;;1;;;;;;;;;;;;;16;;1;;;1;16;6;
04.09.2013;1;1;16;1;1;;;;;;;;;;;1;16;;1;1;1;1;16;12;
05.09.2013;1;1;1;1;;;;;;1;;1;;;;;;;1;;1;1;1;10;
06.09.2013;;;1;1;;;;;;;;;;;1;;;;1;1;1;1;1;8;
07.09.2013;;;;;;;;;;;;;;1;1;;;;;;17;1;17;5;
08.09.2013;;;;;;;;;;;;;;;;;;;;;17;;;1;
09.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
10.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
11.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
12.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
13.09.2013;;;;;;;;;;;;;;;;;;;17;;17;;;2;
14.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;Ring verrutscht, nur EinflÅge
15.09.2013;;;;;;;;;;;;;;;;;;;17;;;17;;2;
16.09.2013;;;;;;;;;;;;;;;;;;;17;;;17;;2;
17.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
18.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
19.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
20.09.2013;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
21.09.2013;;;;;;;;;;17;;17;;;;;;;17;;17;17;;5;
22.09.2013;;;;;;;;;;;;;;;;;;;;;;17;;1;mit Myo 3461
