number;Year;Month;Day;A0CF;5EBF3C;A1D2;C073;61B2;1F36;4D10;2999;CE1D;1A0D;94D3;9900;775E;5440;5DED;4FCA;4F91;5971;0832;A093;A4F8;900E;8712;E453;1338;5876;Summe;Kommentar
27.07.2014;2014;7;27;;5;5;;5;;5;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;22;Abfang von K5 in K2
28.07.2014;2014;7;28;;;26;;26;;26;;26;26;8;26;26;26;26;26;26;26;26;;8;26;26;26;26;26;20;
29.07.2014;2014;7;29;;23;23;;23;;23;;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;22;
30.07.2014;2014;7;30;;23;9;;23;;23;;9;9;9;23;9;23;23;23;23;23;23;9;9;23;23;23;23;23;22;
31.07.2014;2014;7;31;;;9;;28;;9;;9;9;9;9;9;9;28;9;9;28;9;9;9;9;9;9;28;9;21;
01.08.2014;2014;8;1;9;;9;;28;;9;;9;9;9;9;9;9;9;28;9;28;9;;9;9;28;9;28;28;21;
02.08.2014;2014;8;2;;28;9;;9;;;;28;9;9;9;9;28;9;9;9;9;9;9;9;9;28;9;28;28;21;
03.08.2014;2014;8;3;;;9;;9;;9;;9;9;9;9;9;9;9;9;9;9;;9;9;9;9;9;9;9;20;
04.08.2014;2014;8;4;;;8;;;;;;;8;;8;;;8;;;;;8;;21;;8;21;21;9;
05.08.2014;2014;8;5;;;;;;;;;;;;;;;;;;;;;21;21;21;;;21;4;
06.08.2014;2014;8;6;;21;;;;;;;;;;;;21;;21;;;;;21;21;21;21;21;21;9;
07.08.2014;2014;8;7;;;21;;;;;;;;;;;21;;;;;;21;;;21;21;21;21;7;
08.08.2014;2014;8;8;;;8;;;;;;21;;21;;21;21;;21;;21;21;;8;21;21;8;21;21;14;
09.08.2014;2014;8;9;;21;21;;21;;21;;21;21;21;21;;21;21;21;21;21;21;21;21;21;21;21;21;21;21;Abfang K 21 in K 10
10.08.2014;2014;8;10;;;;;28;;28;;28;;28;28;;;;28;28;28;28;;;28;28;28;28;28;14;
11.08.2014;2014;8;11;;24;;;17;;;;17;8;24;24;24;8;8;17;17;17;8;;;24;17;8;17;31;18;
12.08.2014;2014;8;12;;;17;;;;;;;17;24;24;24;24;17;17;17;17;17;24;17;17;17;24;17;17;18;
13.08.2014;2014;8;13;;17;17;;17;;17;;;;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;20;K7 Tier ohne Transponder
14.08.2014;2014;8;14;;;;;;;;;;;;24;;;;;;;;;;;;;;;1;K 17 keine Aufnahmen vor 0:00, waren aber Tiere in Kasten
15.08.2014;2014;8;15;;;;;;;;;;;;17;17;;;17;17;;;;;17;17;17;17;17;9;
16.08.2014;2014;8;16;;24;24;;24;;;;24;24;;24;24;24;24;24;;24;24;24;24;24;24;24;24;24;19;
17.08.2014;2014;8;17;;9;9;;9;;;;;9;9;9;;9;;9;9;;9;9;9;9;9;9;9;9;17;
18.08.2014;2014;8;18;;19;9;;9;;;;19;9;9;9;19;9;19;9;9;9;9;9;9;9;9;9;9;9;21;
19.08.2014;2014;8;19;;;;;19;;19;;;19;19;19;19;19;19;;19;19;19;19;19;19;19;19;19;19;18;
20.08.2014;2014;8;20;;;;;;;;;;;;;;;;;;;;;;;19;;19;19;3;Keine Aufnahmen nach 21:11 wg Antennenproblem
21.08.2014;2014;8;21;;19;19;;19;;19;;19;19;19;19;19;19;19;19;19;19;19;;19;19;19;19;19;19;21;
22.08.2014;2014;8;22;;8;8;;;;;;8;;8;8;8;8;8;8;;8;8;8;8;8;8;8;8;8;18;
23.08.2014;2014;8;23;8;;8;;8;;;;8;;8;8;8;8;8;8;8;8;;8;8;8;8;8;8;8;19;Nachts Besuch von Mmyo 2E5A
24.08.2014;2014;8;24;;8;;;8;;;;8;8;8;8;8;;8;8;;8;8;8;8;8;8;8;8;8;18;
25.08.2014;2014;8;25;;;20;;7;;20;;;20;20;20;;7;;20;7;20;20;20;;7;7;7;;20;16;K7 Nachts Besuch von Mmyo 40A2, K8 Einzeltier ohne Transponder
26.08.2014;2014;8;26;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Aufnahmen vor 3:00
27.08.2014;2014;8;27;;;;;;;;;;;;;;;;;;;;;;;;;;;0;keine Aufnahmen wg Antennenproblem
28.08.2014;2014;8;28;;;;;20;;;;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;19;Nachts Besuch von Mmyo40A2
29.08.2014;2014;8;29;9;;9;;9;;9;;;;9;9;9;9;9;9;9;9;9;;9;9;9;9;9;9;19;
30.08.2014;2014;8;30;;;9;;9;;9;;9;;9;9;;9;9;9;9;9;9;9;9;9;9;9;9;9;19;Abfang K9 nach K99
31.08.2014;2014;8;31;;;;;;;;;;;;;;;;;;;;;;;;7;;;1;
01.09.2014;2014;9;1;;;;;;;;;;;;;;;;;;7;;;;;;7;7;;3;
02.09.2014;2014;9;2;;235;;;;;235;;235;235;;28;28;28;28;235;;;235;28;235;28;235;235;235;235;17;
03.09.2014;2014;9;3;;;235;;;;;;;;28;28;28;28;28;235;;235;28;28;28;28;28;235;235;28;16;
04.09.2014;2014;9;4;;;17;;;;;;17;;;17;;17;;17;235;17;;;17;17;17;17;17;17;13;
05.09.2014;2014;9;5;;17;17;;17;;;;;17;17;;;;17;17;17;17;;17;;17;17;17;17;17;15;
06.09.2014;2014;9;6;;;;;;;17;;17;;17;17;;17;;17;;;17;17;17;17;17;17;17;17;14;
07.09.2014;2014;9;7;;;;;;;;;17;;17;17;;17;;17;;;17;17;17;17;17;17;17;17;13;
08.09.2014;2014;9;8;;;;;;;;;7;;7;7;;7;7;7;;7;;7;7;7;7;7;7;7;14;
09.09.2014;2014;9;9;;7;;;;;;;7;;7;7;;7;7;7;7;7;7;7;;7;7;7;7;7;16;
10.09.2014;2014;9;10;;;;;;;;;;;;;;;;;;7;;;7;7;7;7;7;7;7;
11.09.2014;2014;9;11;;;;;;;;;;;;;;;;;;;;;;7;7;;;7;3;
12.09.2014;2014;9;12;;;;;;;;;;;;;;;;;;;;;;;;;;;0;nicht auffindbar
13.09.2014;2014;9;13;;;;;;;;;;;;;;;;;;;;;;7;7;7;7;;4;
14.09.2014;2014;9;14;;;;;;;7;;7;;;7;;7;7;7;;7;7;7;7;7;7;7;7;7;15;
15.09.2014;2014;9;15;;;;;;;;;7;;;;;;7;7;7;;;7;7;7;7;7;7;7;11;
16.09.2014;2014;9;16;;;;;;;7;;;;;;;7;7;25;;7;25;25;;7;;7;7;7;11;
17.09.2014;2014;9;17;;;;;;;;;;;;;;7;;;;;;25;25;7;7;7;;7;7;
18.09.2014;2014;9;18;;;;;;;;;;;;;;;;;;;;;25;7;;;7;7;4;
19.09.2014;2014;9;19;;;;;;;;;;;;7;;7;;;;;;;7;7;;7;7;7;7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
Anzahl2;;;;3;17;26;0;24;0;19;0;28;22;31;37;24;37;31;38;27;34;31;32;37;47;45;47;46;48;59;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
