number;A0CF;5EBF3C;A1D2;61B2;4D10;1A0D;94D3;9900;775E;5440;4FCA;4F91;0832;A093;A4F8;900E;8712;1338;E89B;238E;4107;A290;Summe;Kommentar
date;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;box;;
31.07.2015;16;16;16;16;16;16;16;16;235;16;16;16;16;235;16;16;16;16;16;16;16;16;22;Abfang K 235, Abfang K 16 in K17
01.08.2015;17;17;17;17;17;17;17;17;;17;17;;;17;17;17;17;17;17;17;17;17;19;
02.08.2015;237;237;237;237;237;237;237;237;237;237;237;237;237;;237;237;237;237;237;237;237;237;21;
03.08.2015;237;;237;237;237;237;;237;;237;237;237;237;;237;237;237;237;237;237;237;237;18;
04.08.2015;237;;;;;237;;237;;237;237;;237;;237;237;;237;237;237;237;237;13;
05.08.2015;235;235;235;;235;235;;235;;235;235;235;;;235;235;235;235;235;235;235;235;17;
06.08.2015;;;;;;;;235;;;;;;;;;;235;235;;235;235;5;nicht existente ID 00077d1338, Tiere in Ring, keine Aufnahmen nach 16:17
07.08.2015;24;;;;;24;;24;;;24;;;;;;;;24;24;24;24;8;
08.08.2015;;;;;;24;;24;;24;;;;;;24;;;24;24;24;24;8;
09.08.2015;24;;;;24;24;;24;;24;24;24;24;;24;24;24;;24;24;24;;14;
10.08.2015;24;;24;;24;24;;24;;24;24;24;24;;;24;24;;24;24;24;24;15;
11.08.2015;24;;24;;;24;;24;;24;24;;;;;24;24;24;24;24;24;24;13;
12.08.2015;24;;24;;24;;;24;;24;24;;24;;24;24;24;;24;;24;24;13;
13.08.2015;24;;;;24;24;;24;;24;24;24;24;;24;24;;24;24;;24;24;14;
14.08.2015;24;;;;24;24;;24;;24;24;;24;;24;24;24;;;;;24;11;
15.08.2015;24;;;;24;;;24;;24;24;24;24;;;24;24;24;24;24;24;24;14;
16.08.2015;;;;;24;;;;;24;24;;24;;;24;24;;24;24;;24;9;
17.08.2015;;;24;;;;;;;;;24;;;;24;24;24;24;;24;24;8;
18.08.2015;237;;;;;237;;237;;237;237;;;;237;237;237;;237;237;237;237;12;
19.08.2015;237;;237;;237;237;;237;;237;237;237;237;;;237;;237;237;237;237;;14;
20.08.2015;237;;237;237;237;237;;237;;237;237;;237;;237;237;237;237;237;237;237;237;17;ABFANG K 237 nach K 28
21.08.2015;;;;;26;26;;26;;26;26;26;26;;26;26;26;26;;26;26;26;14;
22.08.2015;9;;;26;26;26;;26;9;9;26;26;26;;26;9;9;26;26;26;26;;17;
23.08.2015;26;;26;;26;;;26;;26;26;26;26;;26;26;;;26;26;26;26;14;
24.08.2015;;;;;26;26;;26;;26;26;26;26;;26;26;;26;26;26;26;26;14;
25.08.2015;;;;;9;;;9;;;9;;;;;9;9;;9;9;9;9;9;
26.08.2015;9;9;9;;9;9;;9;;9;9;9;9;;9;9;9;9;9;;9;9;17;
27.08.2015;9;9;;;9;;;9;;9;9;9;;;;9;9;;9;;;;10;
28.08.2015;;;;;;;;9;;;9;;9;;9;9;9;;9;9;9;9;10;
29.08.2015;;;;;;21;;21;;21;21;21;21;;;21;21;;21;;21;21;11;K237 keine Aufnahmen vllt alles male juvs
30.08.2015;9;;;;9;9;;9;;9;9;;;;;9;;;9;;9;9;10;
31.08.2015;;;24;;;;;24;;;24;;24;;;24;;;24;;24;24;8;
01.09.2015;;;24;;;;;24;;;24;;24;;;24;;;24;24;24;;8;
02.09.2015;;;;;;;;21;;21;;;21;;;21;21;;21;21;21;21;9;
03.09.2015;;;21;;;;;21;;21;;;;;;21;21;;21;21;21;21;9;
04.09.2015;;;;;;;;21;;21;;;;;;21;21;;21;21;;21;7;
05.09.2015;;;;;;;;;;;;;;;;;;;;21;21;;2;
07.09.2015;;;;;;;;;;;;;;;;21;;;21;21;21;21;5;
08.09.2015;;;;;;;;;;;;;;;;;;;21;21;21;21;4;
09.09.2015;;;;;;;;;;;;;;;21;;21;;;21;21;21;5;
10.09.2015;;;;;;;;;;;;;;;;;;;;;;;0;
11.09.2015;;;;;;;;;;;;;;;;;;;;;;;0;K 235 abends Tier in Kasten, vermutlich male
12.09.2015;;;;;;;;21;;;;;;;21;21;21;;21;21;;;6;
13.09.2015;;;;;;;;21;;;;;9;;9;21;9;9;9;9;9;9;10;K 24 abends Tiere in Kasten, morgens leer,vllt male
14.09.2015;;;;;;;;9;;;;;;;9;9;9;9;9;;9;9;8;
15.09.2015;;;;;;;;;;;;;;;;;9;;;9;9;9;4;
16.09.2015;;;;;;;;;;;;;;;;9;9;9;9;9;9;9;7;
17.09.2015;;;;;;;;;;;;;;;;;;;;;9;;1;
19.09.2015;;;;;;;;;;;;;;;;;;;21;;21;21;3;
18.09.2015;;;;;;;;;;;;;;;;;9;;21;9;21;21;5;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;0;
