date;5EBF3C;A1D2;4D10;1A0D;94D3;9900;775E;5440;4FCA;4F91;0832;A093;A4F8;8712;1338;E89B;238E;4107;A290;0E3A;110D;175F;1E39;2562;28F0;FA6F;Summe;Kommentar;Kommentar;Mmyo 2E5A
30.07.2016;5;5;17;17;5;5;17;5;5;5;5;5;5;5;5;;5;;5;5;5;5;5;5;;17;23;Box K5, K17 empty;;
31.07.2016;14;14;;;;;14;14;14;14;;14;14;14;14;14;14;;;14;14;14;14;14;14;14;19;Box K14 empty;;
01.08.2016;;17;;17;17;17;17;17;17;;;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;22;Box K17 empty;;
02.08.2016;;26;;;26;;26;;26;;;26;26;26;26;26;26;;26;26;26;26;26;26;26;26;18;Box K26 empty;;
03.08.2016;;21;21;21;21;21;21;;21;21;21;21;21;21;21;21;21;;21;;21;21;21;21;21;21;22;Box K21 empty;;
04.08.2016;26;26;26;26;26;26;26;26;;26;26;26;26;26;26;26;26;;;26;26;26;26;26;26;26;23;Box K26 empty;;
05.08.2016;;;;8;;8;8;;8;8;;;;8;8;8;8;;;;8;8;;8;;8;13;Box K8 empty;;
06.08.2016;26;7;;;7;7;7;;26;7;26;26;7;26;7;7;26;7;26;;;7;26;7;26;7;21;Box K7 empty;;
07.08.2016;235;235;235;235;235;235;235;235;235;235;235;235;;235;235;;235;235;235;26;235;235;235;235;235;235;24;Box K26 empty;;
08.08.2016;235;235;;235;235;235;235;;235;235;235;235;235;235;235;235;;;;235;235;235;235;235;235;235;21;;;
09.08.2016;235;235;235;235;;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;25;Box K235 empty;;
10.08.2016;7;7;;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;7;7;7;7;7;7;24;;;
11.08.2016;7;;;;7;7;;7;;;;;;7;;;7;;;;7;7;7;7;;;10;Box K7 empty;;
12.08.2016;;;;;;;;;;;;;;23;;;23;;;;23;23;23;23;;;6;;;
13.08.2016;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;;23;23;23;;23;23;23;23;23;23;24;;;
14.08.2016;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;26;;;
15.08.2016;23;23;23;23;23;;23;23;23;;;;23;23;23;;23;;23;23;23;23;23;23;23;23;20;;;
16.08.2016;26;26;26;;26;26;26;26;26;26;26;26;26;26;26;;26;26;26;23;26;26;26;26;26;26;24;Box K23 empty;;
17.08.2016;26;26;;26;26;26;26;26;26;26;26;26;;26;26;26;26;26;26;;26;26;26;26;26;26;23;Box K26 empty;;
18.08.2016;2;2;;2;2;2;2;2;2;;2;2;2;2;2;;2;2;;;2;2;2;2;2;2;21;Box K2 empty;;
19.08.2016;9;9;9;;9;9;9;;9;;9;9;9;9;9;9;9;9;9;;9;9;9;9;9;9;22;Box K9 empty;;
22.08.2016;235;235;;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;;235;235;235;235;235;235;24;;;
23.08.2016;235;235;;;;235;;;235;;235;235;235;235;235;235;235;;;;;;235;235;235;235;15;Box K235 empty;;
24.08.2016;7;;;7;7;7;7;;7;7;;;7;7;;;;7;;;7;7;;;7;7;14;;;
25.08.2016;7;;;;7;7;7;;7;;;7;7;7;;;;7;;;7;7;7;;7;7;14;Box K7 empty;;
31.08.2016;;10;;;;10;;;;;;;10;10;;;;;;;10;10;;10;;10;8;;;
01.09.2016;;10;;;;10;;;;;;;;;;;;;;;10;10;10;10;;10;7;Box K10 empty bats meassured;;
05.09.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;Box K10 no ID recorded, box not empty next day;Box K10 no ID recorded, box not empty next day;
06.09.2016;;;;;;10;;10;;;;;10;;;10;10;;;;10;;10;10;;;8;;;
07.09.2016;;;;;;10;;10;;;;;;10;;;;10;10;;10;10;10;10;;10;10;;;
08.09.2016;;;;;;10;;10;;;;;;10;;;10;;;;;10;;10;10;10;0;;;
09.09.2016;;;;;;;;10;;;;;;10;;10;;;10;;10;10;10;10;10;10;0;;;
10.09.2016;;;;;;;;10;;;;;;10;;10;;;;;10;;;10;10;;0;;;
11.09.2016;;;;;;;;10;;;;;;10;;;;;10;;10;10;;10;10;;0;Box K10 empty;;
09.07.2016;24;24;21;;24;24;24;24;24;24;24;24;24;24;24;21;24;;;;;;;;;;16;;;
15.07.2016;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;;;;;;;;17;;;
18.07.2016;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;;;;;;;;19;;;
21.07.2016;7;7;17;17;17;17;17;7;17;;17;17;17;17;17;17;17;17;17;;;;;;;;18;;;
24.08.2016;7;;;7;7;7;7;;7;7;;;7;7;;;;7;;;7;7;;;7;7;14;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
