date;5EBF3C;A1D2;4D10;1A0D;94D3;9900;775E;5440;4FCA;0832;A093;A4F8;8712;1338;E89B;238E;4107;A290;110D;175F;1E39;2562;ED72;D8F5;FBF5;F886;DB0A;6587;FA5B;Summe;Kommentar
30.07.2017;9;9;9;;9;9;9;9;9;9;9;9;9;9;;9;9;9;;9;9;9;9;9;9;9;9;9;9;26;
31.07.2017;9;9;9;9;;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;9;9;9;9;9;9;;9;9;26;
01.08.2017;9;9;9;;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;28;
02.08.2017;9;9;9;;9;9;9;9;9;9;;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;9;;25;
03.08.2017;26;26;;;;26;26;26;26;;26;26;26;26;;;26;9;26;9;26;9;9;26;26;;26;9;;21;
05.08.2017;12;12;;12;12;12;12;26;;12;12;12;12;12;12;12;12;12;12;26;12;12;12;12;12;12;12;12;12;27;
06.08.2017;12;12;;12;12;12;12;26;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;12;12;27;
07.08.2017;12;235;;;12;12;235;;12;12;235;12;12;12;235;12;235;12;12;12;12;12;12;12;12;12;;12;12;25;
08.08.2017;235;235;;21;235;21;235;;235;21;235;21;235;21;21;235;235;21;21;;21;235;21;21;235;235;21;21;21;26;
09.08.2017;235;235;;;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;;235;235;235;235;235;235;235;235;235;26;
10.08.2017;;;;;;;235;;235;;;235;235;235;;;21;235;21;;21;235;235;235;235;235;235;235;21;17;
11.08.2017;;;;;;;;;;;;;;235;;;;;235;;;235;235;;;235;;;;5;Logger fail, individuals from 12.08 entered
12.08.2017;;;;;;;;;;;;;;235;;;;;235;;;235;235;;;235;;;;5;
13.08.2017;21;21;;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;;21;21;21;21;21;21;;21;21;26;
14.08.2017;21;21;;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;;21;21;21;21;21;21;;21;21;26;
15.08.2017;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;1;Logger full only one individual recorded
16.08.2017;21;21;;;;21;21;21;21;21;;21;21;21;21;21;21;21;21;;21;21;21;21;21;21;;21;21;23;
17.08.2017;21;;;;;21;21;21;;;21;21;21;21;21;21;21;21;21;;21;21;21;21;21;21;;21;21;21;
18.08.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Logger Fail, no ID recorded on K18
21.08.2017;;31;;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;;31;31;31;31;31;;;31;31;24;
22.08.2017;31;31;;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;;31;31;31;31;31;31;;31;31;26;
23.08.2017;31;31;;31;238;31;31;31;31;31;31;31;238;238;238;238;238;31;31;;238;238;31;238;31;31;;31;238;26;
24.08.2017;238;;;;;;;238;;;238;;;;;;;238;238;;;238;238;238;;238;;;;9;
25.08.2017;238;;;;;;;;;;238;;;;;;;;;;;238;;;;;;238;;4;
05.09.2017;238;238;;;;;238;238;;238;238;238;238;;238;238;238;238;238;;238;238;238;238;238;238;;238;238;21;
06.09.2017;;238;;;;;241;;;;;241;;241;238;;;241;241;;241;238;241;241;241;238;;;241;14;
07.09.2017;;238;;;;238;;238;;;;;;;;;;;;;;238;238;238;238;238;;238;238;10;
08.09.2017;;238;;;;238;;238;;;238;;238;;238;;238;;;;;238;238;238;238;238;;238;238;14;
09.09.2017;238;238;;;;;238;;;;;;238;;;238;;;238;;;238;;238;238;238;;;238;11;
10.09.2017;238;;;;;238;;;;;;;;;238;;;;;;;;238;238;238;238;;;238;8;
11.09.2017;;;;;;238;;;;;;;;;238;;;;238;;;238;238;238;238;238;;;238;9;
12.09.2017;;;;;;238;;;;;;;;;238;;;;;;;;238;238;;238;;;238;6;
13.09.2017;;;;;;238;;;;;;;;;238;;;;238;;;;238;238;;238;;;238;7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
