date;A1D2;1A0D;94D3;5440;4FCA;0832;A093;A4F8;8712;1338;E89B;238E;4107;110D;175F;1E39;2562;ED72;D8F5;FBF5;D6CC;4999;0B43;A1CE;EDDE;B5F7;Summe;Kommentar;;Mmyo 2E5A;A0CF;61B2;CE1D;5DED;900E;5876;2762;B562;98E3;14F8;24D3;94D5;B30C;3F04
02.08.2018;21;21;21;21;21;21;21;21;21;21;21;21;21;21;;21;21;21;21;21;21;21;21;21;21;21;25;;;;;;;;;;;;;;;;;
07.08.2018;;21;21;;;;21;;;21;;;21;;;;;;;21;;21;;21;;21;9;;;;;;;;;;;;;;;;;
08.08.2018;;21;21;21;;;21;;21;21;;;21;;;21;21;;21;21;;21;21;21;21;21;16;;;;;;;;;;;;;;;;;
09.08.2018;21;21;21;21;;;21;21;21;21;;;21;21;;21;21;;;21;;21;21;21;21;21;18;;;;;;;;;;;;;;;;;
11.08.2018;21;;21;;;21;21;21;21;21;21;21;21;21;;21;21;21;21;21;21;21;21;21;21;21;22;;;;;;;;;;;;;;;;;
12.08.2018;21;21;21;21;;;21;21;21;21;;21;21;21;;21;21;21;21;21;21;21;21;21;21;;;;;;;;;;;;;;;;;;;
13.08.2018;21;21;21;21;;21;21;21;21;21;;21;21;21;;21;21;;21;21;;21;21;21;21;21;;;;;;;;;;;;;;;;;;
15.08.2018;235;235;235;235;;235;235;235;235;235;235;235;235;235;;235;235;235;235;235;235;235;235;235;235;235;24;;;;;;;;;;;;;;;;;
16.08.2018;16;16;16;;;;16;16;16;16;;;16;16;;16;16;16;16;16;16;16;16;16;16;16;20;;;;;;;;;;;;;;;;;
17.08.2018;16;16;16;16;;;16;16;16;;;;16;16;;;16;;;16;;16;16;16;16;16;16;;;;;;;;;;;;;;;;;
19.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats ;;;;;;;;;;;;;;;;
20.08.2018;;10;;;;;10;10;10;10;;;10;10;;10;10;;10;10;;10;10;10;10;10;;Abfang, danach in K1;;;;;;;;;;;;;;;;
21.08.2018;231;231;;231;;;;;231;;;231;231;;;;231;;;231;;231;;;231;;10;;;;;;;;;;;;;;;;;
22.08.2018;231;;;231;;;;;231;231;;231;231;231;;231;231;;231;;;231;;231;231;;13;;;;;;;;;;;;;;;;;
23.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;;;;;;;;;;;;;;
24.08.2018;231;231;;;;;;;;;;231;;231;;;;231;;;;231;;231;231;231;9;;;;;;;;;;;;;;;;;
25.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;;;;;;;;;;;;;;
27.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;;;;;;;;;;;;;;
28.08.2018;231;231;;231;;;;;231;;;;;231;;231;231;231;;231;;231;;231;;;11;;;;;;;;;;;;;;;;;
29.08.2018;231;;;;;;;;;;;;;;;;231;231;231;;;231;;231;;;6;;;;;;;;;;;;;;;;;
30.08.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;no bats;;;;;;;;;;;;;;;;
