date;1A0D;94D3;5440;A4F8;8712;1338;E89B;238E;4107;110D;1E39;2562;D8F5;FBF5;4999;A1CE;EDDE;B5F7;101F;50FB;B311;F6AA;Summe;Kommentar
02.08.2019;LBV;23;23;LBV;LBV;23;23;23;LBV;23;23;23;LBV;LBV;23;LBV;LBV;LBV;LBV;markiert;markiert;markiert;Abfang;
03.08.2019;12;12;12;6;12;12;6;12;12;12;6;12;12;12;12;12;12;12;12;6;12;12;19;
04.08.2019;12;12;12;12;12;12;12;12;;12;12;12;12;12;12;12;12;12;12;12;12;12;18;
05.08.2019;;;;;;;;;;;;;;;;;;;;;;;0;Tier ein K281, Logger piepst durchg„ngig, keine Daten herunterladbar
06.08.2019;10;10;10;10;;10;10;;;10;10;10;10;;10;;10;10;10;10;10;10;14;
07.08.2019;;10;10;10;;10;10;;;10;10;10;;10;;10;;10;;10;;10;11;
08.08.2019;;10;10;;;10;;;;10;10;10;10;10;;10;10;10;10;10;10;10;12;
09.08.2019;10;10;10;10;;10;10;10;;10;10;10;10;10;10;10;;10;;10;10;10;15;
10.08.2019;;;;;;10;10;10;;10;;10;10;;;;;10;;10;10;10;7;
11.08.2019;;23;;23;;10;23;10;;10;23;10;23;;23;23;;23;23;23;10;10;13;
12.08.2019;10;10;10;10;;10;10;10;;10;10;10;10;10;;10;10;10;;10;10;10;15;
13.08.2019;12;10;10;;12;10;10;10;;10;10;10;12;12;12;12;12;10;12;10;10;10;17;
14.08.2019;10;10;10;10;10;10;10;10;235;10;10;10;235;10;235;10;235;10;235;10;10;10;19;
15.08.2019;10;10;10;;;10;10;;;10;10;10;10;10;235;10;10;;235;10;10;10;14;
16.08.2019;10;;10;;;;;;;10;;10;10;;;10;10;10;;;10;10;8;
17.08.2019;10;;10;;10;10;10;;;10;10;10;10;10;10;;;10;;10;10;10;12;
18.08.2019;10;10;10;10;;10;10;10;;10;10;10;10;10;10;10;10;;;10;10;10;15;
19.08.2019;235;;10;;235;10;10;10;235;10;235;235;235;235;235;235;235;235;235;10;10;10;17;
20.08.2019;235;10;10;;235;10;10;;235;;235;235;235;235;235;;;;235;10;235;235;13;
21.08.2019;235;;10;10;;10;10;10;;10;235;235;235;;;235;235;10;235;10;10;10;14;
22.08.2019;235;10;10;;235;10;10;10;235;10;235;235;235;235;235;;235;10;235;10;10;10;17;
23.08.2019;21;10;10;;;10;10;10;;10;10;;10;;;;21;10;;10;10;10;11;
24.08.2019;235;235;235;235;235;235;235;235;;235;;235;235;235;;;235;235;235;235;235;235;15;
25.08.2019;235;235;235;235;;235;235;;235;235;;235;235;235;;235;;;235;235;235;235;13;
26.08.2019;235;235;235;235;235;235;235;;;235;;235;;235;;235;;235;;235;235;235;12;
27.08.2019;235;235;;235;;235;;;;235;;235;;235;;235;;235;235;235;235;235;10;
28.08.2019;ja;;ja;ja;;;ja;ja;;ja;ja;ja;;;;ja;;ja;ja;ja;ja;ja;11;Abfang
29.08.2019;;7;;;;;;;;;;7;;7;;;;;;;;7;3;
30.08.2019;;;21;21;21;21;21;;;21;;21;21;21;;;;21;;;21;;10;
31.08.2019;;;21;;;;21;;;21;;21;;21;;;;;;;21;21;5;
01.09.2019;;;21;;;;;;;21;;21;;21;;;;;;;21;21;4;
02.09.2019;;;;;;;;;;;;21;;21;21;;;21;;21;21;21;4;
03.09.2019;;;;;;;;;;;;;;;;;;;;;;21;0;
04.09.2019;;;;;;;;;;21;;21;;;21;;;21;;21;;21;4;
05.09.2019;;;ja;ja;;;ja;;;ja;;ja;;ja;ja;;;ja;;ja;;ja;8;Abfang
06.09.2019;;;;;;;;;;;;;;;;;;;;;;;0;Logger hat nicht aufgezeichnet, etwa 4-5 Tier in K10
08.09.2019;;;;;;;;;;;;281;;;;;;;;281;;281;1;
09.09.2019;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
10.09.2019;;;;;;;;;;;;;;;;;;;;;;;0;keine Mbec gefunden
11.09.2019;;;;;;;;;;;;;;;;;;;;;;7;0;plus 1 juv M mit im Kasten
14.09.2019;;;;;;;;;;;;;;;;;;;;;;;;keine Mbec gefunden
17.09.2019;;;;;;;;;;;;;;;;;;;;;;;;keine Mbec gefunden
20.09.2019;;;;;;;;;;;;;;;;;;;;;;;;keine Mbec gefunden
25.09.2019;;;;;;;;;;;;;;;;;;;;;;;;keine Mbec gefunden
28.09.2019;;;;;;;;;;;;;;;;;;;;;;;;keine Mbec gefunden
