date;4D10;1A0D;5440;0832;A4F8;E89B;238E;4107;110D;1E39;2562;D8F5;4999;A1CE;EDDE;B5F7;101F;50FB;B311;7789;48AB;F50E;A41C;Summe;Kommentar
03.08.2020;;7;;;7;;7;7;7;7;7;7;7;7;;7;;7;7;7;7;7;7;17;Abfangen
04.08.2020;;2;;;;2;2;2;2;2;2;2;2;2;;;2;2;2;2;2;2;2;17;
05.08.2020;;2;2;;2;2;;;;2;2;2;2;2;;;2;2;2;2;2;2;2;16;
06.08.2020;;2;2;;2;;2;2;;2;2;2;2;2;2;;2;2;2;2;2;2;2;18;
07.08.2020;;2;2;;2;;2;2;2;2;2;2;2;2;;;2;2;2;2;2;2;2;18;
08.08.2020;;2;;;;;2;2;2;;2;;2;2;;;2;2;;2;2;2;2;13;Abfangen
09.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
10.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
11.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
12.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
13.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
14.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
15.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
16.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
17.08.2020;;23;23;;;;23;23;23;23;23;23;23;;;;;;;;;23;23;11;
18.08.2020;;23;;;;23;23;23;23;23;23;23;23;23;;;23;23;23;23;23;23;23;17;
19.08.2020;;23;;;23;23;23;23;23;23;23;23;23;;23;;23;;23;23;23;23;23;17;
20.08.2020;;23;;;;;;23;23;;23;;23;23;;;23;;;;23;;23;9;
21.08.2020;;23;;;;;;23;;;;;;;;;;;;;23;;23;4;
22.08.2020;;23;;;;;;23;23;;23;;;23;;23;;;;;23;;;7;
23.08.2020;;23;;;;23;;23;23;;23;;23;23;;;23;;;;;;23;9;
24.08.2020;;24-35;;;;24-35;;24-35;24-35;;24-35;;24-35;24-35;;;24-35;;;;;;24-35;9;
25.08.2020;;24-35;;;;24-35;;24-35;24-35;24-35;24-35;;24-35;24-35;;;24-35;;;;24-35;24-35;24-35;12;Abfangen
26.08.2020;;23;;;;;;23;23;;;;23;23;;;;;;;23;;23;7;
27.08.2020;;23;;;;;;23;23;;;;23;;;;;;;;23;;23;6;
28.08.2020;;;;;;;;23;23;;;;23;23;;;;;;;23;23;23;7;
29.08.2020;;23;;;;;;23;23;;23;;23;23;;;;;;;23;;23;8;
30.08.2020;;23;;;;;23;;23;;23;;23;23;;;;;;;;;23;7;
31.08.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
01.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
02.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
03.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
04.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
05.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
06.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
07.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
08.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
09.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
10.09.2020;;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
