Date;1A0D;5440;E89B;238E;110D;1E39;2562;D8F5;4999;A1CE;EDDE;B5F7;101F;B311;7789;48AB;A41C;9B39;ED95;CF71;D3B0;37F2;8E4B;8EBE;Sum;Comments
06.08.2021;4;24;24;4;4;4;4;4;4;24;4;4;24;24;24;4;24;24;24;4;4;24;4;4;24;Captures
07.08.2021;236;236;236;236;236;236;236;236;236;;236;236;236;236;236;236;236;236;236;236;236;236;236;236;23;
08.08.2021;31;35;35;35;31;35;35;31;31;31;31;31;35;35;31;31;35;31;31;31;35;35;35;35;24;
09.08.2021;31;31;31;;31;31;31;;;;;31;31;31;31;31;31;;;31;31;31;31;31;17;
10.08.2021;7;;7;;7;7;;7;7;;;;;;7;;;;7;7;7;7;;7;12;
11.08.2021;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;;18;18;18;18;18;;;21;
12.08.2021;18;18;18;18;18;18;18;18;18;;18;18;18;18;18;18;18;;18;18;18;18;;18;21;
13.08.2021;;;;;;;;;;;;;;;;;12;;12;12;12;12;;12;6;Logger full
14.08.2021;1;1;35;35;35;1;35;35;35;35;35;1;35;1;35;1;35;1;1;35;1;1;;;22;
15.08.2021;1;1;35;35;35;35;1;;1;35;1;35;;1;1;1;;1;1;1;1;1;;1;20;
16.08.2021;;35;35;35;35;35;35;35;35;;35;35;;35;35;35;;;35;35;35;35;;35;18;
17.08.2021;;;35;;;35;35;35;;35;35;35;;35;;35;35;35;35;35;35;35;;35;16;
18.08.2021;;;;6;;6;6;6;;6;6;6;6;;6;6;6;6;6;;6;6;;6;16;
19.08.2021;10;10;10;;10;10;10;10;10;10;10;10;;10;10;10;10;10;10;;10;10;;10;20;
20.08.2021;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;1;22;Captures
21.08.2021;20-28;20-28;20-28;20-28;20-28;20-28;20-28;20-28;20-28;20-28;;20-28;;;20-28;20-28;20-28;;20-28;20-28;20-28;20-28;;20-28;19;
22.08.2021;20-28;;20-28;;20-28;20-28;;;;20-28;20-28;20-28;;20-28;20-28;20-28;20-28;20-28;20-28;20-28;20-28;20-28;;;16;
23.08.2021;;;;;;;;17;;;;17;;17;17;;17;;17;17;17;;;;8;
24.08.2021;;;7;7;7;7;;7;;7;;7;;;;7;7;;7;7;7;;;;12;
25.08.2021;;;;7;;;;7;;7;7;7;;;;;7;;;7;7;;;7;9;
26.08.2021;21;21;;21;21;21;;21;21;21;;21;;21;21;21;21;21;21;21;21;;;21;18;
27.08.2021;;23;;23;;23;;23;23;23;23;23;;23;;;;;23;23;23;;;23;13;Captures
28.08.2021;;;;;;;;;;;;;;;;;;;15;15;15;;;15;4;
30.08.2021;;;;;;;;27;;;;;;;;;;;27;27;;;;;3;
31.08.2021;;;;35;;35;35;;35;35;35;35;35;35;;35;35;35;35;35;35;;;;15;
01.09.2021;;;;35;;35;35;;35;;;35;;;35;35;;35;35;35;35;;;;11;
02.09.2021;35;32;;32;35;32;35;35;;;32;32;35;32;;35;;35;;35;;;;35;15;
03.09.2021;32;32;32;32;;32;32;32;;32;32;32;32;32;32;32;32;32;32;;32;;;32;19;
04.09.2021;32;32;;;;32;;32;32;;32;32;32;32;32;32;;32;32;;32;;;;14;
05.09.2021;32;32;;;32;32;32;32;;32;;32;32;;;;;32;32;32;32;;;32;14;
06.09.2021;19;19;19;19;19;19;19;19;19;19;19;;19;19;19;;;19;19;19;;;;;17;
07.09.2021;7;7;;;7;;7;7;;;7;7;;7;7;;7;;7;7;;;;;12;
08.09.2021;26;;;;26;;26;;26;;26;;;;26;;26;;;;26;;;26;9;
09.09.2021;26;;;;26;26;26;;26;26;26;26;;;;;26;;;;26;;;;10;
10.09.2021;26;;;;26;26;26;;26;;;;;;;;26;;;;26;;;26;8;
11.09.2021;31;;;;31;;;;31;;;;;;;;;;;;31;;;;4;
12.09.2021;31;;;;31;;31;;;;;;31;;;;31;;;;31;;;;6;
