Date;1A0D;E89B;238E;110D;2562;4999;A1CE;B5F7;101F;B311;48AB;A41C;ED95;D3B0;8EBE;100F;909D;96BF;877B;8870;91BD;;Sum;Comments
10.08.2022;;5;5;5;5;5;5;5;5;5;5;5;;5;;5;5;5;5;5;5;;18;
11.08.2022;6;6;;;;;6;6;6;;;;6;;;6;;;6;6;6;;10;
08.12.2022;;6;6;;;6;;6;6;6;;;6;6;;6;6;;6;6;6;;13;
13.08.2022;;;;;;4;;;4;;4;;;;;;;;;4;;;4;
14.08.2022;4;;4;4;;4;;4;4;;4;;;4;;;;4;4;4;4;;12;
15.08.2022;4;4;4;;;;4;;4;;;4;;4;;;;4;4;;4;;10;
16.08.2022;4;;4;4;4;4;4;4;4;;4;;4;4;4;4;4;4;4;4;4;;18;
17.08.2022;;15;15;;15;;15;;15;;15;;;;;;;;15;15;15;;9;
18.08.2022;15;15;15;15;15;15;15;15;15;;;;;15;;15;15;;15;15;15;;15;
19.08.2022;15;15;;15;15;15;15;15;15;;15;;15;15;15;15;;15;15;15;15;;17;
20.08.2022;7;7;7;;7;;7;7;7;;7;7;;;;7;7;7;7;;7;;14;
21.08.2022;10;10;10;10;10;10;;10;10;;10;10;10;10;;10;;10;;10;10;;16;
22.08.2022;1;1;;1;10;;;1;10;;;1;10;10;;1;10;;10;10;1;;14;
23.08.2022;;1;1;1;1;;1;1;;;1;1;;1;;1;1;1;1;1;1;;15;
24.08.2022;;10;10;10;;;;;;;10;;;;;;;;10;;10;;6;
25.08.2022;;10;10;;;10;;;;;;;;10;;;;;10;10;10;;7;
26.08.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
27.08.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
28.08.2022;;10;10;;10;10;;;;;10;;;10;;;;;10;10;10;;9;
29.08.2022;;10;10;;10;;;;10;;10;10;;10;;;;;10;;;;8;
30.08.2022;;10;10;10;10;10;;;;;;10;;10;;;;10;10;10;10;;11;
31.08.2022;;10;10;10;;10;;;;;10;10;;10;;;;10;10;10;10;;11;
01.09.2022;;7;;;10;7;;;;;7;;;10;7;;7;7;7;7;7;;11;
02.09.2022;;5;;5;;5;;;;;5;5;;5;5;;;5;5;5;;;10;
03.09.2022;;;;;;;;;;;;;;;;;;;;;;;0;
04.09.2022;;234;;;;;;;;;;;;;;;;;234;;234;;3;
05.09.2022;;234;;234;;;;;;;;;;;;;;;234;;234;;4;
06.09.2022;;234;;234;;;;;;;;;;;;;;;234;;234;;4;
07.09.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
08.09.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
09.09.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
10.09.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
11.09.2022;;;;;;;;;;;;;;;;;;;;;;;0;Keine Bechis gefunden
