Date;1A0D;E89B;238E;110D;1E39;2562;D8F5;4999;A1CE;B5F7;101F;B311;7789;48AB;ED95;D3B0;8EBE;100F;AE33;909D;96BF;877B;8870;91BD;06E6;0ACE;0222;1153;Sum;Comments
07.08.2023;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;;4;"captures K4; orange = not recorded by logger"
08.08.2023;29;;29;29;;29;;29;;29;;29;;29;29;29;29;29;;29;29;29;29;29;29;;29;;19;
09.08.2023;15;;15;15;;;;15;15;15;15;15;;15;15;15;15;15;;15;15;15;15;15;15;15;15;15;22;captures K29 --> K15
10.08.2023;10;;;10;;;;10;10;10;10;10;;10;10;10;;10;10;10;10;;10;10;10;10;10;10;20;
11.08.2023;8;;8;235;;;;235;235;8;235;235;;235;235;235;8;8;;235;235;8;235;235;235;235;235;8;22;
12.08.2023;8;;8;;;;;;8;8;;;;;;8;8;8;;;;8;;8;;8;;8;11;
13.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no monitoring
14.08.2023;8;;;;;;;232;232;;232;;;;;;232;232;;;;8;;8;8;;232;8;11;
15.08.2023;232;;;;;;;232;232;232;;;;;;;232;232;;232;;232;;8;8;8;232;8;13;
16.08.2023;232;;;232;;;;232;232;232;232;232;;;;;232;232;;232;;232;;;232;;232;232;14;capturing and proximity-tagging bats (add data from capture sheets) {100F:61, 909D:63, 4999:67, 8EBE:68}
17.08.2023;;;;;;;;99;99;99;;;;;;99;99;99;;;;;;99;99;;99;99;10;
18.08.2023;18;;;;;;;18;18;18;18;18;;;;18;18;18;;18;;18;;18;18;;;;13;
19.08.2023;8;;;;;;;;;8;;;;;;8;8;8;;;;8;;8;;8;8;8;10;
20.08.2023;;;;;;;;;;99;;;;;;;99;99;;;;99;;99;;99;99;99;8;
21.08.2023;;;;;;;;;;99;;;;;;;99;99;;;;99;;99;;99;99;99;8;captures and retrieving proximity tags - no tag found
22.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no monitoring
23.08.2023;6;;;;;;;6;;6;;6;;;;6;6;6;;6;;6;;6;6;6;6;6;14;catures and retrieving proximity tags - no tag found
24.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats found
25.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats found
26.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats found
27.08.2023;2;;;;;;;2;2;2;231;2;;;;2;;2;;2;;2;;231;231;231;231;231;15;
28.08.2023;2;;;;;;;;2;2;2;2;;;;2;2;2;;2;;2;;2;2;2;2;2;15;
29.08.2023;;;2;;;;;2;2;2;2;2;;;;;2;2;;2;;2;;2;2;2;;2;14;
30.08.2023;;;;;;;;;;;;;;;;;;;;;;;;18;18;18;18;18;5;
31.08.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats found
01.09.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;no bats found
02.09.2023;2;;;;;;;;;2;;2;;;;2;2;2;;;;2;;2;2;2;2;2;12;
03.09.2023;2;;;;;;;;;2;2;2;;;;;2;2;;2;;2;;2;2;;;2;11;
04.09.2023;2;;;;;;;;;2;2;2;;;2;;2;2;;2;;2;2;2;2;2;2;2;15;
05.09.2023;2;;;;;;;;;2;2;2;;;2;;2;;;2;;2;;2;2;2;2;2;13;
06.09.2023;2;;;;;;;;;2;2;2;;;2;2;2;;;2;;2;;2;;2;;2;12;
07.09.2023;;;;;;;;2;;2;2;2;;;;2;;;;2;;2;;2;2;2;2;;11;
08.09.2023;;;;;;;;;;24;18;24;;;;24;24;;;24;;24;;24;;;;24;9;
09.09.2023;;;;;;;;;;24;;24;;;;24;;;;24;;24;;24;;;;24;7;
10.09.2023;;;;;;;;;;24;;;;;;24;24;;;24;;24;;24;;24;;24;8;
11.09.2023;;;;;;;;;;24;;24;;;;24;24;;;24;;24;;24;;24;;24;9;
12.09.2023;;;;;;;;;;24;;;;;;24;24;;;24;;;;24;;24;;24;7;
