date;1731;377E;24E9;4ECA;39ED;AC35;BF04;4FE4;4C7B;41C1;22B0;29B2;E063;076C;879F;EC1A;663E;D14D;7C6F;F44A;A539;44BD;DCCF;F377;D629;C5F2;15BF;AA3C;80F1;CB2B;5939;0255;A5EF;B8A2;A24D;2D31;3C0F;0387;A312;82C7;D3E1;C809;3CC1;D4DC;9A5D;D9EF;418B;8787;5A31;AC37;Summe;Comment;Quartiere;EC6B;FB86
04.08.2020;7;7;7;;7;7;7;;7;7;;7;;7;;7;7;7;;;;7;7;;;7;7;;7;;7;;7;7;;;;7;7;7;7;7;7;;;;;;;;27;;1;;
05.08.2020;7;7;18;;7;;7;18;7;;;18;7;7;7;7;7;18;7;18;18;;7;;;7;7;18;7;7;7;;;7;;18;18;7;7;7;7;;7;;;;;;;;32;K18 Logger voll;2;;
07.08.2020;86;;;86;;86;;;;;;86;;;;86;;;86;;;;;;;;;;;;;;;;;;86;;;86;86;86;86;;;;;;;;11;;1;;
08.08.2020;;;;;;;;;;;52;;;52;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;52;5;;1;;
09.08.2020;;;;;;;;;;;52;;;52;52;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;52;;52;52;8;;1;;
10.08.2020;;;;;;;;;;;;;;;52;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;3;;1;;
12.08.2020;;;;;;;;;;;;51;;;51;51;;;;51;;;51;;;;;;51;;;51;;;;;;;;;;;;;;;51;51;51;51;11;;1;;
13.08.2020;;;;51;;;;;;;;;;;51;;;;;;;;51;;;;;;;;;51;;;51;;51;;;;;;;;;;;51;51;51;9;;1;;
14.08.2020;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;51;51;51;51;6;;1;;
15.08.2020;;;;;;;;;51;;;51;;;51;;51;;;;51;;51;;;;;;;;;;;;51;;51;;;;;;;;;;51;51;51;51;12;;1;;
16.08.2020;;38;;;;;;;38;;38;;;;;;;;;;38;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;
17.08.2020;;74;;74;;;;74;74;;74;74;74;;74;;74;74;;;74;;;;74;74;;;;;;;74;74;;;74;;74;;;;;;;;74;74;;74;20;;1;;
18.08.2020;;38;;;;;;38;;;;;;;38;;;;;;;38;;;38;;;;;;;;;38;;;;;;;;;;;;;;;;;6;;1;;
19.08.2020;PGB;104;;PGB;PGB;104;;104;104;PGB;PGB;;;PGB;PGB;104;PGB;;PGB;;PGB;;;PGB;PGB;PGB;;104;;;;;104;104;;PGB;;PGB;;PGB;104;PGB;PGB;PGB;PGB;;;PGB;;;30;;2;;
20.08.2020;PGB;PGB;;PGB;;;;;;;PGB;PGB;;PGB;PGB;PGB;;;PGB;PGB;PGB;;PGB;;PGB;PGB;;;;;PGB;;;;PGB;PGB;PGB;PGB;;PGB;;PGB;PGB;PGB;PGB;PGB;PGB;;;;26;;1;;
21.08.2020;;;;104;;;;;;;;;;;;104;;;;;;;104;;;104;;;;;;;;;;;;;;;;104;;;;104;;;;;6;;1;;
22.08.2020;104;104;;;;;;;;;;;;;104;104;;;;;;;24;;;24;;;24;;;24;;104;;;104;;;104;104;104;24;104;24;104;;;;24;18;;2;;
23.08.2020;104;104;;;;;;;104;;;;;;;104;;;104;;;;;;;;;;;;104;;;104;104;;104;;;;104;;104;104;104;104;;;;104;15;;1;;
24.08.2020;104;104;;104;;;;;;;;;;;;104;;;;;;;104;;104;104;;;;;104;;;104;104;;104;104;;104;;104;104;104;104;104;104;104;;104;21;;1;;
27.08.2020;49;;;49;;;;;;;;49;;;;49;;;;;;;49;49;49;;;;;;49;49;;49;49;;;49;;49;49;49;49;49;;49;49;;;49;20;;1;;
28.08.2020;49;;;;;;;;49;;;;;49;;49;;;;;;;;;;49;;;52;;49;49;;49;;;;;;49;49;;49;49;;49;49;;;;15;;2;;
29.08.2020;49;49;;49;;;;;49;;;;;;;49;;24;;;49;;49;49;49;24;;49;24;;49;49;49;49;49;;;49;;49;49;;49;49;49;;49;;;24;26;;2;;
30.08.2020;49;;;;;;;;;;;;;24;;24;;24;;;;;24;;24;24;;;24;;49;;;49;24;;;49;;49;49;24;;24;24;;49;;;24;19;;2;;
03.09.2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;24;;;;;;;;2;;1;;
04.09.2020;24;24;;24;;;;;24;;;;;24;;24;;24;;;;;24;24;24;24;;;24;24;24;24;24;24;24;;;;;;;24;24;24;24;;;24;;;23;;1;;
09.09.2020;;60;;60;;;;;;;;;;;;60;;;60;;;;60;;;60;;;;60;;;60;;;;;;;;60;60;;;;;;60;;;11;;1;;
10.09.2020;;60;;60;;;;;;;;;;;;60;;;60;;60;;60;60;60;60;;60;;;60;60;60;;;;;;;60;60;60;60;60;;;;60;;;19;;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
