number;0D1B;1731;9E17;6D0D;D726;2C18;07F9;3D98;B587;377E;3F49;24E9;4ECA;39ED;B75C;AC35;AA57;52AD;BF04;4FE4;4C7B;41C1;22B0;29B2;C950;E063;EE00;076C;879F;EC1A;663E;6B55;9A91;125F;F534;256A;2BFD;;;;
04.08.2015;39;84;39;45;78;78;45;;45;78;45;78;45;84;78;78;78;84;45;78;;84;45;78;;;;;39;45;45;45;78;39;84;;;29;ABFANG K 45 nach K 96, K78 nach K 94, K 39 nach K78, K 84;;Abfang
05.08.2015;;9;;;9;;;;9;;9;41;9;9;9;;;9;9;;;9;;9;;;;;;9;9;9;9;9;9;;;18;;;
06.08.2015;;;;;3;;3;;4;4;4;3;4;4;;;;;4;;;;;;;;;4;;;3;3;3;4;;;;14;K 3 Tier in Ring, Keine Aufnahmen nach 19:30;;
07.08.2015;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;3;;3;3;3;;;;;6;;;
08.08.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;;;;2;;;
09.08.2015;43;43;;43;;;;;41;;43;;43;41;;;41;43;;;;41;;;;;;43;41;;;43;43;;43;;;15;;;
10.08.2015;;;;43;;41;;;41;;;;43;41;;;41;43;;;;;;41;;;;43;;43;43;41;43;;43;;;14;;;
11.08.2015;41;43;;43;41;41;41;;41;41;;;41;41;41;41;41;43;41;41;43;;41;41;;;;41;41;41;41;41;43;41;41;;;27;;;
12.08.2015;76;43;43;43;41;41;43;;43;;43;43;43;41;41;43;76;43;43;43;;43;41;41;;;;76;41;43;43;43;43;;41;;;28;K 96 zwei Tiere n.T eins mit male Ring;;
13.08.2015;;;43;43;;43;43;;43;;43;43;43;43;43;;43;43;43;;;43;;;;43;;43;43;43;43;43;43;;;;;21;K 76 zwei Tiere n.T;;
14.08.2015;;1;1;1;;1;1;;76;1;1;1;;1;1;;76;;;76;;1;1;1;;;;76;1;1;;1;;;;;;20;;;
15.08.2015;76;1;76;1;76;1;1;;76;1;1;1;76;1;1;1;76;76;1;76;76;;76;1;1;76;;76;76;1;1;76;;;;;;29;;;
16.08.2015;;1;76;;;1;1;;;;1;1;;;;;;76;1;76;;;;;;;;;76;;1;;;;;;;11;;;
17.08.2015;;84;84;;;84;84;;84;;;;;;;;;;84;;;;76;;;;84;;76;;;;;;;;;9;;;
18.08.2015;;;;;;;84;;84;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;3;;;
19.08.2015;76;1;1;1;76;1;1;;76;1;1;1;;1;1;;76;;1;;;;76;;;76;84;76;76;;1;;;;;;;21;;;
20.08.2015;76;;1;1;76;1;1;;76;1;1;1;1;1;1;1;76;76;1;;;1;76;1;1;76;;76;76;1;1;76;;;;;;27;;;
21.08.2015;1;1;1;1;;1;1;;1;1;1;1;;1;1;1;;76;1;;;1;76;;1;1;84;;1;1;;76;;;;1;1;25;ABFANG, K1 in K5;;Abfang
22.08.2015;76;;;;;;;;76;;76;;;;;;76;;;76;76;;;;;;;76;76;5;;;;;;;76;10;K 5 keine Aufnahmane nach 17:30 wg Tier in Ring;;
23.08.2015;76;;76;5;76;;5;;76;;76;5;5;5;;5;76;5;76;76;76;5;76;5;76;;5;76;;5;5;76;3;;;5;76;28;;;
24.08.2015;76;;105;105;;105;105;;105;105;105;105;76;;105;76;105;76;76;;;;;105;76;105;105;;105;;105;105;;;;;76;23;;;
25.08.2015;;;;;;;;;76;;;;;;;;;;76;;;;;;;76;76;;76;;;76;;;;;76;7;;;
26.08.2015;44;;9;;;44;9;;44;;9;9;76;;9;;44;44;9;44;44;9;44;;78;78;76;;76;5;44;44;5;;;78;76;26;;;
27.08.2015;44;;9;9;;44;9;;44;44;9;9;44;44;9;44;44;44;9;44;44;9;;9;;;44;;44;5;44;44;;;;44;44;27;;;
28.08.2015;;;;;;52;;;;;;;52;52;;;;52;;52;;;;;;;52;52;52;84;52;52;;;;;52;12;;;
29.08.2015;52;;;105;;;105;;;105;105;;52;52;105;;;52;105;;;52;;;;;;52;;105;105;52;;;;105;52;17;;;
30.08.2015;52;;;105;;52;105;;52;105;105;105;52;52;;;52;105;105;52;;52;;105;;;52;;52;105;;52;;;;105;52;22;;;
