date,03F5,675,07F9,0AF1,16B4,1775,1890,2122,29BB,3F49,4A31,5574,5631,5C0C,5D64,5D79,5E44,5E7B,66EE,6C05,6D0D,742D,909C,A16A,A2E7,A3C3,AB60,B1F6,B8AA,BFBE,CECC,D726,D7EC,FD3D,5E65,7899,80ED,AB98,C9AA,E480
29/04/05,,,102,8,8,8,,8,,102,,8,,,102,8,8,8,102,102,8,8,,,102,,102,102,8,8,8,8,,102,,,,,,
30/04/05,84,16,,84,16,16,1,84,84,16,,16,84,84,1,16,16,84,,,25,16,84,84,84,84,,25,25,25,16,84,16,25,,,,,,
01/05/05,16,14,1,14,16,16,1,84,1,1,84,16,84,,1,16,16,84,1,1,,16,84,16,14,16,1,25,25,14,16,16,16,25,,,,, ,
02/05/05,14,14,1,14,14,14,1,33,1,1,14,14,1,1,1,14,14,14,,1,33,14,14,14,,14,1,1,33,14,33,1,14,14,,,,,,
03/05/05,14,,1,14,14,14,1,14,1,1,14,1,14,1,1,,14,14,1,1,,14,14,14,1,14,1,1,1,14,14,1,14,14,,,,,,
04/05/05,14,14,1,14,14,14,1,14,1,1,14,14,14,,1,14,,14,1,1,,14,14,14,1,14,1,1,1,14,14,1,14,14,,,,,,
05/05/05,14,14,1,14,14,14,1,14,1,1,14,1,14,,1,14,14,14,1,1,14,14,14,14,1,14,1,1,14,14,14,1,14,14,,,,,,
06/05/05,,,1,14,,14,1,,1,,,1,,,1,14,,84,1,14,,14,14,14,,14,1,,,,,1,14,,,,,,,
07/05/05,16,,1,16,,16,1,,1,,,,,,1,16,,,1,1,,,,,,,1,,,16,,1,,1,,,,,,
08/05/05,,,,,16,16,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,
09/05/05,,,,,16,16,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
10/05/05,,,,,16,16,,,,,,,,,,16,,,16,,,,,,16,,,,,,,,,,,,,,,
11/05/05,16,16,1,16,16,16,1,16,1,,,16,,,1,16,,1,1,16,,,,,16,,,,16,16,16,1,,1,,,,,,
12/05/05,16,16,16,16,16,16,1,16,1,,16,16,16,16,,16,16,1,16,1,16,16,16,16,16,16,1,1,16,16,16,16,16,1,,,,,,
13/05/05,14,14,14,14,14,14,1,14,1,14,14,14,14,14,1,14,14,1,14,1,14,14,14,14,14,14,1,1,14,14,14,14,14,1,,,,,,
