Year;labnumber_mom;Colony;TAG_mom;first record;last record;birth_mom;lastY_mom;labnumber_off;sex_off;TAG_off;lookup_formel_TAG_off;birth_off;lastY_off;age_off;last record as_juv;Letzter_Nachweis_juv_Kommentar;
2013;2444;GB2;B597=B587;10.05.13;07.09.13;2005;2015;4322;f;5672;5672;2013;2014;1;22.09.13;Ende Monitoring;
2013;1523;GB2;6C0D=6D0D;11.05.13;07.09.13;2002;2015;4324;f;4C7B;4C7B;2013;2023;10;22.09.13;Ende Monitoring;
2013;1636;GB2;07F9=51C3;10.05.13;06.09.13;2002;2015;4318;f;BF04;BF04;2013;2023;10;22.09.13;Ende Monitoring;
2013;3378;GB2;0D1B;10.05.13;07.09.13;2009;2018;4315;f;4FE4;4FE4;2013;2022;9;22.09.13;Ende Monitoring;
2013;3579;GB2;24E9;11.05.13;05.09.13;2009;2021;4313;f;41C1;41C1;2013;2023;10;21.09.13;;
2014;2444;GB2;B597=B587;25.04.14;16.09.14;2005;2015;4466;f;879F;879F;2014;2023;9;17.09.14;;
2014;4144;GB2;4ECA;26.04.14;19.09.14;2012;2023;4485;f;29B2;29B2;2014;2023;9;17.09.14;;
2014;4150;GB2;AA57;22.04.14;16.09.14;2012;2015;4486;f;076C;076C;2014;2023;9;19.09.14;Ende Monitoring;
2014;4318;GB2;BF04;23.04.14;18.09.14;2013;2023;4476;f;EE00=7C6F;EE00=7C6F;2014;2021;7;19.09.14;Ende Monitoring;
2014;4322;GB2;5672;25.04.14;17.09.14;2013;2014;4483;f;22B0;22B0;2014;2023;9;16.09.14;;
2014;3161;GB2;377E;23.04.14;17.09.14;2008;2021;4481;f;E063;E063;2014;2023;9;18.09.14;;
2015;4147;GB2;B75C;30.04.15;14.09.15;2012;2021;4578;f;663E;663E;2015;2023;8;13.09.15;;
2015;1130;GB2;3F49;07.05.15;14.09.15;2001;2015;4575;f;EC1A;EC1A;2015;2021;6;19.09.15;Ende Monitoring;
2015;2292;GB2;1731;25.04.15;21.08.15;2005;2020;4595;f;256A;256A;2015;2017;2;19.09.15;Ende Monitoring;
2016;4146;GB2;39ED;01.05.16;05.09.16;2012;2023;4755;f;D14D;D14D;2016;2021;5;;noch nicht markiert;
2016;4313;GB2;41C1;08.05.16;06.09.16;2013;2023;4751;f;F377;F377;2016;2023;7;;noch nicht markiert;
2016;4485;GB2;29B2;02.05.16;07.09.16;2014;2023;4744;f;0758;0758;2016;2019;3;42621.0;Ende Monitoring;
2017;4313;GB2;41C1;14.05.17;06.09.17;2013;2023;4800;f;9FB7;9FB7;2017;2019;2;11.9.2017;;
2017;4466;GB2;879F;14.05.17;07.09.17;2014;2023;4791;f;2F8D;2F8D;2017;2018;1;12.9.2017;;
2017;4485;GB2;29B2;14.05.17;13.09.17;2014;2023;4808;f;D629;D629;2017;2023;6;13.9.2017;Ende Monitoring;
2017;4578;GB2;663E;14.05.17;09.09.17;2015;2023;4790;f;A539;A539;2017;2023;6;11.9.2017;;
2017;4595;GB2;256A;16.05.17;10.08.17;2015;2017;4806;f;DE72=15BF;DE72=15BF;2017;2023;6;16.8.2017;oder Sender verloren;
2017;4744;GB2;0758;14.05.17;12.09.17;2016;2019;4810;f;C5F2;C5F2;2017;2023;6;12.9.2017;;
2017;3161;GB2;377E;16.05.17;13.09.17;2008;2021;4796;f;DCCF;DCCF;2017;2023;6;13.9.2017;Ende Monitoring;
2017;3579;GB2;24E9;14.05.17;09.09.17;2009;2021;4795;f;44BD;44BD;2017;2023;6;11.9.2017;;
2017;4315;GB2;4FE4;14.05.17;10.09.17;2013;2022;4787;f;F44A;F44A;2017;2023;6;12.9.2017;;
2017;4801;GB2;F377;;12.09.17;2016;2023;4802;f;ACF4;ACF4;2017;2019;2;12.9.2017;;
2018;4146;GB2;39ED;28.04.18;16.08.18;2012;2023;4815;f;80F1;80F1;2018;2023;5;28.08.18;Ende Monitoring;
2018;4149;GB2;AC35;28.04.18;19.08.18;2012;2023;4814;f;AA3C;AA3C;2018;2023;5;28.08.18;Ende Monitoring;
2018;4313;GB2;41C1;28.04.18;25.08.18;2013;2023;4859;f;A5EF;A5EF;2018;2023;5;;noch nicht markiert;
2018;4808;GB2;D629;04.05.18;28.08.18;2017;2023;4858;f;0255;0255;2018;2023;5;;noch nicht markiert;
2018;4810;GB2;C5F2;04.05.18;27.08.18;2017;2023;4857;f;9A21;9A21;2018;2019;1;;noch nicht markiert;
2018;3161;GB2;377E;30.04.18;16.08.18;2008;2021;4818;f;5939;5939;2018;2023;5;28.08.18;Ende Monitoring;
2018;4476;GB2;EE00=7C6F;03.05.18;28.08.18;2014;2021;4816;f;CB2B;CB2B;2018;2023;5;28.08.18;Ende Monitoring;
2019;4313;GB2;41C1;01.05.19;05.09.19;2013;2023;4943;f;A24D;A24D;2019;2023;4;25.09.19;;
2019;4787;GB2;F44A;11.05.19;08.09.19;2017;2023;4945;f;2D31;2D31;2019;2023;4;20.09.19;;
2019;3161;GB2;377E;01.05.19;08.09.19;2008;2021;4936;f;B8A2;B8A2;2019;2023;4;11.09.19;;
2020;4144;GB2;4ECA;29.04.20;10.09.20;2012;2023;4976;f;C809;C809;2020;2023;3;10.09.20;;
2020;4313;GB2;41C1;06.05.20;25.08.20;2013;2023;5005;f;B5D9;B5D9;2020;2022;2;;noch nicht markiert;
2020;4318;GB2;BF04;29.04.20;06.08.20;2013;2023;4993=5001=5004;f;D9EF=F429;D9EF;2020;2023;3;28.08.20;;
2020;4466;GB2;879F;06.05.20;22.08.20;2014;2023;4997;f;AC37;AC37;2020;2023;3;30.08.202;;
2020;4575;GB2;EC1A;29.04.20;10.09.20;2015;2021;4971;f;82C7;82C7;2020;2021;1;10.09.20;Ende Monitoring;
2020;4578;GB2;663E;06.05.20;19.08.20;2015;2023;4969;f;0387;0387;2020;2023;3;30.08.202;;
2020;4796;GB2;DCCF;29.04.20;10.09.20;2017;2023;4977;f;3CC1;3CC1;2020;2023;3;10.09.20;;
2020;4815;GB2;80F1;29.04.20;05.09.20;2018;2023;4991;f;9A5D;9A5D;2020;2021;1;05.09.20;;
2020;4816;GB2;CB2B;29.04.20;10.09.20;2018;2023;4995;f;8787;8787;2020;2022;2;10.09.20;;
2020;2292;GB2;1731;08.05.20;05.09.20;2005;2020;4988;f;D4DC;D4DC;2020;2023;3;10.09.20;;
2020;4315;GB2;4FE4;29.04.20;19.08.20;2013;2022;4994;f;418B;418B;2020;2023;3;10.09.20;;
2021;4149;GB2;AC35;09.05.21;12.09.21;2012;2023;5025;f;A816;A816;2021;2023;2;12.09.21;Ende Monitoring;
2021;4313;GB2;41C1;28.04.21;02.09.21;2013;2023;5008;f;34C9;34C9;2021;2023;2;12.09.21;Ende Monitoring;
2021;4486;GB2;076C;28.04.21;12.09.21;2014;2023;5016;f;494F;494F;2021;2023;2;12.09.21;Ende Monitoring;
2021;4787;GB2;F44A;28.04.21;12.09.21;2017;2023;5012;f;9A80;9A80;2021;2023;2;12.09.21;Ende Monitoring;
2021;4795;GB2;44BD;09.05.21;12.09.21;2017;2023;5029;f;0734;0734;2021;2023;2;12.09.21;Ende Monitoring;
2021;4808;GB2;D629;09.05.21;11.09.21;2017;2023;5007;f;8106;8106;2021;2022;1;04.09.21;;
2021;4810;GB2;C5F2;09.05.21;12.09.21;2017;2023;5018;f;0145;0145;2021;2023;2;12.09.21;Ende Monitoring;
2021;4814;GB2;AA3C;10.05.21;12.09.21;2018;2023;5021;f;A42D;A42D;2021;2023;2;12.09.21;Ende Monitoring;
2021;4997;GB2;AC37;09.05.21;12.09.21;2020;2023;5103;f;DFAD;DFAD;2022;2023;1;;;
2021;4806;GB2;DE72=15BF;28.04.21;12.09.21;2017;2023;5030;f;8BE4;8BE4;2021;2023;2;12.09.21;Ende Monitoring;
2022;4146;GB2;39ED;04.05.22;09.09.22;2012;2023;5069;f;f5069;f5069;2022;;;;;
2022;4313;GB2;41C1;04.05.22;09.01.22;2013;2023;5095;f;0636;0636;2022;2023;1;;;
2022;4318;GB2;BF04;04.05.22;03.09.22;2013;2023;5097;f;12D7;12D7;2022;2023;1;;markiert;
2022;4466;GB2;879F;03.05.22;05.09.22;2014;2023;5094;f;0F3D;0F3D;2022;2023;1;10.09.22;Ende Monitoring;
2022;4481;GB2;E063;04.05.22;31.08.22;2014;2023;5096;f;CC06;CC06;2022;2023;1;05.09.22;;
2022;4483;GB2;22B0;05.05.22;07.09.22;2014;2023;5058;f;8C52;8C52;2022;2023;1;09.09.22;;
2022;4578;GB2;663E;04.05.22;07.09.22;2015;2023;5099;f;0896;0896;2022;2023;1;;;
2022;4787;GB2;F44A;04.05.22;06.09.22;2017;2023;5059;f;922C;922C;2022;2023;1;08.09.22;;
2022;4790;GB2;A539;04.05.22;31.08.22;2017;2023;5091;f;FB4B;FB4B;2022;2023;1;06.09.22;;
2022;4795;GB2;44BD;03.05.22;08.09.22;2017;2023;5071;f;F4D9;F4D9;2022;2023;1;;;
2022;4808;GB2;D629;04.05.22;01.09.22;2017;2023;5089;f;054D;054D;2022;2023;1;05.09.22;;
2022;4814;GB2;AA3C;04.05.22;09.09.22;2018;2023;5092;f;0A62;0A62;2022;2023;1;10.09.22;Ende Monitoring;
2022;4818;GB2;5939;04.05.22;05.09.22;2018;2023;5093;f;1270=EE51;1270=EE51;2022;2023;1;04.09.22;;
2022;4945;GB2;2D31;04.05.22;07.09.22;2019;2023;5065;f;8B80;8B80;2022;2023;1;;;
2022;4988;GB2;D4DC;04.05.22;30.08.22;2020;2023;5088;f;F948;F948;2022;2023;1;04.09.22;;
2022;4994;GB2;418B;04.05.22;08.09.22;2020;2023;5066;f;B484;B484;2022;2023;1;;;
2022;4995;GB2;8787;04.05.22;01.09.22;2020;2022;5107;f;D6D5;D6D5;2022;2023;1;;;
2022;5025;GB2;A816;15.05.22;07.09.22;2021;2023;5090;f;B0C8;B0C8;2022;2023;1;10.09.22;Ende Monitoring;
2022;4801;GB2;F377;04.05.22;07.09.22;2016;2023;5073;f;EB80;EB80;2022;2023;1;;;
2022;;GB2;D14D;;;2016;2022;5102;f;BA7C;BA7C;2022;2023;1;;;
2023;4146;GB2;39ED;05.05.23;;2012;2023;5127;f;0482;0482;2023;;;;;
2023;4578;GB2;663E;05.05.23;;2015;2023;5157;f;10B4;10B4;2023;;;;;
2023;;GB2;F44A;05.05.23;;2017;2023;5153;f;09B4;09B4;2023;;;;;
2023;4795;GB2;44BD;11.05.23;;2017;2023;5139;f;062C;062C;2023;;;;;
2023;4810;GB2;C5F2;15.05.23;;2017;2023;5129;f;104E;104E;2023;;;;;
2023;4815;GB2;80F1;28.04.23;;2018;2023;5124;f;F1D5;F1D5;2023;;;;;
2023;4816;GB2;CB2B;30.04.23;;2018;2023;5140;f;088C;088C;2023;;;;;
2023;4858;GB2;0255;02.05.23;;2018;2023;5119;f;0739;0739;2023;;;;;
2023;4976;GB2;C809;06.05.23;;2020;2023;5161;f;f5161;f5161;2023;;;;;
2023;4977;GB2;3CC1;11.05.23;;2020;2023;5138;f;0DE4;0DE4;2023;;;;;
2023;4994;GB2;418B;04.05.23;;2020;2023;5150;f;0B04;0B04;2023;;;;;
2023;5018;GB2;0145;30.04.23;;2021;2023;;f;0BA0;0BA0;2023;;;;;
2023;5099;GB2;0896;16.05.23;;2022;2023;5144;f;0CE1;0CE1;2023;;;;;
2023;5016;GB2;494F;30.04.23;;2021;2023;5149;f;04D3;04D3;2023;;;;;
2023;5030;GB2;8BE4;02.05.23;;2021;2023;;f;10B6;10B6;2023;;;;;
2023;5102;GB2;BA7C;Nur Markierung?;;2022;2023;5125;f;0122;0122;2023;;;;;
2023;5034;GB2;DFAD;16.05.23;;2021;2023;5145;f;04DB;04DB;2023;;;;;
2013;2168;UA;61B2;11.05.13;04.09.13;2004;2015;4331;f;A4F8;A4F8;2013;2021;8;22.9.2013;;
2013;2246;UA;5E-BF3C=A4A4;11.05.13;05.09.13;2004;2018;4330;f;5971;5971;2013;2014;1;21.9.2013;;
2013;2246;UA;5E-BF3C=A4A4;11.05.13;05.09.13;2004;2018;4333;f;900E;900E;2013;2015;2;7.9.2013;;
2013;2731;UA;1F36;11.05.13;30.08.13;2006;2013;4327;f;A093;A093;2013;2018;5;21.9.2013;;
2013;3394;UA;C073;09.05.13;06.09.13;2009;2014;4326;f;0832;0832;2013;2019;6;6.9.2013;;
2014;2010;UA;4D10;21.04.14;16.09.14;2003;2019;4448;f;8712;8712;2014;2020;6;17.09.14;;
2014;2168;UA;61B2;24.04.14;05.09.14;2004;2015;4450;f;1338;1338;2014;2020;6;19.09.14;Ende Monitoring;
2014;4165;UA;4FCA=7CCA;23.04.14;16.09.14;2012;2018;4445;f;5876;5876;2014;2015;1;19.09.14;Ende Monitoring;
2015;4155;UA;9900;21.04.15;14.09.15;2012;2018;4564;f;A290;A290;2015;2017;2;18.09.15;;
2015;4164;UA;5440;21.04.15;04.09.15;2012;2021;4560;f;E89B;E89B;2015;2023;8;19.09.15;Ende Monitoring;
2015;4448;UA;8712;05.05.15;19.09.15;2014;2020;4563;f;4107;4107;2015;2021;6;18.09.15;;
2015;3387;UA;A1D2;22.04.15;03.09.15;2009;2018;4561;f;238E;238E;2015;2023;8;18.09.15;;
2016;4155;UA;9900;30.04.16;10.09.16;2012;2018;4724;f;175F;175F;2016;2017;1;11.09.16;Ende Monitoring;
2016;4157;UA;775E;29.04.16;25.08.16;2012;2018;4725;f;FA6F;FA6F;2016;2017;1;10.09.16;;
2016;4327;UA;A093;29.04.16;25.08.16;2013;2018;4733;f;110D;110D;2016;2023;7;11.09.16;Ende Monitoring;
2016;4450;UA;1338;29.04.16;23.08.16;2014;2020;4735;f;1E39;1E39;2016;2022;6;09.09.16;;
2016;3387;UA;A1D2;01.05.16;01.09.16;2009;2018;4730;f;2562;2562;2016;2023;7;11.09.16;Ende Monitoring;
2017;4560;UA;E89B;28.04.17;13.09.17;2015;2023;4778;f;FA5B=D6CC;FA5B=D6CC;2017;2019;2;13.09.17;Ende Monitoring;
2017;4563;UA;4107;07.05.17;08.09.17;2015;2021;4772;f;F886;F886;2017;2018;1;13.09.17;Ende Monitoring;
2017;4564;UA;A290;07.05.17;06.09.17;2015;2017;4763;f;ED72;ED72;2017;2019;2;13.09.17;Ende Monitoring;
2017;4735;UA;1E39;28.04.17;06.09.17;2016;2022;4766;f;D8F5;D8F5;2017;2022;5;13.09.17;Ende Monitoring;
2017;4165;UA;4FCA=7CCA;27.04.17;23.08.17;2012;2018;4769;f;FBF5;FBF5;2017;2019;2;11.09.17;;
2018;4157;UA;775E;24.04.18;10.07.12;2012;2018;4827;f;A1CE;A1CE;2018;2023;5;29.08.18;;
2018;4448;UA;8712;05.05.18;28.08.18;2014;2020;4824;f;4999;4999;2018;2023;5;29.08.18;;
2018;4730;UA;2562;05.05.18;29.08.18;2016;2023;4825;f;0B43=101F;101F;2018;2023;5;;noch nicht markiert;
2018;4735;UA;1E39;28.04.18;28.08.18;2016;2022;4828;f;EDDE;EDDE;2018;2022;4;24.08.18;;
2018;3393;UA;B2-94D3;04.05.18;17.08.18;2009;2020;4831;f;B5F7;B5F7;2018;2023;5;28.08.18;;
2019;4164;UA;5440;26.04.19;05.09.19;2012;2021;4928;f;B311;B311;2019;2023;4;###############################################################################################################################################################################################################################################################;;
2019;4331;UA;A4F8;26.04.19;05.09.19;2013;2021;4924;f;50FB;50FB;2019;2021;2;08.09.19;;
