"","1731","2C18","377E","24E9","4ECA","39ED","B75C","AC35","BF04","4C7B","41C1","29B2","E063","076C","879F","EC1A","663E","256A","7C6F","0758","0D1B","4FE4","22B0","C950"
"08.08.2016_1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"09.08.2016_43",1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
"09.08.2016_44",0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0
"13.08.2016_43",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14.08.2016_43",0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0
"15.08.2016_76",0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0
"15.08.2016_71",1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
"16.08.2016_76",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"16.08.2016_82",0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0
"17.08.2016_82",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"18.08.2016_82",1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0
"19.08.2016_71",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20.08.2016_76",1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0
"23.08.2016_19",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"23.08.2016_41",0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"23.08.2016_74",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"24.08.2016_19",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"24.08.2016_41",0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
"25.08.2016_41",0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"26.08.2016_41",0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"30.08.2016_76",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"30.08.2016_75",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1
"31.08.2016_75",0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
"01.09.2016_76",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"01.09.2016_75",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
"02.09.2016_76",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
"02.09.2016_75",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"03.09.2016_91",1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"04.09.2016_76",0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0
"05.09.2016_91",1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"06.09.2016_91",1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0
"06.09.2016_76",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"07.09.2016_91",0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
"07.09.2016_76",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"08.09.2016_91",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1
"08.09.2016_76",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"09.09.2016_76",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
"10.09.2016_76",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0
