"from","to","weight","highlight","pair_type"
"1731","24E9",0.444444444444444,"other","other"
"1731","4ECA",0.434782608695652,"other","other"
"1731","AC35",0.409090909090909,"other","other"
"1731","4C7B",0.36,"other","other"
"1731","41C1",0.36,"other","other"
"1731","29B2",0.391304347826087,"other","other"
"1731","E063",0.35,"other","other"
"1731","256A",0.421052631578947,"other","other"
"1731","7C6F",0.384615384615385,"other","other"
"1731","0758",0.36,"other","other"
"1731","0D1B",0.473684210526316,"other","other"
"2C18","24E9",0.368421052631579,"other","other"
"2C18","4ECA",0.375,"other","other"
"2C18","39ED",0.454545454545455,"other","other"
"2C18","AC35",0.347826086956522,"other","other"
"2C18","29B2",0.391304347826087,"other","other"
"2C18","076C",0.478260869565217,"other","other"
"2C18","EC1A",0.478260869565217,"other","other"
"2C18","0758",0.416666666666667,"other","other"
"2C18","4FE4",0.4,"other","other"
"377E","24E9",0.533333333333333,"other","other"
"377E","4ECA",0.428571428571429,"other","other"
"377E","41C1",0.347826086956522,"other","other"
"377E","29B2",0.45,"other","other"
"377E","E063",0.411764705882353,"other","other"
"377E","EC1A",0.409090909090909,"other","other"
"377E","663E",0.4375,"other","other"
"377E","7C6F",0.375,"other","other"
"377E","0758",0.347826086956522,"other","other"
"377E","0D1B",0.388888888888889,"other","other"
"24E9","1731",0.444444444444444,"other","other"
"24E9","2C18",0.368421052631579,"other","other"
"24E9","377E",0.533333333333333,"other","other"
"24E9","4ECA",0.476190476190476,"other","other"
"24E9","39ED",0.428571428571429,"other","other"
"24E9","AC35",0.45,"other","other"
"24E9","BF04",0.533333333333333,"other","other"
"24E9","41C1",0.391304347826087,"other","other"
"24E9","29B2",0.578947368421053,"other","other"
"24E9","E063",0.470588235294118,"other","other"
"24E9","076C",0.391304347826087,"other","other"
"24E9","879F",0.380952380952381,"other","other"
"24E9","EC1A",0.391304347826087,"other","other"
"24E9","7C6F",0.478260869565217,"other","other"
"24E9","0758",0.454545454545455,"other","other"
"24E9","0D1B",0.368421052631579,"other","other"
"4ECA","1731",0.434782608695652,"other","other"
"4ECA","2C18",0.375,"other","other"
"4ECA","377E",0.428571428571429,"other","other"
"4ECA","24E9",0.476190476190476,"other","other"
