"from","to","weight","pair_type"
"39ED","AC35",0.388059701492537,"other"
"39ED","BF04",0.552238805970149,"other"
"39ED","41C1",0.385714285714286,"other"
"39ED","29B2",0.476190476190476,"other"
"39ED","663E",0.46969696969697,"other"
"39ED","D14D",0.537313432835821,"other"
"39ED","758",0.506666666666667,"other"
"39ED","9FB7",0.371794871794872,"other"
"39ED","1731",0.158730158730159,"other"
"39ED","377E",0.454545454545455,"other"
"39ED","B75C",0.475409836065574,"other"
"39ED","879F",0.444444444444444,"other"
"39ED","2C18",0.369230769230769,"other"
"39ED","F44A",0.346666666666667,"other"
"39ED","2F8D",0.406976744186047,"other"
"39ED","44BD",0.513157894736842,"other"
"39ED","F377",0.473684210526316,"other"
"39ED","4FE4",0.507042253521127,"other"
"39ED","0D1B",0.421052631578947,"other"
"39ED","24E9",0.408450704225352,"other"
"39ED","4ECA",0.507692307692308,"other"
"39ED","4C7B",0.582089552238806,"other"
"39ED","22B0",0.0983606557377049,"other"
"39ED","E063",0.12962962962963,"other"
"39ED","076C",0.411764705882353,"other"
"39ED","EC1A",0.435897435897436,"other"
"39ED","7C6F",0.491803278688525,"other"
"39ED","D629",0.382352941176471,"other"
"39ED","C5F2",0.486486486486487,"other"
"39ED","C950",0.333333333333333,"other"
"39ED","A539",0.243243243243243,"other"
"39ED","DCCF",0.454545454545455,"other"
"39ED","ACF4",0.275,"other"
"39ED","15BF",0.36,"other"
"39ED","AA3C",0.0526315789473684,"other"
"39ED","9407",0.0555555555555556,"other"
"39ED","80F1",0.0363636363636364,"mother-daughter"
"39ED","CB2B",0.0344827586206897,"other"
"39ED","898A",0.0178571428571429,"other"
"39ED","5939",0.037037037037037,"other"
"AC35","BF04",0.453125,"other"
"AC35","41C1",0.34375,"other"
"AC35","29B2",0.32258064516129,"other"
"AC35","663E",0.34375,"other"
"AC35","D14D",0.393939393939394,"other"
"AC35","758",0.36,"other"
"AC35","9FB7",0.297297297297297,"other"
"AC35","1731",0.107142857142857,"other"
"AC35","377E",0.287878787878788,"other"
"AC35","B75C",0.316666666666667,"other"
"AC35","879F",0.311475409836066,"other"
"AC35","2C18",0.322033898305085,"other"
"AC35","F44A",0.285714285714286,"other"
"AC35","2F8D",0.375,"other"
"AC35","44BD",0.386666666666667,"other"
"AC35","F377",0.383561643835616,"other"
"AC35","4FE4",0.352112676056338,"other"
"AC35","0D1B",0.347222222222222,"other"
"AC35","24E9",0.348484848484849,"other"
"AC35","4ECA",0.338461538461538,"other"
"AC35","4C7B",0.319444444444444,"other"
"AC35","22B0",0.12,"other"
"AC35","E063",0.111111111111111,"other"
"AC35","076C",0.370967741935484,"other"
"AC35","EC1A",0.346666666666667,"other"
"AC35","7C6F",0.26984126984127,"other"
"AC35","D629",0.202898550724638,"other"
"AC35","C5F2",0.32,"other"
"AC35","C950",0.277777777777778,"other"
"AC35","A539",0.191176470588235,"other"
"AC35","DCCF",0.364864864864865,"other"
"AC35","ACF4",0.318840579710145,"other"
"AC35","15BF",0.318840579710145,"other"
"AC35","AA3C",0.0425531914893617,"mother-daughter"
"AC35","9407",0.0222222222222222,"other"
"AC35","CB2B",0.0425531914893617,"other"
"AC35","898A",0.0222222222222222,"other"
"AC35","5939",0.0227272727272727,"other"
"BF04","41C1",0.426470588235294,"other"
"BF04","29B2",0.453125,"other"
"BF04","663E",0.447761194029851,"other"
"BF04","D14D",0.537313432835821,"other"
"BF04","758",0.527027027027027,"other"
"BF04","9FB7",0.371794871794872,"other"
"BF04","1731",0.123076923076923,"other"
"BF04","377E",0.476923076923077,"other"
"BF04","B75C",0.578947368421053,"other"
"BF04","879F",0.467741935483871,"other"
"BF04","2C18",0.435483870967742,"other"
"BF04","F44A",0.311688311688312,"other"
"BF04","2F8D",0.44047619047619,"other"
"BF04","44BD",0.513157894736842,"other"
"BF04","F377",0.473684210526316,"other"
"BF04","4FE4",0.465753424657534,"other"
"BF04","0D1B",0.5,"other"
"BF04","24E9",0.408450704225352,"other"
"BF04","4ECA",0.484848484848485,"other"
"BF04","4C7B",0.536231884057971,"other"
"BF04","22B0",0.0634920634920635,"other"
"BF04","E063",0.0517241379310345,"other"
"BF04","076C",0.476923076923077,"other"
"BF04","EC1A",0.473684210526316,"other"
"BF04","7C6F",0.467741935483871,"other"
"BF04","D629",0.36231884057971,"other"
"BF04","C5F2",0.466666666666667,"other"
"BF04","C950",0.35593220338983,"other"
"BF04","A539",0.210526315789474,"other"
"BF04","DCCF",0.493333333333333,"other"
"BF04","ACF4",0.342105263157895,"other"
"BF04","15BF",0.416666666666667,"other"
"BF04","AA3C",0.0344827586206897,"other"
"BF04","9407",0.0363636363636364,"other"
"BF04","80F1",0.0178571428571429,"other"
"BF04","CB2B",0.0344827586206897,"other"
"BF04","898A",0.0178571428571429,"mother-daughter"
"BF04","5939",0.0181818181818182,"other"
"41C1","29B2",0.433333333333333,"other"
"41C1","663E",0.451612903225806,"other"
"41C1","D14D",0.5,"other"
"41C1","758",0.452054794520548,"other"
"41C1","9FB7",0.265822784810127,"other"
"41C1","1731",0.0819672131147541,"other"
"41C1","377E",0.412698412698413,"other"
"41C1","B75C",0.456140350877193,"other"
"41C1","879F",0.4,"other"
"41C1","2C18",0.344262295081967,"other"
"41C1","F44A",0.236842105263158,"other"
"41C1","2F8D",0.390243902439024,"other"
"41C1","44BD",0.384615384615385,"other"
"41C1","F377",0.363636363636364,"other"
