"","0D1B","1731","9E17","D726","2C18","07F9","3D98","B587","4ECA","39ED","B75C","52AD","6D0D","2F15","377E","3CA1","3F49","24E9","A8D2","AC35","AA57","5108","BF04","5672","4FE4","4C7B","41C1"
"0D1B",0,0.56910569105691,0.558333333333333,0.206611570247934,0.545454545454545,0.544,0.577235772357724,0.629032258064516,0.5,0.559055118110236,0.516393442622951,0.550387596899225,0.554621848739496,0.653543307086614,0.525,0.570247933884298,0.582089552238806,0.484375,0.495867768595041,0.572649572649573,0.413223140495868,0.365079365079365,0.169491525423729,0.163934426229508,0.196581196581197,0.175,0.104
"1731",0.56910569105691,0,0.535714285714286,0.323232323232323,0.52212389380531,0.695238095238095,0.420634920634921,0.558333333333333,0.446428571428571,0.512396694214876,0.491228070175439,0.528925619834711,0.545454545454545,0.547619047619048,0.541284403669725,0.5625,0.563492063492063,0.495726495726496,0.596153846153846,0.482456140350877,0.368421052631579,0.389380530973451,0.182692307692308,0.165137614678899,0.168224299065421,0.145454545454545,0.128440366972477
"9E17",0.558333333333333,0.535714285714286,0,0.302083333333333,0.495495495495495,0.563636363636364,0.572727272727273,0.573913043478261,0.431192660550459,0.638888888888889,0.401709401709402,0.516949152542373,0.464285714285714,0.536585365853659,0.486238532110092,0.536363636363636,0.578512396694215,0.508928571428571,0.509433962264151,0.567307692307692,0.388888888888889,0.398148148148148,0.114285714285714,0.0803571428571429,0.101851851851852,0.111111111111111,0.0934579439252336
"D726",0.206611570247934,0.323232323232323,0.302083333333333,0,0.25,0.31,0.233644859813084,0.272727272727273,0.263736263736264,0.247706422018349,0.28125,0.254545454545455,0.242424242424242,0.243697478991597,0.260416666666667,0.219047619047619,0.271186440677966,0.292929292929293,0.265957446808511,0.257731958762887,0.297619047619048,0.447368421052632,0,0,0,0,0
"2C18",0.545454545454545,0.52212389380531,0.495495495495495,0.25,0,0.52212389380531,0.558558558558559,0.533898305084746,0.485714285714286,0.462809917355372,0.532710280373832,0.52991452991453,0.532710280373832,0.512,0.514018691588785,0.522522522522523,0.565573770491803,0.456896551724138,0.415929203539823,0.468468468468468,0.428571428571429,0.348214285714286,0.158415841584158,0.163461538461538,0.19,0.176470588235294,0.10377358490566
"07F9",0.544,0.695238095238095,0.563636363636364,0.31,0.52212389380531,0,0.455284552845528,0.571428571428571,0.486238532110092,0.564102564102564,0.46551724137931,0.594827586206897,0.531531531531532,0.5234375,0.527272727272727,0.590909090909091,0.588709677419355,0.521739130434783,0.596153846153846,0.55045871559633,0.418181818181818,0.365217391304348,0.194174757281553,0.144144144144144,0.179245283018868,0.177570093457944,0.138888888888889
"3D98",0.577235772357724,0.420634920634921,0.572727272727273,0.233644859813084,0.558558558558559,0.455284552845528,0,0.516129032258065,0.429824561403509,0.483870967741935,0.474137931034483,0.51219512195122,0.436974789915966,0.484848484848485,0.522522522522523,0.454545454545455,0.596774193548387,0.504273504273504,0.415254237288136,0.504424778761062,0.427272727272727,0.362068965517241,0.127272727272727,0.11304347826087,0.166666666666667,0.154545454545455,0.107142857142857
"B587",0.629032258064516,0.558333333333333,0.573913043478261,0.272727272727273,0.533898305084746,0.571428571428571,0.516129032258065,0,0.436974789915966,0.573770491803279,0.467213114754098,0.53968253968254,0.516949152542373,0.645161290322581,0.462809917355372,0.6,0.572519083969466,0.508196721311475,0.483050847457627,0.508474576271186,0.486486486486487,0.360655737704918,0.147826086956522,0.142857142857143,0.185840707964602,0.173913043478261,0.137931034482759
"4ECA",0.5,0.446428571428571,0.431192660550459,0.263736263736264,0.485714285714286,0.486238532110092,0.429824561403509,0.436974789915966,0,0.439655172413793,0.466666666666667,0.482456140350877,0.439252336448598,0.455284552845528,0.433962264150943,0.432432432432432,0.471544715447154,0.445454545454545,0.442307692307692,0.443396226415094,0.505376344086022,0.396039603960396,0.202247191011236,0.168421052631579,0.197802197802198,0.195652173913043,0.150537634408602
"39ED",0.559055118110236,0.512396694214876,0.638888888888889,0.247706422018349,0.462809917355372,0.564102564102564,0.483870967741935,0.573770491803279,0.439655172413793,0,0.508620689655172,0.544715447154472,0.535087719298246,0.5625,0.491379310344828,0.525423728813559,0.553846153846154,0.525423728813559,0.5,0.526315789473684,0.352941176470588,0.384615384615385,0.153153153153153,0.109243697478992,0.140350877192982,0.129310344827586,0.12280701754386
