"","6D0D","2C18","3F49","24E9","4FE4","07F9","377E","B75C","0D1B","1731","3D98","AA57","5108","41C1","B587","9E17","D726","AC35","BF04","5672","4C7B","4ECA","3CA1","52AD","39ED","22B0","29B2","5ACA","C950","E063","7C6F","076C","6BD8","879F"
"6D0D",0,0.364705882352941,0.36734693877551,0.348837209302326,0.431578947368421,0.348837209302326,0.428571428571429,0.406593406593407,0.34020618556701,0.337349397590361,0.345679012345679,0.415730337078652,0.378947368421053,0.419354838709677,0.428571428571429,0.383561643835616,0.352272727272727,0.311827956989247,0.455555555555556,0.375,0.478260869565217,0.421686746987952,0.307692307692308,0.417582417582418,0.326530612244898,0.116883116883117,0.166666666666667,0.181818181818182,0.164705882352941,0.168831168831169,0.195121951219512,0.236842105263158,0.214285714285714,0.142857142857143
"2C18",0.364705882352941,0,0.5,0.395348837209302,0.428571428571429,0.379310344827586,0.443037974683544,0.5,0.425531914893617,0.337209302325581,0.298850574712644,0.494252873563218,0.40625,0.431578947368421,0.441860465116279,0.346153846153846,0.366666666666667,0.4,0.377551020408163,0.402061855670103,0.386138613861386,0.355555555555556,0.413333333333333,0.4,0.34,0.216216216216216,0.144578313253012,0.1875,0.197674418604651,0.175,0.159090909090909,0.225,0.126582278481013,0.136363636363636
"3F49",0.36734693877551,0.5,0,0.483870967741935,0.476635514018692,0.483870967741935,0.389473684210526,0.45631067961165,0.433962264150943,0.385416666666667,0.31,0.450980392156863,0.429906542056075,0.425925925925926,0.434343434343434,0.308510638297872,0.396039603960396,0.515789473684211,0.403669724770642,0.495145631067961,0.44954128440367,0.346153846153846,0.409090909090909,0.495049504950495,0.394495412844037,0.173913043478261,0.164948453608247,0.202127659574468,0.222222222222222,0.166666666666667,0.176470588235294,0.247311827956989,0.114583333333333,0.123809523809524
"24E9",0.348837209302326,0.395348837209302,0.483870967741935,0,0.414141414141414,0.411764705882353,0.310344827586207,0.404255319148936,0.425531914893617,0.306818181818182,0.313953488372093,0.354166666666667,0.40625,0.36,0.425287356321839,0.363636363636364,0.5,0.384615384615385,0.336633663366337,0.402061855670103,0.320754716981132,0.370786516853933,0.358974358974359,0.357142857142857,0.353535353535354,0.139240506329114,0.104651162790698,0.158536585365854,0.131868131868132,0.0930232558139535,0.0967741935483871,0.152941176470588,0.0987654320987654,0.136363636363636
"4FE4",0.431578947368421,0.428571428571429,0.476635514018692,0.414141414141414,0,0.386138613861386,0.425531914893617,0.407407407407407,0.495145631067961,0.336633663366337,0.4,0.485148514851485,0.383928571428571,0.444444444444444,0.454545454545455,0.358695652173913,0.375,0.377358490566038,0.409090909090909,0.544554455445545,0.454545454545455,0.434343434343434,0.285714285714286,0.443396226415094,0.375,0.208791208791209,0.223404255319149,0.185567010309278,0.242424242424242,0.1875,0.196078431372549,0.282608695652174,0.172043010752688,0.16504854368932
"07F9",0.348837209302326,0.379310344827586,0.483870967741935,0.411764705882353,0.386138613861386,0,0.325581395348837,0.466666666666667,0.288461538461538,0.385542168674699,0.228260869565217,0.41304347826087,0.377551020408163,0.416666666666667,0.409090909090909,0.346153846153846,0.32258064516129,0.340425531914894,0.377551020408163,0.36,0.48936170212766,0.297872340425532,0.325,0.49438202247191,0.353535353535354,0.2,0.20253164556962,0.25,0.2875,0.205128205128205,0.291139240506329,0.306666666666667,0.186666666666667,0.19047619047619
"377E",0.428571428571429,0.443037974683544,0.389473684210526,0.310344827586207,0.425531914893617,0.325581395348837,0,0.384615384615385,0.347368421052632,0.329268292682927,0.289156626506024,0.409090909090909,0.277227722772277,0.354166666666667,0.439024390243902,0.356164383561644,0.314606741573034,0.395348837209302,0.417582417582418,0.41304347826087,0.440860215053763,0.380952380952381,0.282051282051282,0.476744186046512,0.376344086021505,0.217391304347826,0.219178082191781,0.236111111111111,0.276315789473684,0.257142857142857,0.263157894736842,0.295774647887324,0.220588235294118,0.205128205128205
"B75C",0.406593406593407,0.5,0.45631067961165,0.404255319148936,0.407407407407407,0.466666666666667,0.384615384615385,0,0.445544554455446,0.411111111111111,0.373626373626374,0.448979591836735,0.455445544554455,0.40952380952381,0.511111111111111,0.409638554216867,0.40625,0.366336633663366,0.441176470588235,0.525773195876289,0.475728155339806,0.353535353535354,0.388235294117647,0.464646464646465,0.445544554455446,0.186046511627907,0.175824175824176,0.188888888888889,0.197916666666667,0.164835164835165,0.175257731958763,0.195652173913043,0.147727272727273,0.154639175257732
"0D1B",0.34020618556701,0.425531914893617,0.433962264150943,0.425531914893617,0.495145631067961,0.288461538461538,0.347368421052632,0.445544554455446,0,0.387096774193548,0.476744186046512,0.469387755102041,0.405660377358491,0.388888888888889,0.4375,0.4,0.427083333333333,0.386138613861386,0.405660377358491,0.515151515151515,0.350877192982456,0.402061855670103,0.363636363636364,0.441176470588235,0.298245614035088,0.223529411764706,0.135416666666667,0.224719101123595,0.114285714285714,0.125,0.137254901960784,0.166666666666667,0.144444444444444,0.2
"1731",0.337349397590361,0.337209302325581,0.385416666666667,0.306818181818182,0.336633663366337,0.385542168674699,0.329268292682927,0.411111111111111,0.387096774193548,0,0.384615384615385,0.358695652173913,0.428571428571429,0.378947368421053,0.433734939759036,0.351351351351351,0.325842696629214,0.359550561797753,0.368421052631579,0.408602150537634,0.451612903225806,0.258064516129032,0.422535211267606,0.361702127659574,0.29,0.103896103896104,0.125,0.153846153846154,0.126436781609195,0.0853658536585366,0.114942528735632,0.107142857142857,0.105263157894737,0.104651162790698
