"","1731","6D0D","D726","07F9","AA57","BF04","C950","39ED","377E","B75C","9E17","4FE4","0D1B","2C18","24E9","4ECA","AC35","52AD","4C7B","41C1","22B0","076C","879F","B587","7C6F","3F49","E063","29B2","EC1A","663E","6B55","9A91","125F","F534","256A","2BFD"
"1731",0,0.385964912280702,0.25,0.285714285714286,0.194029850746269,0.333333333333333,0.280701754385965,0.283582089552239,0.34,0.372881355932203,0.365384615384615,0.185714285714286,0.206349206349206,0.290322580645161,0.241379310344828,0.214285714285714,0.264150943396226,0.253521126760563,0.288461538461538,0.278688524590164,0.121212121212121,0.2,0.185714285714286,0.202898550724638,0.183333333333333,0.323076923076923,0.234042553191489,0.0952380952380952,0.087719298245614,0.0943396226415094,0.0571428571428571,0.0952380952380952,0.0263157894736842,0.0789473684210526,0.02,0.0178571428571429
"6D0D",0.385964912280702,0,0.253731343283582,0.363636363636364,0.202702702702703,0.293333333333333,0.28125,0.233766233766234,0.333333333333333,0.384615384615385,0.35593220338983,0.164556962025316,0.180555555555556,0.271428571428571,0.372881355932203,0.305555555555556,0.288135593220339,0.289473684210526,0.245901639344262,0.279411764705882,0.136986301369863,0.175675675675676,0.15,0.194805194805195,0.176470588235294,0.357142857142857,0.155172413793103,0.181818181818182,0.224137931034483,0.196428571428571,0.0921052631578947,0.1,0,0.0416666666666667,0.111111111111111,0.0153846153846154
"D726",0.25,0.253731343283582,0,0.162162162162162,0.349206349206349,0.192307692307692,0.258064516129032,0.166666666666667,0.2,0.323076923076923,0.333333333333333,0.257142857142857,0.246153846153846,0.307692307692308,0.222222222222222,0.216216216216216,0.241379310344828,0.253333333333333,0.358490566037736,0.202898550724638,0.253968253968254,0.238805970149254,0.189189189189189,0.294117647058824,0.134328358208955,0.22972972972973,0.188679245283019,0.121212121212121,0.0307692307692308,0.05,0.0821917808219178,0.0625,0.0476190476190476,0.0697674418604651,0,0.0163934426229508
"07F9",0.285714285714286,0.363636363636364,0.162162162162162,0,0.213333333333333,0.571428571428571,0.217391304347826,0.310810810810811,0.258064516129032,0.26027397260274,0.28125,0.220779220779221,0.208333333333333,0.318840579710145,0.383333333333333,0.230769230769231,0.2,0.204819277108434,0.0985915492957746,0.219178082191781,0.214285714285714,0.171052631578947,0.175,0.287671232876712,0.188405797101449,0.293333333333333,0.15,0.230769230769231,0.19672131147541,0.254545454545455,0.103896103896104,0.0754716981132075,0.0204081632653061,0.0196078431372549,0.087719298245614,0.0149253731343284
"AA57",0.194029850746269,0.202702702702703,0.349206349206349,0.213333333333333,0,0.289473684210526,0.296875,0.28,0.262295081967213,0.3,0.285714285714286,0.453125,0.482758620689655,0.475409836065574,0.28125,0.301369863013699,0.262295081967213,0.356164383561644,0.480769230769231,0.27536231884058,0.292307692307692,0.491525423728814,0.367647058823529,0.476190476190476,0.227272727272727,0.263157894736842,0.172413793103448,0.112676056338028,0.0588235294117647,0.114754098360656,0.166666666666667,0.037037037037037,0.0208333333333333,0.02,0.0517241379310345,0.0983606557377049
"BF04",0.333333333333333,0.293333333333333,0.192307692307692,0.571428571428571,0.289473684210526,0,0.3,0.333333333333333,0.328125,0.337837837837838,0.328358208955224,0.311688311688312,0.342857142857143,0.342465753424658,0.304347826086957,0.271604938271605,0.231884057971014,0.304878048780488,0.214285714285714,0.352112676056338,0.17948717948718,0.28,0.216867469879518,0.383561643835616,0.253521126760563,0.368421052631579,0.169230769230769,0.175675675675676,0.176470588235294,0.169230769230769,0.0952380952380952,0.0491803278688525,0.0555555555555556,0.0350877192982456,0.078125,0.0714285714285714
"C950",0.280701754385965,0.28125,0.258064516129032,0.217391304347826,0.296875,0.3,0,0.236111111111111,0.25,0.4,0.254237288135593,0.246376811594203,0.215384615384615,0.276923076923077,0.25,0.294117647058824,0.48936170212766,0.314285714285714,0.296296296296296,0.327868852459016,0.184615384615385,0.306451612903226,0.228571428571429,0.178082191780822,0.174603174603175,0.253521126760563,0.22,0.125,0.140350877192982,0.0701754385964912,0.0845070422535211,0,0,0,0.148936170212766,0.132075471698113
"39ED",0.283582089552239,0.233766233766234,0.166666666666667,0.310810810810811,0.28,0.333333333333333,0.236111111111111,0,0.276923076923077,0.293333333333333,0.225352112676056,0.302631578947368,0.26027397260274,0.371428571428571,0.222222222222222,0.346666666666667,0.238805970149254,0.296296296296296,0.152777777777778,0.305555555555556,0.304347826086957,0.236842105263158,0.337837837837838,0.32,0.225352112676056,0.228915662650602,0.121212121212121,0.26865671641791,0.238095238095238,0.174603174603175,0.216216216216216,0.0333333333333333,0.0576923076923077,0.0754716981132075,0.175438596491228,0.158730158730159
"377E",0.34,0.333333333333333,0.2,0.258064516129032,0.262295081967213,0.328125,0.25,0.276923076923077,0,0.368421052631579,0.307692307692308,0.25,0.19672131147541,0.375,0.277777777777778,0.223880597014925,0.333333333333333,0.178082191780822,0.361702127659574,0.209677419354839,0.145161290322581,0.229508196721311,0.26984126984127,0.212121212121212,0.172413793103448,0.317460317460317,0.222222222222222,0.157894736842105,0.134615384615385,0.145833333333333,0.0597014925373134,0.0238095238095238,0.0588235294117647,0.027027027027027,0.0909090909090909,0.0384615384615385
"B75C",0.372881355932203,0.384615384615385,0.323076923076923,0.26027397260274,0.3,0.337837837837838,0.4,0.293333333333333,0.368421052631579,0,0.413793103448276,0.236842105263158,0.208333333333333,0.378787878787879,0.317460317460317,0.230769230769231,0.392857142857143,0.234567901234568,0.3,0.390625,0.164383561643836,0.253521126760563,0.253333333333333,0.220779220779221,0.205882352941176,0.366197183098592,0.169491525423729,0.212121212121212,0.17741935483871,0.169491525423729,0.103896103896104,0.0555555555555556,0.0416666666666667,0.0612244897959184,0.087719298245614,0.0625
