"","0D1B","2C18","4ECA","39ED","B75C","076C","879F","377E","AC35","4FE4","4C7B","22B0","29B2","C950","BF04","1731","24E9","41C1","663E","256A","E063","7C6F","EC1A","0758"
"0D1B",0,0.363636363636364,0.382978723404255,0.375,0.371428571428571,0.372549019607843,0.386363636363636,0.394736842105263,0.297872340425532,0.468085106382979,0.469387755102041,0.4,0.326086956521739,0.31578947368421,0.414634146341463,0.421052631578947,0.325,0.276595744680851,0.341463414634146,0.35,0.384615384615385,0.304347826086957,0.355555555555556,0.155555555555556
"2C18",0.363636363636364,0,0.418604651162791,0.51219512195122,0.375,0.5,0.357142857142857,0.361111111111111,0.425,0.477272727272727,0.387755102040816,0.3,0.461538461538462,0.352941176470588,0.421052631578947,0.31578947368421,0.361111111111111,0.4,0.214285714285714,0.351351351351351,0.31578947368421,0.302325581395349,0.390243902439024,0.263157894736842
"4ECA",0.382978723404255,0.418604651162791,0,0.456521739130435,0.361111111111111,0.448979591836735,0.319148936170213,0.384615384615385,0.409090909090909,0.4,0.403846153846154,0.325581395348837,0.51219512195122,0.275,0.311111111111111,0.447368421052632,0.384615384615385,0.386363636363636,0.272727272727273,0.30952380952381,0.447368421052632,0.386363636363636,0.409090909090909,0.472222222222222
"39ED",0.375,0.51219512195122,0.456521739130435,0,0.31578947368421,0.5,0.369565217391304,0.375,0.465116279069767,0.42,0.450980392156863,0.318181818181818,0.465116279069767,0.268292682926829,0.463414634146341,0.302325581395349,0.341463414634146,0.441860465116279,0.1875,0.302325581395349,0.365853658536585,0.377777777777778,0.4,0.317073170731707
"B75C",0.371428571428571,0.375,0.361111111111111,0.31578947368421,0,0.317073170731707,0.40625,0.37037037037037,0.25,0.292682926829268,0.272727272727273,0.333333333333333,0.323529411764706,0.478260869565217,0.3125,0.310344827586207,0.321428571428571,0.294117647058824,0.3,0.357142857142857,0.407407407407407,0.222222222222222,0.25,0.125
"076C",0.372549019607843,0.5,0.448979591836735,0.5,0.317073170731707,0,0.395833333333333,0.311111111111111,0.34,0.595744680851064,0.625,0.441860465116279,0.456521739130435,0.272727272727273,0.488372093023256,0.304347826086957,0.311111111111111,0.32,0.270833333333333,0.276595744680851,0.395348837209302,0.404255319148936,0.425531914893617,0.260869565217391
"879F",0.386363636363636,0.357142857142857,0.319148936170213,0.369565217391304,0.40625,0.395833333333333,0,0.351351351351351,0.318181818181818,0.434782608695652,0.352941176470588,0.394736842105263,0.526315789473684,0.305555555555556,0.375,0.342105263157895,0.351351351351351,0.583333333333333,0.405405405405405,0.342105263157895,0.416666666666667,0.461538461538462,0.318181818181818,0.195121951219512
"377E",0.394736842105263,0.361111111111111,0.384615384615385,0.375,0.37037037037037,0.311111111111111,0.351351351351351,0,0.351351351351351,0.348837209302326,0.297872340425532,0.285714285714286,0.515151515151515,0.344827586206897,0.342857142857143,0.387096774193548,0.4,0.441176470588235,0.375,0.264705882352941,0.482758620689655,0.361111111111111,0.351351351351351,0.242424242424242
"AC35",0.297872340425532,0.425,0.409090909090909,0.465116279069767,0.25,0.34,0.318181818181818,0.351351351351351,0,0.32,0.30188679245283,0.261904761904762,0.45,0.27027027027027,0.447368421052632,0.416666666666667,0.428571428571429,0.461538461538462,0.268292682926829,0.378378378378378,0.457142857142857,0.461538461538462,0.487179487179487,0.4
"4FE4",0.468085106382979,0.477272727272727,0.4,0.42,0.292682926829268,0.595744680851064,0.434782608695652,0.348837209302326,0.32,0,0.604166666666667,0.525,0.404255319148936,0.375,0.465116279069767,0.282608695652174,0.288888888888889,0.326530612244898,0.333333333333333,0.340909090909091,0.372093023255814,0.382978723404255,0.434782608695652,0.239130434782609
"4C7B",0.469387755102041,0.387755102040816,0.403846153846154,0.450980392156863,0.272727272727273,0.625,0.352941176470588,0.297872340425532,0.30188679245283,0.604166666666667,0,0.454545454545455,0.38,0.318181818181818,0.375,0.347826086956522,0.270833333333333,0.283018867924528,0.285714285714286,0.319148936170213,0.409090909090909,0.36,0.38,0.176470588235294
"22B0",0.4,0.3,0.325581395348837,0.318181818181818,0.333333333333333,0.441860465116279,0.394736842105263,0.285714285714286,0.261904761904762,0.525,0.454545454545455,0,0.358974358974359,0.235294117647059,0.282051282051282,0.314285714285714,0.323529411764706,0.268292682926829,0.236842105263158,0.243243243243243,0.393939393939394,0.3,0.432432432432432,0.189189189189189
"29B2",0.326086956521739,0.461538461538462,0.51219512195122,0.465116279069767,0.323529411764706,0.456521739130435,0.526315789473684,0.515151515151515,0.45,0.404255319148936,0.38,0.358974358974359,0,0.305555555555556,0.447368421052632,0.457142857142857,0.470588235294118,0.583333333333333,0.368421052631579,0.275,0.545454545454545,0.5,0.414634146341463,0.289473684210526
"C950",0.31578947368421,0.352941176470588,0.275,0.268292682926829,0.478260869565217,0.272727272727273,0.305555555555556,0.344827586206897,0.27027027027027,0.375,0.318181818181818,0.235294117647059,0.305555555555556,0,0.419354838709677,0.290322580645161,0.21875,0.352941176470588,0.464285714285714,0.481481481481481,0.379310344827586,0.314285714285714,0.236842105263158,0.0857142857142857
"BF04",0.414634146341463,0.421052631578947,0.311111111111111,0.463414634146341,0.3125,0.488372093023256,0.375,0.342857142857143,0.447368421052632,0.465116279069767,0.375,0.282051282051282,0.447368421052632,0.419354838709677,0,0.371428571428571,0.382352941176471,0.384615384615385,0.4,0.411764705882353,0.454545454545455,0.421052631578947,0.341463414634146,0.17948717948718
