"","2C18","1731","24E9","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","C950","E063","076C","879F","EC1A","663E","D14D","7C6F","758","0D1B","377E","256A","F44A","A539","2F8D","44BD","DCCF","9FB7","F377","ACF4","DE72","D629","C5F2"
"2C18",0,0.19047619047619,0.40506329113924,0.38961038961039,0.314606741573034,0.397260273972603,0.30379746835443,0.402597402597403,0.555555555555556,0.4,0.345679012345679,0.428571428571429,0.356164383561644,0.333333333333333,0.408450704225352,0.457142857142857,0.382352941176471,0.372093023255814,0.378048780487805,0.376623376623377,0.557142857142857,0.365591397849462,0.4625,0.411764705882353,0.285714285714286,0.184615384615385,0.153846153846154,0.205882352941176,0.203125,0.171428571428571,0.193548387096774,0.176470588235294,0.217391304347826,0.0689655172413793,0.153846153846154,0.176470588235294
"1731",0.19047619047619,0,0.205479452054795,0.2,0.220779220779221,0.196969696969697,0.176470588235294,0.214285714285714,0.289855072463768,0.186666666666667,0.246376811594203,0.222222222222222,0.151515151515152,0.203125,0.283333333333333,0.234375,0.203389830508475,0.25,0.304347826086957,0.121621621621622,0.264705882352941,0.181818181818182,0.253333333333333,0.216666666666667,0.288888888888889,0,0,0,0,0,0,0,0,0,0,0
"24E9",0.40506329113924,0.205479452054795,0,0.558441558441558,0.585365853658537,0.493506493506494,0.397590361445783,0.531645569620253,0.488095238095238,0.54320987654321,0.626666666666667,0.467532467532468,0.454545454545455,0.430379746835443,0.345238095238095,0.455696202531646,0.445945945945946,0.455555555555556,0.465116279069767,0.4875,0.370786516853933,0.590909090909091,0.477272727272727,0.415584415584416,0.36231884057971,0.111111111111111,0.142857142857143,0.1875,0.168831168831169,0.158536585365854,0.144736842105263,0.192307692307692,0.154761904761905,0.0869565217391304,0.142857142857143,0.148148148148148
"4ECA",0.38961038961039,0.2,0.558441558441558,0,0.555555555555556,0.441558441558442,0.435897435897436,0.56,0.531645569620253,0.475609756097561,0.532467532467532,0.453333333333333,0.565217391304348,0.513888888888889,0.379746835443038,0.441558441558442,0.450704225352113,0.443181818181818,0.435294117647059,0.533333333333333,0.404761904761905,0.619047619047619,0.448275862068966,0.418918918918919,0.285714285714286,0.162162162162162,0.166666666666667,0.246575342465753,0.194444444444444,0.3,0.185714285714286,0.202702702702703,0.223684210526316,0.0923076923076923,0.183098591549296,0.271428571428571
"39ED",0.314606741573034,0.220779220779221,0.585365853658537,0.555555555555556,0,0.531645569620253,0.452380952380952,0.628205128205128,0.43956043956044,0.55952380952381,0.6,0.383720930232558,0.45679012345679,0.451219512195122,0.383720930232558,0.457831325301205,0.486842105263158,0.593023255813954,0.48314606741573,0.602564102564103,0.361702127659574,0.622222222222222,0.545454545454545,0.419753086419753,0.36986301369863,0.142857142857143,0.220779220779221,0.231707317073171,0.215189873417722,0.246913580246914,0.192307692307692,0.2375,0.226190476190476,0.0945945945945946,0.175,0.222222222222222
"B75C",0.397260273972603,0.196969696969697,0.493506493506494,0.441558441558442,0.531645569620253,0,0.407894736842105,0.671641791044776,0.487179487179487,0.73134328358209,0.506666666666667,0.424657534246575,0.410958904109589,0.6,0.485714285714286,0.492957746478873,0.441176470588235,0.506172839506173,0.5,0.447368421052632,0.4125,0.505747126436782,0.457831325301205,0.470588235294118,0.370967741935484,0.10958904109589,0.196969696969697,0.211267605633803,0.191176470588235,0.194444444444444,0.181818181818182,0.217391304347826,0.205479452054795,0.157894736842105,0.17910447761194,0.2
"AC35",0.30379746835443,0.176470588235294,0.397590361445783,0.435897435897436,0.452380952380952,0.407894736842105,0,0.430379746835443,0.409638554216867,0.426829268292683,0.443037974683544,0.381578947368421,0.405405405405405,0.458333333333333,0.346153846153846,0.38961038961039,0.434782608695652,0.464285714285714,0.35632183908046,0.48,0.373493975903614,0.517241379310345,0.452380952380952,0.422535211267606,0.283582089552239,0.223880597014925,0.142857142857143,0.208333333333333,0.205882352941176,0.242857142857143,0.17910447761194,0.180555555555556,0.202702702702703,0.046875,0.176470588235294,0.214285714285714
"BF04",0.402597402597403,0.214285714285714,0.531645569620253,0.56,0.628205128205128,0.671641791044776,0.430379746835443,0,0.525,0.671232876712329,0.506329113924051,0.486486486486487,0.472972972972973,0.549295774647887,0.527777777777778,0.493333333333333,0.485714285714286,0.560975609756098,0.5,0.526315789473684,0.433734939759036,0.522222222222222,0.494117647058824,0.492957746478873,0.378787878787879,0.175675675675676,0.180555555555556,0.210526315789474,0.175675675675676,0.210526315789474,0.150684931506849,0.2,0.189873417721519,0.107692307692308,0.180555555555556,0.2
"4FE4",0.555555555555556,0.289855072463768,0.488095238095238,0.531645569620253,0.43956043956044,0.487179487179487,0.409638554216867,0.525,0,0.518072289156627,0.464285714285714,0.540540540540541,0.448717948717949,0.425,0.540540540540541,0.468354430379747,0.44,0.466666666666667,0.567901234567901,0.379310344827586,0.708333333333333,0.54945054945055,0.597560975609756,0.571428571428571,0.338028169014085,0.197368421052632,0.141025641025641,0.215189873417722,0.181818181818182,0.185185185185185,0.173333333333333,0.189873417721519,0.195121951219512,0.0555555555555556,0.155844155844156,0.205128205128205
"4C7B",0.4,0.186666666666667,0.54320987654321,0.475609756097561,0.55952380952381,0.73134328358209,0.426829268292683,0.671232876712329,0.518072289156627,0,0.5375,0.425,0.448717948717949,0.540540540540541,0.461538461538462,0.414634146341463,0.421052631578947,0.552941176470588,0.530120481927711,0.558441558441558,0.5,0.566666666666667,0.488636363636364,0.447368421052632,0.357142857142857,0.151898734177215,0.202702702702703,0.230769230769231,0.197368421052632,0.2,0.189189189189189,0.236842105263158,0.256410256410256,0.117647058823529,0.186666666666667,0.205128205128205
