"","39ED","AC35","BF04","41C1","29B2","663E","D14D","758","9FB7","1731","377E","B75C","879F","2C18","F44A","2F8D","44BD","F377","4FE4","0D1B","24E9","4ECA","4C7B","22B0","E063","076C","EC1A","7C6F","D629","C5F2","C950","A539","DCCF","ACF4","15BF","AA3C","204F","9407","80F1","CB2B","898A","5939"
"39ED",0,0.388059701492537,0.552238805970149,0.385714285714286,0.476190476190476,0.46969696969697,0.537313432835821,0.506666666666667,0.371794871794872,0.158730158730159,0.454545454545455,0.475409836065574,0.444444444444444,0.369230769230769,0.346666666666667,0.406976744186047,0.513157894736842,0.473684210526316,0.507042253521127,0.421052631578947,0.408450704225352,0.507692307692308,0.582089552238806,0.0983606557377049,0.12962962962963,0.411764705882353,0.435897435897436,0.491803278688525,0.382352941176471,0.486486486486487,0.333333333333333,0.243243243243243,0.454545454545455,0.275,0.36,0.0526315789473684,0,0.0555555555555556,0.0363636363636364,0.0344827586206897,0.0178571428571429,0.037037037037037
"AC35",0.388059701492537,0,0.453125,0.34375,0.32258064516129,0.34375,0.393939393939394,0.36,0.297297297297297,0.107142857142857,0.287878787878788,0.316666666666667,0.311475409836066,0.322033898305085,0.285714285714286,0.375,0.386666666666667,0.383561643835616,0.352112676056338,0.347222222222222,0.348484848484849,0.338461538461538,0.319444444444444,0.12,0.111111111111111,0.370967741935484,0.346666666666667,0.26984126984127,0.202898550724638,0.32,0.277777777777778,0.191176470588235,0.364864864864865,0.318840579710145,0.318840579710145,0.0425531914893617,0,0.0222222222222222,0,0.0425531914893617,0.0222222222222222,0.0227272727272727
"BF04",0.552238805970149,0.453125,0,0.426470588235294,0.453125,0.447761194029851,0.537313432835821,0.527027027027027,0.371794871794872,0.123076923076923,0.476923076923077,0.578947368421053,0.467741935483871,0.435483870967742,0.311688311688312,0.44047619047619,0.513157894736842,0.473684210526316,0.465753424657534,0.5,0.408450704225352,0.484848484848485,0.536231884057971,0.0634920634920635,0.0517241379310345,0.476923076923077,0.473684210526316,0.467741935483871,0.36231884057971,0.466666666666667,0.35593220338983,0.210526315789474,0.493333333333333,0.342105263157895,0.416666666666667,0.0344827586206897,0,0.0363636363636364,0.0178571428571429,0.0344827586206897,0.0178571428571429,0.0181818181818182
"41C1",0.385714285714286,0.34375,0.426470588235294,0,0.433333333333333,0.451612903225806,0.5,0.452054794520548,0.265822784810127,0.0819672131147541,0.412698412698413,0.456140350877193,0.4,0.344262295081967,0.236842105263158,0.390243902439024,0.384615384615385,0.363636363636364,0.408450704225352,0.402777777777778,0.367647058823529,0.421875,0.5,0.132075471698113,0.0384615384615385,0.369230769230769,0.418918918918919,0.272727272727273,0.208333333333333,0.373333333333333,0.327272727272727,0.180555555555556,0.381578947368421,0.301369863013699,0.338028169014085,0.06,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0816326530612245,0.0204081632653061,0.0425531914893617
"29B2",0.476190476190476,0.32258064516129,0.453125,0.433333333333333,0,0.433333333333333,0.533333333333333,0.436619718309859,0.230769230769231,0.0508474576271186,0.39344262295082,0.436363636363636,0.428571428571429,0.444444444444444,0.267605633802817,0.428571428571429,0.444444444444444,0.442857142857143,0.454545454545455,0.385714285714286,0.435483870967742,0.426229508196721,0.439393939393939,0.12,0.111111111111111,0.46551724137931,0.311688311688312,0.379310344827586,0.317460317460317,0.455882352941176,0.352941176470588,0.140845070422535,0.346666666666667,0.181818181818182,0.3,0.0425531914893617,0.0222222222222222,0.0454545454545455,0.0222222222222222,0.0208333333333333,0.0454545454545455,0.0465116279069767
"663E",0.46969696969697,0.34375,0.447761194029851,0.451612903225806,0.433333333333333,0,0.548387096774194,0.514285714285714,0.31578947368421,0.2,0.412698412698413,0.482142857142857,0.377049180327869,0.366666666666667,0.323943661971831,0.461538461538462,0.421052631578947,0.381578947368421,0.515151515151515,0.402777777777778,0.273972602739726,0.4,0.523076923076923,0.0909090909090909,0.125,0.348484848484849,0.438356164383562,0.292307692307692,0.279411764705882,0.391891891891892,0.303571428571429,0.214285714285714,0.381578947368421,0.233766233766234,0.319444444444444,0,0,0,0,0,0,0
"D14D",0.537313432835821,0.393939393939394,0.537313432835821,0.5,0.533333333333333,0.548387096774194,0,0.493333333333333,0.341772151898734,0.161290322580645,0.583333333333333,0.508474576271186,0.475409836065574,0.375,0.265822784810127,0.428571428571429,0.425,0.441558441558442,0.413333333333333,0.426666666666667,0.356164383561644,0.515625,0.544117647058823,0.0819672131147541,0.0909090909090909,0.484375,0.40506329113924,0.384615384615385,0.273972602739726,0.43421052631579,0.338983050847458,0.181818181818182,0.3875,0.328947368421053,0.346666666666667,0.0350877192982456,0,0.037037037037037,0.0181818181818182,0.0172413793103448,0.0181818181818182,0.0377358490566038
"758",0.506666666666667,0.36,0.527027027027027,0.452054794520548,0.436619718309859,0.514285714285714,0.493333333333333,0,0.380952380952381,0.154929577464789,0.438356164383562,0.546875,0.428571428571429,0.420289855072464,0.486486486486487,0.566265060240964,0.569620253164557,0.457831325301205,0.546666666666667,0.5,0.43421052631579,0.445945945945946,0.619718309859155,0.151515151515152,0.09375,0.418918918918919,0.531645569620253,0.408450704225352,0.30379746835443,0.545454545454545,0.308823529411765,0.328947368421053,0.551282051282051,0.275862068965517,0.40506329113924,0.0147058823529412,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0298507462686567,0.0153846153846154,0
"9FB7",0.371794871794872,0.297297297297297,0.371794871794872,0.265822784810127,0.230769230769231,0.31578947368421,0.341772151898734,0.380952380952381,0,0.288135593220339,0.414285714285714,0.309859154929577,0.253333333333333,0.277777777777778,0.405405405405405,0.441860465116279,0.493670886075949,0.474358974358974,0.358024691358025,0.37037037037037,0.30379746835443,0.294871794871795,0.397435897435897,0.129032258064516,0.12280701754386,0.269230769230769,0.474358974358974,0.323943661971831,0.328767123287671,0.4125,0.257575757575758,0.507936507936508,0.4375,0.567164179104478,0.438356164383562,0.0677966101694915,0.0526315789473684,0.0344827586206897,0.0344827586206897,0.05,0.0169491525423729,0.0535714285714286
"1731",0.158730158730159,0.107142857142857,0.123076923076923,0.0819672131147541,0.0508474576271186,0.2,0.161290322580645,0.154929577464789,0.288135593220339,0,0.140350877192982,0.0925925925925926,0.132075471698113,0.0943396226415094,0.25,0.125,0.135135135135135,0.140845070422535,0.117647058823529,0.149253731343284,0.0952380952380952,0.116666666666667,0.153846153846154,0.161290322580645,0.2,0.0833333333333333,0.173913043478261,0.153846153846154,0.166666666666667,0.161764705882353,0.0425531914893617,0.22,0.0945945945945946,0.183333333333333,0.126984126984127,0,0,0,0,0,0,0
