"","1731","377E","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","E063","EC1A","663E","D14D","7C6F","A539","80F1","CB2B","076C","879F","44BD","DCCF","15BF","F44A","758","F377","D629","5939","255","A5EF","24E9","AA3C","ACF4","C5F2","5909","B8A2","1958","A24D","2D31","B1E3"
"1731",0,0.478723404255319,0.473118279569892,0.54945054945055,0.541666666666667,0.253164556962025,0.573033707865168,0.454545454545455,0.489583333333333,0.473684210526316,0.419354838709677,0.477777777777778,0.2,0.52,0.53125,0.543478260869565,0.51063829787234,0.308641975308642,0.510416666666667,0.267441860465116,0.525773195876289,0.440860215053763,0.409090909090909,0.386363636363636,0.416666666666667,0.42,0.505050505050505,0.505154639175258,0.475247524752475,0.209876543209877,0.291666666666667,0.313953488372093,0.398058252427184,0.2625,0.275862068965517,0.284090909090909,0.051948051948052,0.10989010989011,0.0632911392405063,0.0927835051546392,0.0947368421052632,0.0813953488372093
"377E",0.478723404255319,0,0.452631578947368,0.51063829787234,0.552083333333333,0.204819277108434,0.516129032258065,0.705882352941177,0.734939759036145,0.602272727272727,0.477777777777778,0.558139534883721,0.22972972972973,0.681318681318681,0.574468085106383,0.588888888888889,0.521276595744681,0.258823529411765,0.553191489361702,0.182795698924731,0.602150537634409,0.5,0.404494382022472,0.447058823529412,0.290322580645161,0.662790697674419,0.704545454545455,0.580645161290323,0.666666666666667,0.222222222222222,0.302083333333333,0.252747252747253,0.611111111111111,0.228915662650602,0.28735632183908,0.325581395348837,0.138888888888889,0.24390243902439,0.148648648648649,0.229885057471264,0.25,0.236842105263158
"4ECA",0.473118279569892,0.452631578947368,0,0.505376344086022,0.547368421052632,0.180722891566265,0.544444444444444,0.415841584158416,0.494736842105263,0.494623655913978,0.350515463917526,0.434782608695652,0.186666666666667,0.480392156862745,0.46,0.584269662921348,0.48421052631579,0.22093023255814,0.425742574257426,0.227272727272727,0.441176470588235,0.414893617021277,0.481927710843373,0.390804597701149,0.35632183908046,0.355769230769231,0.465346534653465,0.510416666666667,0.436893203883495,0.2125,0.255102040816327,0.28735632183908,0.444444444444444,0.298701298701299,0.27906976744186,0.302325581395349,0.0526315789473684,0.111111111111111,0.0506329113924051,0.141304347826087,0.0957446808510638,0.108433734939759
"39ED",0.54945054945055,0.51063829787234,0.505376344086022,0,0.696629213483146,0.24390243902439,0.72289156626506,0.47,0.520833333333333,0.554347826086957,0.467391304347826,0.478260869565217,0.192307692307692,0.581632653061224,0.612903225806452,0.647727272727273,0.510416666666667,0.282352941176471,0.541666666666667,0.258426966292135,0.438095238095238,0.427083333333333,0.476744186046512,0.436781609195402,0.386363636363636,0.464646464646465,0.6,0.520408163265306,0.52,0.246913580246914,0.245098039215686,0.348837209302326,0.484848484848485,0.253012048192771,0.280898876404494,0.364705882352941,0.05,0.0721649484536082,0.0481927710843374,0.0686274509803922,0.0808080808080808,0.0666666666666667
"B75C",0.541666666666667,0.552083333333333,0.547368421052632,0.696629213483146,0,0.197802197802198,0.648351648351648,0.509803921568627,0.53,0.5625,0.42,0.489583333333333,0.162790697674419,0.588235294117647,0.670212765957447,0.617021276595745,0.551020408163265,0.274725274725275,0.504854368932039,0.265957446808511,0.462962962962963,0.469387755102041,0.522727272727273,0.419354838709677,0.372340425531915,0.504950495049505,0.59,0.529411764705882,0.528846153846154,0.270588235294118,0.288461538461538,0.32258064516129,0.524752475247525,0.233333333333333,0.315217391304348,0.308510638297872,0.109756097560976,0.11,0.105882352941176,0.115384615384615,0.106796116504854,0.10752688172043
"AC35",0.253164556962025,0.204819277108434,0.180722891566265,0.24390243902439,0.197802197802198,0,0.246913580246914,0.193181818181818,0.253012048192771,0.202380952380952,0.24,0.160493827160494,0.545454545454545,0.228260869565217,0.227272727272727,0.271604938271605,0.226190476190476,0.456521739130435,0.261904761904762,0.25,0.211111111111111,0.20253164556962,0.25,0.276923076923077,0.35593220338983,0.170454545454545,0.235955056179775,0.215909090909091,0.208791208791209,0.282608695652174,0.26865671641791,0.37037037037037,0.153846153846154,0.26530612244898,0.358490566037736,0.275862068965517,0,0,0,0,0,0
"BF04",0.573033707865168,0.516129032258065,0.544444444444444,0.72289156626506,0.648351648351648,0.246913580246914,0,0.489795918367347,0.526315789473684,0.56043956043956,0.425531914893617,0.467391304347826,0.226666666666667,0.509803921568627,0.568421052631579,0.617977528089888,0.531914893617021,0.213483146067416,0.484848484848485,0.21978021978022,0.442307692307692,0.416666666666667,0.555555555555556,0.393258426966292,0.406976744186047,0.469387755102041,0.589473684210526,0.541666666666667,0.51,0.298701298701299,0.247524752475248,0.385542168674699,0.489795918367347,0.25609756097561,0.284090909090909,0.352941176470588,0.0246913580246914,0.0729166666666667,0.0238095238095238,0.0693069306930693,0.0707070707070707,0.0555555555555556
"4FE4",0.454545454545455,0.705882352941177,0.415841584158416,0.47,0.509803921568627,0.193181818181818,0.489795918367347,0,0.732558139534884,0.58695652173913,0.568181818181818,0.579545454545455,0.2,0.663157894736842,0.610526315789474,0.574468085106383,0.48,0.258426966292135,0.606382978723404,0.236559139784946,0.555555555555556,0.590909090909091,0.382978723404255,0.438202247191011,0.288659793814433,0.72093023255814,0.684782608695652,0.652173913043478,0.722222222222222,0.209302325581395,0.34020618556701,0.265957446808511,0.578947368421053,0.229885057471264,0.314606741573034,0.352272727272727,0.144736842105263,0.258823529411765,0.168831168831169,0.258426966292135,0.294117647058824,0.222222222222222
"4C7B",0.489583333333333,0.734939759036145,0.494736842105263,0.520833333333333,0.53,0.253012048192771,0.526315789473684,0.732558139534884,0,0.629213483146067,0.593023255813954,0.604651162790698,0.25,0.706521739130435,0.652173913043478,0.615384615384615,0.580645161290323,0.290697674418605,0.54639175257732,0.2,0.561224489795918,0.527472527472527,0.417582417582418,0.395604395604396,0.291666666666667,0.633333333333333,0.711111111111111,0.677777777777778,0.692307692307692,0.226190476190476,0.264705882352941,0.282608695652174,0.585106382978723,0.218390804597701,0.303370786516854,0.325842696629214,0.146666666666667,0.247058823529412,0.186666666666667,0.275862068965517,0.252873563218391,0.209876543209877
"41C1",0.473684210526316,0.602272727272727,0.494623655913978,0.554347826086957,0.5625,0.202380952380952,0.56043956043956,0.58695652173913,0.629213483146067,0,0.558139534883721,0.5,0.210526315789474,0.621052631578947,0.655555555555556,0.565217391304348,0.582417582417582,0.241379310344828,0.563829787234043,0.275862068965517,0.530612244897959,0.563218390804598,0.431818181818182,0.476190476190476,0.315217391304348,0.565217391304348,0.589473684210526,0.557894736842105,0.606382978723404,0.265822784810127,0.3125,0.352941176470588,0.56989247311828,0.25609756097561,0.228260869565217,0.337209302325581,0.106666666666667,0.211764705882353,0.102564102564103,0.227272727272727,0.177777777777778,0.17283950617284
