"","24E9","4ECA","39ED","AC35","BF04","4FE4","29B2","076C","EC1A","D14D","7C6F","F44A","A539","44BD","DCCF","F377","D629","C5F2","AA3C","80F1","CB2B","255","A5EF","B75C","22B0","15BF","5939","41C1","879F","663E","377E","4C7B","E063","B8A2","A24D","2D31","1731","387","A312","82C7","D3E1","C809","3CC1","3C0F","5A31","AC37","9A5D","418B","8787","D4DC","F429"
"24E9",0,0.268817204301075,0.421052631578947,0.386666666666667,0.30379746835443,0.333333333333333,0.310344827586207,0.341176470588235,0.288461538461538,0.467532467532468,0.233333333333333,0.342105263157895,0.215909090909091,0.538461538461538,0.292134831460674,0.321428571428571,0.213483146067416,0.388235294117647,0.507462686567164,0.304878048780488,0.278481012658228,0.204545454545455,0.447368421052632,0.285714285714286,0.269662921348315,0.329113924050633,0.244444444444444,0.298701298701299,0.263736263736264,0.290697674418605,0.231578947368421,0.325581395348837,0.246575342465753,0.317647058823529,0.320987654320988,0.411764705882353,0.204081632653061,0.0175438596491228,0.0192307692307692,0.0163934426229508,0.0163934426229508,0.0161290322580645,0.0158730158730159,0.0172413793103448,0,0,0,0,0,0,0
"4ECA",0.268817204301075,0,0.3125,0.311827956989247,0.287234042553192,0.311827956989247,0.375,0.32,0.420560747663551,0.378947368421053,0.357894736842105,0.25,0.262626262626263,0.268817204301075,0.49438202247191,0.402173913043478,0.384615384615385,0.478260869565217,0.252631578947368,0.262626262626263,0.322222222222222,0.333333333333333,0.230769230769231,0.125,0.350515463917526,0.28125,0.41304347826087,0.311111111111111,0.357142857142857,0.316326530612245,0.40625,0.306930693069307,0.282352941176471,0.25,0.237623762376238,0.225806451612903,0.373737373737374,0.0704225352112676,0.0142857142857143,0.0958904109589041,0.0666666666666667,0.125,0.108108108108108,0.0694444444444444,0.0136986301369863,0.051948051948052,0.0694444444444444,0.0666666666666667,0.0985915492957746,0.0972222222222222,0.0563380281690141
"39ED",0.421052631578947,0.3125,0,0.454545454545455,0.460526315789474,0.4,0.311827956989247,0.355555555555556,0.314814814814815,0.423529411764706,0.307692307692308,0.341463414634146,0.236559139784946,0.47945205479452,0.351648351648352,0.4,0.333333333333333,0.384615384615385,0.3625,0.402439024390244,0.3625,0.1875,0.296703296703297,0.236111111111111,0.287234042553192,0.345238095238095,0.276595744680851,0.301204819277108,0.32258064516129,0.4,0.329787234042553,0.48780487804878,0.302631578947368,0.348314606741573,0.25,0.316455696202532,0.26,0.0476190476190476,0.0338983050847458,0.0447761194029851,0.0294117647058824,0.0289855072463768,0.0434782608695652,0,0,0,0.0151515151515152,0,0.0149253731343284,0.0147058823529412,0
"AC35",0.386666666666667,0.311827956989247,0.454545454545455,0,0.407894736842105,0.367088607594937,0.404761904761905,0.325842696629214,0.314285714285714,0.376470588235294,0.306818181818182,0.27710843373494,0.193548387096774,0.405405405405405,0.337078651685393,0.419753086419753,0.272727272727273,0.370786516853933,0.438356164383562,0.321428571428571,0.329113924050633,0.208791208791209,0.341176470588235,0.25,0.24468085106383,0.282352941176471,0.247311827956989,0.405405405405405,0.352272727272727,0.337209302325581,0.301075268817204,0.421686746987952,0.233766233766234,0.288888888888889,0.321428571428571,0.282051282051282,0.270833333333333,0.0163934426229508,0.0178571428571429,0.03125,0.0476190476190476,0.0307692307692308,0.0303030303030303,0.0161290322580645,0,0,0,0,0,0,0
"BF04",0.30379746835443,0.287234042553192,0.460526315789474,0.407894736842105,0,0.371794871794872,0.409638554216867,0.376470588235294,0.383838383838384,0.380952380952381,0.390243902439024,0.280487804878049,0.208791208791209,0.373333333333333,0.388235294117647,0.390243902439024,0.321428571428571,0.390804597701149,0.3,0.392405063291139,0.368421052631579,0.282352941176471,0.269662921348315,0.183098591549296,0.348837209302326,0.367088607594937,0.369047619047619,0.410958904109589,0.372093023255814,0.407407407407407,0.395348837209302,0.481012658227848,0.36231884057971,0.277777777777778,0.222222222222222,0.207317073170732,0.344444444444444,0.0338983050847458,0.037037037037037,0.0317460317460317,0.0317460317460317,0.0153846153846154,0.0307692307692308,0,0,0,0,0,0,0,0
"4FE4",0.333333333333333,0.311827956989247,0.4,0.367088607594937,0.371794871794872,0,0.45679012345679,0.439024390243902,0.339805825242718,0.344827586206897,0.369047619047619,0.325,0.305882352941176,0.350649350649351,0.322222222222222,0.385542168674699,0.333333333333333,0.355555555555556,0.280487804878049,0.353658536585366,0.329113924050633,0.294117647058824,0.310344827586207,0.197183098591549,0.285714285714286,0.345679012345679,0.274725274725275,0.368421052631579,0.4,0.402439024390244,0.375,0.404761904761905,0.25,0.208333333333333,0.233333333333333,0.25,0.184466019417476,0,0.0178571428571429,0,0.0153846153846154,0,0,0.0327868852459016,0,0.0151515151515152,0,0.0153846153846154,0.0158730158730159,0,0
"29B2",0.310344827586207,0.375,0.311827956989247,0.404761904761905,0.409638554216867,0.45679012345679,0,0.376344086021505,0.494949494949495,0.351063829787234,0.404494382022472,0.303370786516854,0.32967032967033,0.390243902439024,0.433333333333333,0.388888888888889,0.435294117647059,0.404255319148936,0.263736263736264,0.32967032967033,0.25,0.333333333333333,0.305263157894737,0.130952380952381,0.295918367346939,0.383720930232558,0.384615384615385,0.390243902439024,0.433333333333333,0.358695652173913,0.423913043478261,0.454545454545455,0.3125,0.211538461538462,0.287234042553192,0.208791208791209,0.389473684210526,0.0434782608695652,0.0307692307692308,0.0555555555555556,0.0410958904109589,0.0547945205479452,0.0540540540540541,0.0735294117647059,0.0294117647058824,0.0547945205479452,0.0138888888888889,0.0704225352112676,0.0422535211267606,0.0273972602739726,0.0289855072463768
"076C",0.341176470588235,0.32,0.355555555555556,0.325842696629214,0.376470588235294,0.439024390243902,0.376344086021505,0,0.450980392156863,0.395604395604396,0.358695652173913,0.380952380952381,0.315217391304348,0.280898876404494,0.387096774193548,0.404494382022472,0.355555555555556,0.375,0.306818181818182,0.44047619047619,0.352941176470588,0.333333333333333,0.319148936170213,0.17283950617284,0.395604395604396,0.322222222222222,0.384615384615385,0.341176470588235,0.372340425531915,0.404494382022472,0.378947368421053,0.361702127659574,0.265060240963855,0.272727272727273,0.273684210526316,0.294117647058824,0.269230769230769,0.0588235294117647,0.0307692307692308,0.0704225352112676,0.0410958904109589,0.0694444444444444,0.0833333333333333,0.0138888888888889,0.0294117647058824,0.0405405405405405,0.0735294117647059,0.0410958904109589,0.0277777777777778,0.0714285714285714,0.0289855072463768
"EC1A",0.288461538461538,0.420560747663551,0.314814814814815,0.314285714285714,0.383838383838384,0.339805825242718,0.494949494949495,0.450980392156863,0,0.324324324324324,0.42156862745098,0.295238095238095,0.258928571428571,0.276190476190476,0.475247524752475,0.380952380952381,0.405940594059406,0.433962264150943,0.261682242990654,0.281818181818182,0.261682242990654,0.320754716981132,0.333333333333333,0.0952380952380952,0.348623853211009,0.362745098039216,0.46,0.353535353535354,0.37962962962963,0.342592592592593,0.480392156862745,0.48,0.275510204081633,0.280701754385965,0.317757009345794,0.150442477876106,0.407407407407407,0.0697674418604651,0.0235294117647059,0.116279069767442,0.129411764705882,0.127906976744186,0.126436781609195,0.0568181818181818,0.0344827586206897,0.0777777777777778,0.0813953488372093,0.0909090909090909,0.0561797752808989,0.117647058823529,0.0833333333333333
"D14D",0.467532467532468,0.378947368421053,0.423529411764706,0.376470588235294,0.380952380952381,0.344827586206897,0.351063829787234,0.395604395604396,0.324324324324324,0,0.305263157894737,0.277777777777778,0.25,0.4125,0.361702127659574,0.425287356321839,0.344444444444444,0.350515463917526,0.407407407407407,0.428571428571429,0.295454545454545,0.239583333333333,0.33695652173913,0.253333333333333,0.272727272727273,0.268817204301075,0.302083333333333,0.313953488372093,0.254901960784314,0.393258426966292,0.34020618556701,0.351063829787234,0.283950617283951,0.358695652173913,0.333333333333333,0.238636363636364,0.212962962962963,0.0142857142857143,0.03125,0.0135135135135135,0.0135135135135135,0.0410958904109589,0.0266666666666667,0.0285714285714286,0,0.0410958904109589,0.0285714285714286,0.0135135135135135,0.028169014084507,0.0277777777777778,0
