"","39ED","B75C","29B2","663E","22B0","076C","D14D","F44A","15BF","80F1","41C1","CB2B","A5EF","A24D","F377","3CC1","24E9","4ECA","AC35","BF04","4C7B","E063","EC1A","7C6F","A539","44BD","DCCF","D629","C5F2","5939","255","387","418B","879F","AA3C","4FE4","B8A2","2D31","D4DC","8787","AC37","F429","C809","A42D","B3E9","145","734","34C9","494F","8106","8666","8BE4","9A80","A16E","A816","D849"
"39ED",0,0.282828282828283,0.431192660550459,0.381818181818182,0.298387096774194,0.387931034482759,0.441441441441441,0.384615384615385,0.420560747663551,0.362068965517241,0.423423423423423,0.314516129032258,0.411764705882353,0.289473684210526,0.411214953271028,0.342342342342342,0.4375,0.504587155963303,0.342342342342342,0.45945945945946,0.217391304347826,0.336633663366337,0.463636363636364,0.336538461538462,0.330508474576271,0.481481481481481,0.378378378378378,0.378378378378378,0.356521739130435,0.390909090909091,0.341880341880342,0.314285714285714,0.24,0.31496062992126,0.324786324786325,0.406779661016949,0.330357142857143,0.247787610619469,0.263157894736842,0.208,0.298387096774194,0.353448275862069,0.254098360655738,0.0659340659340659,0.101123595505618,0.0537634408602151,0.0869565217391304,0.102272727272727,0.0652173913043478,0.0752688172043011,0.105882352941176,0.101123595505618,0.0804597701149425,0.0609756097560976,0.0888888888888889,0.0595238095238095
"B75C",0.282828282828283,0,0.25,0.301075268817204,0.287128712871287,0.274509803921569,0.264705882352941,0.350515463917526,0.315217391304348,0.309278350515464,0.295918367346939,0.333333333333333,0.268518518518519,0.303370786516854,0.333333333333333,0.282608695652174,0.313131313131313,0.303921568627451,0.325842696629214,0.323232323232323,0.238636363636364,0.238095238095238,0.3,0.384615384615385,0.340425531914894,0.205607476635514,0.244897959183673,0.326086956521739,0.329787234042553,0.311827956989247,0.340425531914894,0.229885057471264,0.203883495145631,0.333333333333333,0.252525252525253,0.227272727272727,0.25531914893617,0.264367816091954,0.269662921348315,0.176470588235294,0.262135922330097,0.26,0.207920792079208,0,0,0,0,0,0,0,0,0,0,0,0,0
"29B2",0.431192660550459,0.25,0,0.401869158878505,0.282258064516129,0.394736842105263,0.316666666666667,0.467889908256881,0.388888888888889,0.356521739130435,0.344827586206897,0.376068376068376,0.360655737704918,0.25,0.446601941747573,0.413461538461538,0.358974358974359,0.446428571428571,0.336363636363636,0.367521367521368,0.17948717948718,0.343434343434343,0.445454545454545,0.304761904761905,0.336206896551724,0.362068965517241,0.348214285714286,0.466019417475728,0.452830188679245,0.36036036036036,0.371681415929204,0.259259259259259,0.275,0.41025641025641,0.330434782608696,0.413793103448276,0.386792452830189,0.263636363636364,0.256637168141593,0.173228346456693,0.31404958677686,0.336206896551724,0.324561403508772,0.130952380952381,0.142857142857143,0.142857142857143,0.126436781609195,0.117647058823529,0.0909090909090909,0.126436781609195,0.0952380952380952,0.156626506024096,0.121951219512195,0.0625,0.142857142857143,0.0875
"663E",0.381818181818182,0.301075268817204,0.401869158878505,0,0.383928571428571,0.396396396396396,0.294117647058824,0.418181818181818,0.431372549019608,0.420560747663551,0.394495412844037,0.365217391304348,0.408695652173913,0.226086956521739,0.435643564356436,0.388349514563107,0.396396396396396,0.385964912280702,0.43,0.418181818181818,0.326732673267327,0.433333333333333,0.435185185185185,0.33,0.398148148148148,0.36283185840708,0.455445544554455,0.373831775700935,0.442307692307692,0.300884955752212,0.372727272727273,0.257142857142857,0.26271186440678,0.424778761061947,0.354545454545455,0.379310344827586,0.415841584158416,0.298076923076923,0.30188679245283,0.306306306306306,0.347826086956522,0.336283185840708,0.289473684210526,0.0705882352941176,0.0823529411764706,0.0697674418604651,0.0444444444444444,0.0833333333333333,0.0697674418604651,0.0444444444444444,0.0864197530864197,0.0823529411764706,0.0352941176470588,0.051948051948052,0.121951219512195,0.0375
"22B0",0.298387096774194,0.287128712871287,0.282258064516129,0.383928571428571,0,0.366666666666667,0.336065573770492,0.363636363636364,0.422018348623853,0.4,0.4,0.394957983193277,0.346456692913386,0.31578947368421,0.36283185840708,0.369369369369369,0.389830508474576,0.439655172413793,0.407407407407407,0.352459016393443,0.311926605504587,0.422680412371134,0.426086956521739,0.279279279279279,0.415929203539823,0.358333333333333,0.485714285714286,0.380530973451327,0.358974358974359,0.322033898305085,0.403508771929825,0.258928571428571,0.305785123966942,0.428571428571429,0.373913043478261,0.432203389830508,0.357142857142857,0.309090909090909,0.361111111111111,0.327586206896552,0.378151260504202,0.333333333333333,0.3,0.0752688172043011,0.134831460674157,0.074468085106383,0.0618556701030928,0.0752688172043011,0.10989010989011,0.0729166666666667,0.0898876404494382,0.10989010989011,0.043010752688172,0.0714285714285714,0.0860215053763441,0.0454545454545455
"076C",0.387931034482759,0.274509803921569,0.394736842105263,0.396396396396396,0.366666666666667,0,0.336065573770492,0.460176991150442,0.383928571428571,0.352941176470588,0.330578512396694,0.328,0.368,0.282051282051282,0.375,0.433962264150943,0.378151260504202,0.391666666666667,0.333333333333333,0.341463414634146,0.211864406779661,0.339805825242718,0.451327433628319,0.352380952380952,0.379310344827586,0.347107438016529,0.368421052631579,0.3,0.472222222222222,0.278688524590164,0.379310344827586,0.27027027027027,0.295081967213115,0.36,0.305785123966942,0.408333333333333,0.381818181818182,0.263157894736842,0.267241379310345,0.193798449612403,0.366666666666667,0.34453781512605,0.238095238095238,0.0638297872340425,0.122222222222222,0.0860215053763441,0.0842105263157895,0.123595505617978,0.134831460674157,0.0618556701030928,0.0898876404494382,0.0978260869565217,0.0777777777777778,0.0465116279069767,0.074468085106383,0.0574712643678161
"D14D",0.441441441441441,0.264705882352941,0.316666666666667,0.294117647058824,0.336065573770492,0.336065573770492,0,0.355371900826446,0.36283185840708,0.333333333333333,0.300813008130081,0.352459016393443,0.328125,0.241666666666667,0.390909090909091,0.31304347826087,0.336065573770492,0.443478260869565,0.237704918032787,0.413793103448276,0.203389830508475,0.234234234234234,0.304,0.293577981651376,0.358974358974359,0.285714285714286,0.291666666666667,0.324786324786325,0.305785123966942,0.302521008403361,0.325,0.228070175438596,0.246031746031746,0.3,0.276422764227642,0.333333333333333,0.237704918032787,0.232758620689655,0.258620689655172,0.285714285714286,0.2734375,0.347457627118644,0.25,0.112359550561798,0.111111111111111,0.0638297872340425,0.0967741935483871,0.1,0.0869565217391304,0.108695652173913,0.103448275862069,0.0989010989010989,0.0666666666666667,0.072289156626506,0.0638297872340425,0.0705882352941176
"F44A",0.384615384615385,0.350515463917526,0.467889908256881,0.418181818181818,0.363636363636364,0.460176991150442,0.355371900826446,0,0.5,0.372881355932203,0.317073170731707,0.427350427350427,0.34375,0.301724137931034,0.462264150943396,0.429906542056075,0.460176991150442,0.388429752066116,0.378378378378378,0.383333333333333,0.161290322580645,0.418367346938776,0.473214285714286,0.375,0.4,0.389830508474576,0.341880341880342,0.524271844660194,0.467889908256881,0.308333333333333,0.424778761061947,0.290909090909091,0.370689655172414,0.401639344262295,0.325,0.46551724137931,0.416666666666667,0.355140186915888,0.28695652173913,0.192307692307692,0.398305084745763,0.364406779661017,0.330508474576271,0.134831460674157,0.120879120879121,0.120879120879121,0.0947368421052632,0.0860215053763441,0.0736842105263158,0.106382978723404,0.0769230769230769,0.108695652173913,0.113636363636364,0.0459770114942529,0.0967741935483871,0.0449438202247191
"15BF",0.420560747663551,0.315217391304348,0.388888888888889,0.431372549019608,0.422018348623853,0.383928571428571,0.36283185840708,0.5,0,0.394495412844037,0.447619047619048,0.353448275862069,0.433628318584071,0.247787610619469,0.45,0.401960784313726,0.462264150943396,0.436363636363636,0.361904761904762,0.418181818181818,0.185840707964602,0.482758620689655,0.448598130841121,0.278846153846154,0.398148148148148,0.480769230769231,0.441176470588235,0.515463917525773,0.485148514851485,0.348623853211009,0.398148148148148,0.281553398058252,0.307017543859649,0.387931034482759,0.405660377358491,0.467889908256881,0.588888888888889,0.285714285714286,0.339805825242718,0.283185840707965,0.336206896551724,0.324561403508772,0.278260869565217,0.123456790123457,0.17948717948718,0.121951219512195,0.105882352941176,0.0963855421686747,0.164556962025316,0.146341463414634,0.142857142857143,0.164556962025316,0.0731707317073171,0.10958904109589,0.135802469135802,0.0779220779220779
"80F1",0.362068965517241,0.309278350515464,0.356521739130435,0.420560747663551,0.4,0.352941176470588,0.333333333333333,0.372881355932203,0.394495412844037,0,0.385964912280702,0.481818181818182,0.448275862068966,0.278260869565217,0.385321100917431,0.342342342342342,0.330578512396694,0.355371900826446,0.405660377358491,0.433628318584071,0.284403669724771,0.35,0.319672131147541,0.299065420560748,0.330508474576271,0.367521367521368,0.403669724770642,0.353982300884956,0.333333333333333,0.353982300884956,0.481132075471698,0.314285714285714,0.24,0.452173913043478,0.396396396396396,0.418803418803419,0.354545454545455,0.317757009345794,0.411764705882353,0.290598290598291,0.387931034482759,0.341880341880342,0.264462809917355,0.0543478260869565,0.0888888888888889,0.0425531914893617,0.0416666666666667,0.0319148936170213,0.0888888888888889,0.0752688172043011,0.0561797752808989,0.0652173913043478,0.0217391304347826,0.0481927710843374,0.0769230769230769,0.0348837209302326
