"","879F","0387","4ECA","39ED","AC35","BF04","4C7B","41C1","29B2","E063","076C","663E","F44A","A539","44BD","F377","D629","15BF","AA3C","80F1","CB2B","5939","9A21","0255","A5EF","B8A2","A24D","2D31","C809","3CC1","D4DC","418B","8787","AC37","F429","8BE4","4FE4","22B0","DCCF","C5F2","8106","0734","34C9","0145","9A80","A816","A42D","494F","8C52","8B80","922C","9907","B0F1","054D","B0C8","FB4B","0A62","EE51","0F3D","0636","F948","CC06"
"879F",0,0.2,0.131868131868132,0.133333333333333,0.207317073170732,0.123711340206186,0.293333333333333,0.253164556962025,0.193181818181818,0.213333333333333,0.441860465116279,0.217948717948718,0.211111111111111,0.238636363636364,0.223529411764706,0.234567901234568,0.177215189873418,0.135135135135135,0.183908045977011,0.0888888888888889,0.25,0.206896551724138,0.0188679245283019,0.0967741935483871,0.159090909090909,0.211764705882353,0.267441860465116,0.193548387096774,0.144444444444444,0.176470588235294,0.217948717948718,0.247191011235955,0.267441860465116,0.295454545454545,0.13,0.230769230769231,0.272727272727273,0.24,0.135802469135802,0.152941176470588,0.173333333333333,0.154639175257732,0.175824175824176,0.195402298850575,0.184782608695652,0.150684931506849,0.0705882352941176,0.223404255319149,0.169230769230769,0.078125,0.046875,0.0327868852459016,0,0,0,0.0181818181818182,0.0166666666666667,0,0.0166666666666667,0.0169491525423729,0,0
"0387",0.2,0,0.151162790697674,0.13953488372093,0.117647058823529,0.179775280898876,0.273972602739726,0.217948717948718,0.2625,0.242857142857143,0.224489795918367,0.151898734177215,0.22093023255814,0.117021276595745,0.219512195121951,0.185185185185185,0.141025641025641,0.35593220338983,0.207317073170732,0.0804597701149425,0.170731707317073,0.174418604651163,0.0204081632653061,0.103448275862069,0.225,0.2375,0.25,0.304878048780488,0.207317073170732,0.28,0.28169014084507,0.202247191011236,0.25,0.222222222222222,0.238636363636364,0.227272727272727,0.161290322580645,0.2,0.189189189189189,0.236842105263158,0.135135135135135,0.186813186813187,0.157303370786517,0.162790697674419,0.09375,0.0958904109589041,0.12987012987013,0.144329896907216,0.0909090909090909,0.0833333333333333,0.0677966101694915,0.0535714285714286,0,0,0,0,0,0,0.0178571428571429,0.0181818181818182,0.0204081632653061,0
"4ECA",0.131868131868132,0.151162790697674,0,0.285714285714286,0.2,0.376623376623377,0.205128205128205,0.2,0.378378378378378,0.257142857142857,0.174757281553398,0.17948717948718,0.164835164835165,0.204545454545455,0.328947368421053,0.182926829268293,0.285714285714286,0.173913043478261,0.136363636363636,0.1875,0.168674698795181,0.24390243902439,0,0.120689655172414,0.222222222222222,0.219512195121951,0.164835164835165,0.148936170212766,0.388888888888889,0.310810810810811,0.314285714285714,0.125,0.191011235955056,0.15625,0.27906976744186,0.224719101123595,0.197802197802198,0.186274509803922,0.483333333333333,0.283783783783784,0.214285714285714,0.252873563218391,0.209302325581395,0.188235294117647,0.191011235955056,0.227272727272727,0.173333333333333,0.217391304347826,0.0735294117647059,0,0.0158730158730159,0.0169491525423729,0,0,0,0,0,0,0,0,0,0
"39ED",0.133333333333333,0.13953488372093,0.285714285714286,0,0.233766233766234,0.47887323943662,0.256756756756757,0.1875,0.311688311688312,0.225352112676056,0.132075471698113,0.28169014084507,0.117021276595745,0.22093023255814,0.25,0.28,0.289855072463768,0.111111111111111,0.253164556962025,0.342857142857143,0.215189873417722,0.346666666666667,0,0.103448275862069,0.209876543209877,0.222222222222222,0.141304347826087,0.103092783505155,0.337837837837838,0.28,0.197368421052632,0.0490196078431373,0.193181818181818,0.25,0.379746835443038,0.161290322580645,0.186813186813187,0.212121212121212,0.313432835820896,0.36231884057971,0.183098591549296,0.241379310344828,0.183908045977011,0.123595505617978,0.0606060606060606,0.176470588235294,0.260869565217391,0.099009900990099,0.0434782608695652,0.015625,0.0161290322580645,0.0350877192982456,0,0,0.0188679245283019,0,0.0363636363636364,0,0.0178571428571429,0,0,0
"AC35",0.207317073170732,0.117647058823529,0.2,0.233766233766234,0,0.214285714285714,0.267605633802817,0.295774647887324,0.209876543209877,0.183098591549296,0.231578947368421,0.353846153846154,0.186046511627907,0.275,0.276315789473684,0.24,0.228571428571429,0.1,0.352112676056338,0.197368421052632,0.24,0.272727272727273,0.0217391304347826,0.12962962962963,0.20253164556962,0.263157894736842,0.24390243902439,0.181818181818182,0.28,0.223684210526316,0.23943661971831,0.130434782608696,0.228915662650602,0.273809523809524,0.232558139534884,0.25,0.117021276595745,0.181818181818182,0.231884057971014,0.197368421052632,0.227272727272727,0.193181818181818,0.219512195121951,0.182926829268293,0.159090909090909,0.350877192982456,0.2,0.148936170212766,0.0952380952380952,0.0508474576271186,0.0344827586206897,0.0769230769230769,0,0,0.0408163265306122,0.0425531914893617,0.0588235294117647,0,0.102040816326531,0.06,0,0
"BF04",0.123711340206186,0.179775280898876,0.376623376623377,0.47887323943662,0.214285714285714,0,0.25,0.342105263157895,0.421052631578947,0.27027027027027,0.104347826086957,0.225,0.204301075268817,0.258426966292135,0.258823529411765,0.30379746835443,0.28,0.175675675675676,0.204545454545455,0.422535211267606,0.197674418604651,0.270588235294118,0.0178571428571429,0.126984126984127,0.265060240963855,0.247058823529412,0.204301075268817,0.1875,0.376623376623377,0.337662337662338,0.289473684210526,0.106796116504854,0.191489361702128,0.24468085106383,0.380952380952381,0.263736263736264,0.173469387755102,0.186915887850467,0.376811594202899,0.311688311688312,0.213333333333333,0.25,0.182795698924731,0.175824175824176,0.12,0.144736842105263,0.175,0.0825688073394495,0.0128205128205128,0,0,0.0153846153846154,0,0.0175438596491228,0,0,0,0,0.0158730158730159,0,0,0
"4C7B",0.293333333333333,0.273972602739726,0.205128205128205,0.256756756756757,0.267605633802817,0.25,0,0.323529411764706,0.28,0.32258064516129,0.32183908045977,0.40983606557377,0.234567901234568,0.333333333333333,0.283783783783784,0.28169014084507,0.235294117647059,0.19047619047619,0.305555555555556,0.126582278481013,0.318840579710145,0.371428571428571,0.0227272727272727,0.229166666666667,0.273972602739726,0.492063492063492,0.298701298701299,0.24390243902439,0.287671232876712,0.263888888888889,0.283582089552239,0.186046511627907,0.298701298701299,0.25,0.223529411764706,0.355263157894737,0.240963855421687,0.25,0.296875,0.219178082191781,0.338983050847458,0.240963855421687,0.195121951219512,0.1875,0.176470588235294,0.19047619047619,0.188405797101449,0.104166666666667,0.0151515151515152,0.0169491525423729,0.0175438596491228,0.08,0,0,0.0208333333333333,0,0.0196078431372549,0.0222222222222222,0,0,0,0
"41C1",0.253164556962025,0.217948717948718,0.2,0.1875,0.295774647887324,0.342105263157895,0.323529411764706,0,0.240506329113924,0.235294117647059,0.231578947368421,0.294117647058824,0.275,0.259259259259259,0.25974025974026,0.430769230769231,0.211267605633803,0.203125,0.246753246753247,0.3,0.148148148148148,0.324324324324324,0.0217391304347826,0.150943396226415,0.319444444444444,0.28,0.5,0.195402298850575,0.246753246753247,0.309859154929577,0.375,0.209302325581395,0.214285714285714,0.273809523809524,0.218390804597701,0.346153846153846,0.22093023255814,0.17,0.197183098591549,0.151898734177215,0.208955223880597,0.22093023255814,0.149425287356322,0.2125,0.214285714285714,0.184615384615385,0.105263157894737,0.148936170212766,0.0147058823529412,0.0163934426229508,0.0344827586206897,0.0566037735849057,0,0,0,0,0,0,0,0,0,0
"29B2",0.193181818181818,0.2625,0.378378378378378,0.311688311688312,0.209876543209877,0.421052631578947,0.28,0.240506329113924,0,0.25,0.217821782178218,0.253333333333333,0.213483146067416,0.227272727272727,0.337662337662338,0.285714285714286,0.352941176470588,0.185714285714286,0.259259259259259,0.2125,0.2375,0.316455696202532,0.0192307692307692,0.155172413793103,0.246913580246914,0.378378378378378,0.270588235294118,0.170212765957447,0.436619718309859,0.414285714285714,0.27027027027027,0.182795698924731,0.270588235294118,0.255555555555556,0.454545454545455,0.305882352941176,0.261363636363636,0.194174757281553,0.421875,0.328767123287671,0.279411764705882,0.321428571428571,0.218390804597701,0.170454545454545,0.148936170212766,0.185714285714286,0.168831168831169,0.175257731958763,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0
"E063",0.213333333333333,0.242857142857143,0.257142857142857,0.225352112676056,0.183098591549296,0.27027027027027,0.32258064516129,0.235294117647059,0.25,0,0.197802197802198,0.194029850746269,0.189873417721519,0.236842105263158,0.289855072463768,0.307692307692308,0.238095238095238,0.232142857142857,0.23943661971831,0.152777777777778,0.231884057971014,0.363636363636364,0.0263157894736842,0.127659574468085,0.191780821917808,0.23943661971831,0.220779220779221,0.2,0.222222222222222,0.349206349206349,0.311475409836066,0.215189873417722,0.220779220779221,0.2375,0.180722891566265,0.276315789473684,0.2125,0.211111111111111,0.262295081967213,0.338709677419355,0.280701754385965,0.243589743589744,0.226666666666667,0.126582278481013,0.160493827160494,0.189655172413793,0.1875,0.162790697674419,0.0338983050847458,0.0384615384615385,0.0612244897959184,0.0909090909090909,0,0,0,0,0,0,0,0,0,0
