"","BF04","80F1","F429","879F","15BF","CB2B","0145","494F","D629","0255","8BE4","922C","AC35","076C","5939","39ED","4C7B","41C1","22B0","29B2","E063","663E","F44A","A539","F377","AA3C","A5EF","B8A2","A24D","2D31","0387","D4DC","418B","AC37","A42D","34C9","9A80","A816","8C52","FB4B","0F3D","0636","4ECA","C809","8B80","0A62","F948","CC06","44BD","3CC1","12D7","C5F2","B0C8","0896","EB80","F4D9","DFAD","054D","DCCF","0734","0131","B484","EE51","0CE1","04DB","04D3","0B04","09B4","10B4","0739","F1D5","0122","0482","10B6","104E","0BA0","0DE4","062C","088C"
"BF04",0,0.384615384615385,0.323529411764706,0.0471698113207547,0.146341463414634,0.0892857142857143,0.0701754385964912,0,0.135135135135135,0.0930232558139535,0.04,0.019047619047619,0.05,0.021978021978022,0.0476190476190476,0.176470588235294,0.03125,0.0555555555555556,0.0555555555555556,0.0535714285714286,0.0882352941176471,0.0181818181818182,0.0531914893617021,0.193548387096774,0.228571428571429,0.0666666666666667,0.131578947368421,0.145161290322581,0.127659574468085,0.0246913580246914,0.0428571428571429,0.151515151515152,0.0235294117647059,0.0645161290322581,0.0909090909090909,0.0263157894736842,0.0135135135135135,0.189189189189189,0.0602409638554217,0.1,0.0515463917525773,0.219512195121951,0.0689655172413793,0.0338983050847458,0.0235294117647059,0.0394736842105263,0.032258064516129,0.0263157894736842,0.108108108108108,0.0681818181818182,0.296296296296296,0.0434782608695652,0.117647058823529,0.0212765957446809,0.0652173913043478,0.129032258064516,0.0338983050847458,0.142857142857143,0.115384615384615,0.272727272727273,0,0.0111111111111111,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80F1",0.384615384615385,0,0.32258064516129,0.019047619047619,0.102564102564103,0.0555555555555556,0.0555555555555556,0.00961538461538462,0.151515151515152,0.102564102564103,0.0277777777777778,0.00980392156862745,0.0727272727272727,0.0229885057471264,0.0256410256410256,0.0909090909090909,0.0357142857142857,0.0816326530612245,0.0111111111111111,0.0576923076923077,0.0645161290322581,0.0196078431372549,0.021505376344086,0.269230769230769,0.181818181818182,0.101449275362319,0.181818181818182,0.135593220338983,0.0888888888888889,0.0128205128205128,0.0298507462686567,0.0967741935483871,0.0121951219512195,0.021505376344086,0.0810810810810811,0.0136986301369863,0.0142857142857143,0.212121212121212,0,0.111111111111111,0.0208333333333333,0.0952380952380952,0.0357142857142857,0,0,0.0273972602739726,0,0.0294117647058824,0.15625,0.0238095238095238,0.291666666666667,0,0.127659574468085,0,0.0465116279069767,0.107142857142857,0,0.161290322580645,0.102040816326531,0.310344827586207,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0.0357142857142857,0,0,0,0
"F429",0.323529411764706,0.32258064516129,0,0.0265486725663717,0.209302325581395,0.11864406779661,0.137931034482759,0.0178571428571429,0.0930232558139535,0.106382978723404,0.0779220779220779,0.0467289719626168,0.133333333333333,0.0425531914893617,0.0652173913043478,0.153846153846154,0.0555555555555556,0.127272727272727,0.0638297872340425,0.163636363636364,0.0769230769230769,0.0166666666666667,0.0297029702970297,0.135135135135135,0.230769230769231,0.118421052631579,0.230769230769231,0.134328358208955,0.16,0.0114942528735632,0.0540540540540541,0.162162162162162,0.0337078651685393,0.0505050505050505,0.155844155844156,0.0246913580246914,0.038961038961039,0.113636363636364,0.021978021978022,0.113636363636364,0.0594059405940594,0.145833333333333,0.116666666666667,0.0819672131147541,0,0.105263157894737,0.121212121212121,0.128205128205128,0.277777777777778,0.130434782608696,0.25,0.104166666666667,0.107142857142857,0.0192307692307692,0.102040816326531,0.176470588235294,0.0476190476190476,0.216216216216216,0.125,0.27027027027027,0.0384615384615385,0,0,0,0,0,0,0,0,0.0384615384615385,0.032258064516129,0.0454545454545455,0.0344827586206897,0.0344827586206897,0.027027027027027,0.0277777777777778,0.0357142857142857,0.0384615384615385,0.0526315789473684
"879F",0.0471698113207547,0.019047619047619,0.0265486725663717,0,0.0630630630630631,0.128205128205128,0.0645161290322581,0.463414634146341,0.0462962962962963,0.0630630630630631,0.120300751879699,0.508474576271186,0.046875,0.464285714285714,0.0747663551401869,0.0776699029126214,0.0721649484536082,0.032258064516129,0.537037037037037,0.111111111111111,0.08,0.19811320754717,0.428571428571429,0.0693069306930693,0.0857142857142857,0.0633802816901408,0.0178571428571429,0.256637168141593,0.0689655172413793,0.466666666666667,0.345794392523364,0.0283018867924528,0.362068965517241,0.428571428571429,0.0264900662251656,0.26271186440678,0.339449541284404,0.0454545454545455,0.394736842105263,0.15,0.429752066115702,0.0341880341880342,0.0555555555555556,0.0819672131147541,0.436363636363636,0.136363636363636,0.0729166666666667,0.0377358490566038,0.0275229357798165,0.0535714285714286,0.0192307692307692,0.0625,0.024,0.214285714285714,0.0434782608695652,0,0.257142857142857,0,0.048780487804878,0.00892857142857143,0,0.372881355932203,0.00961538461538462,0.158415841584158,0.0576923076923077,0.0740740740740741,0.0625,0.11,0.0576923076923077,0,0,0.0181818181818182,0,0.0105263157894737,0.0297029702970297,0,0.021505376344086,0,0.0192307692307692
"15BF",0.146341463414634,0.102564102564103,0.209302325581395,0.0630630630630631,0,0.114754098360656,0.192982456140351,0.0545454545454545,0.166666666666667,0.2,0.197183098591549,0.0961538461538462,0.129032258064516,0.0869565217391304,0.159090909090909,0.0681818181818182,0.142857142857143,0.12280701754386,0.0625,0.0819672131147541,0.157894736842105,0.0677966101694915,0.0816326530612245,0.222222222222222,0.162790697674419,0.144736842105263,0.136363636363636,0.164179104477612,0.132075471698113,0.0588235294117647,0.111111111111111,0.153846153846154,0.0444444444444444,0.0707070707070707,0.166666666666667,0.0493827160493827,0.0789473684210526,0.159090909090909,0.043956043956044,0.0851063829787234,0.0686274509803922,0.117647058823529,0.131147540983607,0.0967741935483871,0.0444444444444444,0.116883116883117,0.0833333333333333,0.0952380952380952,0.2,0.125,0.166666666666667,0.1,0.142857142857143,0.0784313725490196,0.12,0.135135135135135,0.0793650793650794,0.0930232558139535,0.101694915254237,0.166666666666667,0.0357142857142857,0.0208333333333333,0.0512820512820513,0,0,0,0,0,0,0.0357142857142857,0.0303030303030303,0.0212765957446809,0.032258064516129,0.032258064516129,0.0256410256410256,0.0263157894736842,0.0333333333333333,0.0357142857142857,0.024390243902439
"CB2B",0.0892857142857143,0.0555555555555556,0.11864406779661,0.128205128205128,0.114754098360656,0,0.223880597014925,0.056910569105691,0.166666666666667,0.214285714285714,0.2375,0.0847457627118644,0.377049180327869,0.0857142857142857,0.140350877192982,0.0892857142857143,0.148936170212766,0.238095238095238,0.0545454545454545,0.35593220338983,0.16,0.0547945205479452,0.0810810810810811,0.0740740740740741,0.230769230769231,0.278481012658228,0.254901960784314,0.15,0.254237288135593,0.0505050505050505,0.0930232558139535,0.134615384615385,0.0485436893203883,0.0909090909090909,0.280487804878049,0.0531914893617021,0.032258064516129,0.203703703703704,0.0480769230769231,0.101694915254237,0.0695652173913043,0.224137931034483,0.169014084507042,0.123287671232877,0.0485436893203883,0.333333333333333,0.06,0.0909090909090909,0.192307692307692,0.214285714285714,0.0769230769230769,0.189655172413793,0.344827586206897,0.0147058823529412,0.206896551724138,0.037037037037037,0.0379746835443038,0.109090909090909,0.161764705882353,0.145454545454545,0,0.0181818181818182,0.1,0,0.0169491525423729,0.0153846153846154,0.0196078431372549,0,0,0.0238095238095238,0.0212765957446809,0.0689655172413793,0.0222222222222222,0.0454545454545455,0.0384615384615385,0.0192307692307692,0.0227272727272727,0.0238095238095238,0.037037037037037
"0145",0.0701754385964912,0.0555555555555556,0.137931034482759,0.0645161290322581,0.192982456140351,0.223880597014925,0,0.0236220472440945,0.285714285714286,0.283018867924528,0.2375,0.0578512396694215,0.217391304347826,0.0458715596330275,0.181818181818182,0.0701754385964912,0.08,0.238095238095238,0.0545454545454545,0.176470588235294,0.0943396226415094,0.0547945205479452,0.0169491525423729,0.0943396226415094,0.142857142857143,0.216867469879518,0.185185185185185,0.0823529411764706,0.15625,0.00970873786407767,0.119047619047619,0.0727272727272727,0.0188679245283019,0.0619469026548673,0.25,0.03125,0.0212765957446809,0.181818181818182,0.0283018867924528,0.0833333333333333,0.0695652173913043,0.183333333333333,0.257575757575758,0.154929577464789,0,0.19047619047619,0.0816326530612245,0.111111111111111,0.24,0.387755102040816,0.166666666666667,0.408163265306122,0.238095238095238,0.0454545454545455,0.228070175438596,0.166666666666667,0.0123456790123457,0.196078431372549,0.316666666666667,0.166666666666667,0,0,0.0377358490566038,0.0307692307692308,0,0,0,0,0,0.048780487804878,0.0212765957446809,0.127272727272727,0.0454545454545455,0.0454545454545455,0.173913043478261,0.127659574468085,0.0975609756097561,0.048780487804878,0.12
"494F",0,0.00961538461538462,0.0178571428571429,0.463414634146341,0.0545454545454545,0.056910569105691,0.0236220472440945,0,0.00909090909090909,0.045045045045045,0.122137404580153,0.491525423728814,0.0232558139534884,0.514018691588785,0.0272727272727273,0.0686274509803922,0.0967741935483871,0.0413223140495868,0.389830508474576,0.0578512396694215,0.06,0.213592233009709,0.555555555555556,0.0816326530612245,0.0275229357798165,0.041958041958042,0.0181818181818182,0.217391304347826,0.0427350427350427,0.504950495049505,0.365384615384615,0.0288461538461538,0.5,0.448275862068966,0.0268456375838926,0.427184466019417,0.44,0.0272727272727273,0.481132075471698,0.141414141414141,0.540540540540541,0.00847457627118644,0.048,0.0743801652892562,0.575757575757576,0.0882352941176471,0.0520833333333333,0.0384615384615385,0.0091743119266055,0.0265486725663717,0.00970873786407767,0.0173913043478261,0,0.21875,0.0260869565217391,0,0.203703703703704,0,0.0241935483870968,0,0.0111111111111111,0.6,0,0.138613861386139,0.161290322580645,0.239130434782609,0.111111111111111,0.147368421052632,0.173913043478261,0,0,0.0280373831775701,0,0.010752688172043,0,0,0,0,0
"D629",0.135135135135135,0.151515151515152,0.0930232558139535,0.0462962962962963,0.166666666666667,0.166666666666667,0.285714285714286,0.00909090909090909,0,0.256410256410256,0.111111111111111,0.058252427184466,0.160714285714286,0.043956043956044,0.243243243243243,0,0.129032258064516,0.229166666666667,0.043010752688172,0.173076923076923,0.114285714285714,0.0740740740740741,0.0412371134020619,0.181818181818182,0.216216216216216,0.108108108108108,0.25,0.106060606060606,0.145833333333333,0.0119047619047619,0.102941176470588,0.111111111111111,0.0229885057471264,0.0412371134020619,0.116883116883117,0.0256410256410256,0.0405405405405405,0.210526315789474,0.0227272727272727,0.15,0.0612244897959184,0.181818181818182,0.185185185185185,0.0862068965517241,0,0.0945945945945946,0.0967741935483871,0.0512820512820513,0.303030303030303,0.225,0.15625,0.19047619047619,0.156862745098039,0.0416666666666667,0.214285714285714,0.15625,0.0327868852459016,0.166666666666667,0.176470588235294,0.333333333333333,0,0,0.161290322580645,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.0303030303030303,0.04,0,0.0277777777777778
"0255",0.0930232558139535,0.102564102564103,0.106382978723404,0.0630630630630631,0.2,0.214285714285714,0.283018867924528,0.045045045045045,0.256410256410256,0,0.180555555555556,0.0857142857142857,0.186440677966102,0.0989010989010989,0.186046511627907,0.0444444444444444,0.212121212121212,0.333333333333333,0.0515463917525773,0.157894736842105,0.157894736842105,0.0677966101694915,0.0816326530612245,0.189189189189189,0.25,0.225352112676056,0.282051282051282,0.130434782608696,0.153846153846154,0.0588235294117647,0.0666666666666667,0.0465116279069767,0.0804597701149425,0.0392156862745098,0.151898734177215,0.0759493670886076,0.0512820512820513,0.214285714285714,0.043956043956044,0.108695652173913,0.0792079207920792,0.0961538461538462,0.131147540983607,0.0793650793650794,0.0561797752808989,0.0886075949367089,0.0540540540540541,0.0697674418604651,0.2,0.255813953488372,0.166666666666667,0.170212765957447,0.230769230769231,0.0377358490566038,0.217391304347826,0.2,0.0303030303030303,0.119047619047619,0.274509803921569,0.256410256410256,0,0.0315789473684211,0.0789473684210526,0,0.0222222222222222,0,0,0.0217391304347826,0,0.0357142857142857,0.0303030303030303,0.0212765957446809,0.032258064516129,0.032258064516129,0.0256410256410256,0.0263157894736842,0.0333333333333333,0.0357142857142857,0.024390243902439
