"from","to","weight","pair_type","from_role","to_role"
"377E","F44A",0.416666666666667,"other","mother","daughter"
"377E","A539",0.361111111111111,"other","mother","daughter"
"377E","2F8D",0.435897435897436,"other","mother","daughter"
"377E","44BD",0.457142857142857,"other","mother","daughter"
"377E","DCCF",0.435897435897436,"mother-daughter","mother","daughter"
"377E","9FB7",0.371428571428571,"other","mother","daughter"
"377E","ACF4",0.348837209302326,"other","mother","daughter"
"377E","D629",0.411764705882353,"other","mother","daughter"
"377E","C5F2",0.325,"other","mother","daughter"
"24E9","F44A",0.25,"other","mother","daughter"
"24E9","A539",0.333333333333333,"other","mother","daughter"
"24E9","2F8D",0.41025641025641,"other","mother","daughter"
"24E9","44BD",0.388888888888889,"mother-daughter","mother","daughter"
"24E9","DCCF",0.341463414634146,"other","mother","daughter"
"24E9","9FB7",0.342857142857143,"other","mother","daughter"
"24E9","ACF4",0.325581395348837,"other","mother","daughter"
"24E9","D629",0.342857142857143,"other","mother","daughter"
"24E9","C5F2",0.333333333333333,"other","mother","daughter"
"4FE4","F44A",0.4,"mother-daughter","mother","daughter"
"4FE4","A539",0.285714285714286,"other","mother","daughter"
"4FE4","2F8D",0.418604651162791,"other","mother","daughter"
"4FE4","44BD",0.365853658536585,"other","mother","daughter"
"4FE4","DCCF",0.355555555555556,"other","mother","daughter"
"4FE4","9FB7",0.358974358974359,"other","mother","daughter"
"4FE4","ACF4",0.369565217391304,"other","mother","daughter"
"4FE4","D629",0.325,"other","mother","daughter"
"4FE4","C5F2",0.414634146341463,"other","mother","daughter"
"41C1","F44A",0.243243243243243,"other","mother","daughter"
"41C1","A539",0.375,"other","mother","daughter"
"41C1","2F8D",0.307692307692308,"other","mother","daughter"
"41C1","44BD",0.4375,"other","mother","daughter"
"41C1","DCCF",0.307692307692308,"other","mother","daughter"
"41C1","9FB7",0.482758620689655,"mother-daughter","mother","daughter"
"41C1","ACF4",0.325,"other","mother","daughter"
"41C1","D629",0.482758620689655,"other","mother","daughter"
"41C1","C5F2",0.297297297297297,"other","mother","daughter"
"879F","F44A",0.297297297297297,"other","mother","daughter"
"879F","A539",0.314285714285714,"other","mother","daughter"
"879F","2F8D",0.325,"mother-daughter","mother","daughter"
"879F","44BD",0.333333333333333,"other","mother","daughter"
"879F","DCCF",0.292682926829268,"other","mother","daughter"
"879F","9FB7",0.40625,"other","mother","daughter"
"879F","ACF4",0.25,"other","mother","daughter"
"879F","D629",0.25,"other","mother","daughter"
"879F","C5F2",0.282051282051282,"other","mother","daughter"
"663E","F44A",0.295454545454545,"other","mother","daughter"
"663E","A539",0.571428571428571,"mother-daughter","mother","daughter"
"663E","2F8D",0.51219512195122,"other","mother","daughter"
"663E","44BD",0.425,"other","mother","daughter"
"663E","DCCF",0.476190476190476,"other","mother","daughter"
"663E","9FB7",0.384615384615385,"other","mother","daughter"
"663E","ACF4",0.6,"other","mother","daughter"
"663E","D629",0.384615384615385,"other","mother","daughter"
"663E","C5F2",0.439024390243902,"other","mother","daughter"
"256A","F44A",0.0625,"other","mother","daughter"
"256A","A539",0.103448275862069,"other","mother","daughter"
"256A","2F8D",0.114285714285714,"other","mother","daughter"
"256A","44BD",0.133333333333333,"other","mother","daughter"
"256A","DCCF",0.0833333333333333,"other","mother","daughter"
"256A","9FB7",0.148148148148148,"other","mother","daughter"
"256A","ACF4",0.108108108108108,"other","mother","daughter"
"256A","D629",0.107142857142857,"other","mother","daughter"
"256A","C5F2",0.0909090909090909,"other","mother","daughter"
"0758","F44A",0.5,"other","mother","daughter"
"0758","A539",0.523809523809524,"other","mother","daughter"
"0758","2F8D",0.69047619047619,"other","mother","daughter"
"0758","44BD",0.571428571428571,"other","mother","daughter"
"0758","DCCF",0.775,"other","mother","daughter"
"0758","9FB7",0.465116279069767,"other","mother","daughter"
"0758","ACF4",0.780487804878049,"other","mother","daughter"
"0758","D629",0.465116279069767,"other","mother","daughter"
"0758","C5F2",0.658536585365854,"mother-daughter","mother","daughter"
"F44A","F377",0.5,"other","daughter","mother"
"F44A","29B2",0.275,"other","daughter","mother"
"A539","F377",0.794117647058823,"other","daughter","mother"
"A539","29B2",0.256410256410256,"other","daughter","mother"
"2F8D","F377",0.7,"other","daughter","mother"
"2F8D","29B2",0.365853658536585,"other","daughter","mother"
"44BD","F377",0.615384615384615,"other","daughter","mother"
"44BD","29B2",0.378378378378378,"other","daughter","mother"
"DCCF","F377",0.581395348837209,"other","daughter","mother"
"DCCF","29B2",0.473684210526316,"other","daughter","mother"
"9FB7","F377",0.621621621621622,"other","daughter","mother"
"9FB7","29B2",0.333333333333333,"other","daughter","mother"
"F377","ACF4",0.707317073170732,"mother-daughter","mother","daughter"
"F377","D629",0.5,"other","mother","daughter"
"F377","C5F2",0.511627906976744,"other","mother","daughter"
"ACF4","29B2",0.380952380952381,"other","daughter","mother"
"D629","29B2",0.297297297297297,"mother-daughter","daughter","mother"
"C5F2","29B2",0.394736842105263,"other","daughter","mother"
