"from","to","weight","pair_type","from_role","to_role","year","pairID"
"0D1B","BF04",0.454545454545455,"mother-random-juvenile","mother","daughter",2013,"0D1B-BF04"
"0D1B","5672",0.416666666666667,"mother-random-juvenile","mother","daughter",2013,"0D1B-5672"
"0D1B","4FE4",0.534883720930233,"mother-daughter","mother","daughter",2013,"0D1B-4FE4"
"0D1B","4C7B",0.456521739130435,"mother-random-juvenile","mother","daughter",2013,"0D1B-4C7B"
"0D1B","41C1",0.254901960784314,"mother-random-juvenile","mother","daughter",2013,"0D1B-41C1"
"6D0D","BF04",0.414634146341463,"mother-random-juvenile","mother","daughter",2013,"6D0D-BF04"
"6D0D","5672",0.347826086956522,"mother-random-juvenile","mother","daughter",2013,"5672-6D0D"
"6D0D","4FE4",0.395348837209302,"mother-random-juvenile","mother","daughter",2013,"4FE4-6D0D"
"6D0D","4C7B",0.326086956521739,"mother-daughter","mother","daughter",2013,"4C7B-6D0D"
"6D0D","41C1",0.234042553191489,"mother-random-juvenile","mother","daughter",2013,"41C1-6D0D"
"07F9","BF04",0.512820512820513,"mother-daughter","mother","daughter",2013,"07F9-BF04"
"07F9","5672",0.340425531914894,"mother-random-juvenile","mother","daughter",2013,"07F9-5672"
"07F9","4FE4",0.452380952380952,"mother-random-juvenile","mother","daughter",2013,"07F9-4FE4"
"07F9","4C7B",0.441860465116279,"mother-random-juvenile","mother","daughter",2013,"07F9-4C7B"
"07F9","41C1",0.340909090909091,"mother-random-juvenile","mother","daughter",2013,"07F9-41C1"
"B587","BF04",0.369565217391304,"mother-random-juvenile","mother","daughter",2013,"B587-BF04"
"B587","5672",0.34,"mother-daughter","mother","daughter",2013,"5672-B587"
"B587","4FE4",0.477272727272727,"mother-random-juvenile","mother","daughter",2013,"4FE4-B587"
"B587","4C7B",0.434782608695652,"mother-random-juvenile","mother","daughter",2013,"4C7B-B587"
"B587","41C1",0.340425531914894,"mother-random-juvenile","mother","daughter",2013,"41C1-B587"
"24E9","BF04",0.311111111111111,"mother-random-juvenile","mother","daughter",2013,"24E9-BF04"
"24E9","5672",0.340425531914894,"mother-random-juvenile","mother","daughter",2013,"24E9-5672"
"24E9","4FE4",0.270833333333333,"mother-random-juvenile","mother","daughter",2013,"24E9-4FE4"
"24E9","4C7B",0.319148936170213,"mother-random-juvenile","mother","daughter",2013,"24E9-4C7B"
"24E9","41C1",0.475,"mother-daughter","mother","daughter",2013,"24E9-41C1"
"D726","22B0",0.4,"mother-random-juvenile","mother","daughter",2014,"22B0-D726"
"D726","29B2",0.355555555555556,"mother-random-juvenile","mother","daughter",2014,"29B2-D726"
"D726","5ACA",0.452380952380952,"mother-random-juvenile","mother","daughter",2014,"5ACA-D726"
"D726","E063",0.363636363636364,"mother-random-juvenile","mother","daughter",2014,"D726-E063"
"D726","7C6F",0.283018867924528,"mother-random-juvenile","mother","daughter",2014,"7C6F-D726"
"D726","076C",0.28,"mother-random-juvenile","mother","daughter",2014,"076C-D726"
"D726","6BD8",0.41025641025641,"mother-daughter","mother","daughter",2014,"6BD8-D726"
"D726","879F",0.346938775510204,"mother-random-juvenile","mother","daughter",2014,"879F-D726"
"B587","22B0",0.304347826086957,"mother-random-juvenile","mother","daughter",2014,"22B0-B587"
"B587","29B2",0.41304347826087,"mother-random-juvenile","mother","daughter",2014,"29B2-B587"
"B587","5ACA",0.382978723404255,"mother-random-juvenile","mother","daughter",2014,"5ACA-B587"
"B587","E063",0.306122448979592,"mother-random-juvenile","mother","daughter",2014,"B587-E063"
"B587","7C6F",0.285714285714286,"mother-random-juvenile","mother","daughter",2014,"7C6F-B587"
"B587","076C",0.36,"mother-random-juvenile","mother","daughter",2014,"076C-B587"
"B587","6BD8",0.25531914893617,"mother-random-juvenile","mother","daughter",2014,"6BD8-B587"
"B587","879F",0.25,"mother-daughter","mother","daughter",2014,"879F-B587"
"377E","22B0",0.340909090909091,"mother-random-juvenile","mother","daughter",2014,"22B0-377E"
"377E","29B2",0.333333333333333,"mother-random-juvenile","mother","daughter",2014,"29B2-377E"
"377E","5ACA",0.361702127659574,"mother-random-juvenile","mother","daughter",2014,"377E-5ACA"
"377E","E063",0.4,"mother-daughter","mother","daughter",2014,"377E-E063"
"377E","7C6F",0.392156862745098,"mother-random-juvenile","mother","daughter",2014,"377E-7C6F"
"377E","076C",0.456521739130435,"mother-random-juvenile","mother","daughter",2014,"076C-377E"
"377E","6BD8",0.348837209302326,"mother-random-juvenile","mother","daughter",2014,"377E-6BD8"
"377E","879F",0.30188679245283,"mother-random-juvenile","mother","daughter",2014,"377E-879F"
"3CA1","22B0",0.257142857142857,"mother-random-juvenile","mother","daughter",2014,"22B0-3CA1"
"3CA1","29B2",0.256410256410256,"mother-random-juvenile","mother","daughter",2014,"29B2-3CA1"
"3CA1","5ACA",0.225,"mother-daughter","mother","daughter",2014,"3CA1-5ACA"
"3CA1","E063",0.142857142857143,"mother-random-juvenile","mother","daughter",2014,"3CA1-E063"
"3CA1","7C6F",0.191489361702128,"mother-random-juvenile","mother","daughter",2014,"3CA1-7C6F"
"3CA1","076C",0.209302325581395,"mother-random-juvenile","mother","daughter",2014,"076C-3CA1"
"3CA1","6BD8",0.228571428571429,"mother-random-juvenile","mother","daughter",2014,"3CA1-6BD8"
"3CA1","879F",0.173913043478261,"mother-random-juvenile","mother","daughter",2014,"3CA1-879F"
"4ECA","22B0",0.291666666666667,"mother-random-juvenile","mother","daughter",2014,"22B0-4ECA"
"4ECA","29B2",0.425531914893617,"mother-daughter","mother","daughter",2014,"29B2-4ECA"
"4ECA","5ACA",0.34,"mother-random-juvenile","mother","daughter",2014,"4ECA-5ACA"
"4ECA","E063",0.245283018867925,"mother-random-juvenile","mother","daughter",2014,"4ECA-E063"
"4ECA","7C6F",0.298245614035088,"mother-random-juvenile","mother","daughter",2014,"4ECA-7C6F"
"4ECA","076C",0.458333333333333,"mother-random-juvenile","mother","daughter",2014,"076C-4ECA"
"4ECA","6BD8",0.297872340425532,"mother-random-juvenile","mother","daughter",2014,"4ECA-6BD8"
"4ECA","879F",0.309090909090909,"mother-random-juvenile","mother","daughter",2014,"4ECA-879F"
"AA57","22B0",0.441860465116279,"mother-random-juvenile","mother","daughter",2014,"22B0-AA57"
"AA57","29B2",0.522727272727273,"mother-random-juvenile","mother","daughter",2014,"29B2-AA57"
"AA57","5ACA",0.395833333333333,"mother-random-juvenile","mother","daughter",2014,"5ACA-AA57"
"AA57","E063",0.269230769230769,"mother-random-juvenile","mother","daughter",2014,"AA57-E063"
"AA57","7C6F",0.345454545454545,"mother-random-juvenile","mother","daughter",2014,"7C6F-AA57"
"AA57","076C",0.590909090909091,"mother-daughter","mother","daughter",2014,"076C-AA57"
"AA57","6BD8",0.386363636363636,"mother-random-juvenile","mother","daughter",2014,"6BD8-AA57"
"AA57","879F",0.333333333333333,"mother-random-juvenile","mother","daughter",2014,"879F-AA57"
