"","0D1B","1731","6D0D","2C18","07F9","3D98","B587","377E","3CA1","24E9","A8D2","39ED","52AD","BF04","5672","4FE4","4C7B","9E17","2F15","3F49","4ECA","B75C","AC35","AA57","41C1","5108"
"0D1B",0,0.555555555555556,0.5,0.473684210526316,0.486486486486487,0.421052631578947,0.552631578947368,0.388888888888889,0.578947368421053,0.41025641025641,0.5,0.394736842105263,0.380952380952381,0.454545454545455,0.416666666666667,0.534883720930233,0.456521739130435,0.314285714285714,0.414634146341463,0.409090909090909,0.6,0.352941176470588,0.428571428571429,0.361111111111111,0.254901960784314,0.171428571428571
"1731",0.555555555555556,0,0.470588235294118,0.485714285714286,0.59375,0.219512195121951,0.527777777777778,0.533333333333333,0.555555555555556,0.307692307692308,0.666666666666667,0.53125,0.5,0.463414634146341,0.391304347826087,0.409090909090909,0.340425531914894,0.4,0.421052631578947,0.414634146341463,0.485714285714286,0.4,0.393939393939394,0.184210526315789,0.304347826086957,0.15625
"6D0D",0.5,0.470588235294118,0,0.388888888888889,0.53125,0.263157894736842,0.432432432432432,0.517241379310345,0.5,0.361111111111111,0.5,0.516129032258065,0.444444444444444,0.414634146341463,0.347826086956522,0.395348837209302,0.326086956521739,0.25,0.3,0.302325581395349,0.351351351351351,0.290322580645161,0.333333333333333,0.264705882352941,0.234042553191489,0.166666666666667
"2C18",0.473684210526316,0.485714285714286,0.388888888888889,0,0.5,0.351351351351351,0.486486486486487,0.393939393939394,0.435897435897436,0.275,0.351351351351351,0.324324324324324,0.384615384615385,0.363636363636364,0.361702127659574,0.441860465116279,0.4,0.3125,0.421052631578947,0.567567567567568,0.405405405405405,0.3125,0.352941176470588,0.25,0.224489795918367,0.0571428571428571
"07F9",0.486486486486487,0.59375,0.53125,0.5,0,0.256410256410256,0.5,0.5,0.61764705882353,0.351351351351351,0.53125,0.548387096774194,0.558823529411765,0.512820512820513,0.340425531914894,0.452380952380952,0.441860465116279,0.366666666666667,0.432432432432432,0.390243902439024,0.5,0.32258064516129,0.5,0.222222222222222,0.340909090909091,0.125
"3D98",0.421052631578947,0.219512195121951,0.263157894736842,0.351351351351351,0.256410256410256,0,0.292682926829268,0.257142857142857,0.255813953488372,0.289473684210526,0.2,0.236842105263158,0.238095238095238,0.318181818181818,0.26530612244898,0.428571428571429,0.386363636363636,0.379310344827586,0.209302325581395,0.4,0.282051282051282,0.142857142857143,0.257142857142857,0.194444444444444,0.260869565217391,0.166666666666667
"B587",0.552631578947368,0.527777777777778,0.432432432432432,0.486486486486487,0.5,0.292682926829268,0,0.324324324324324,0.638888888888889,0.317073170731707,0.432432432432432,0.485714285714286,0.425,0.369565217391304,0.34,0.477272727272727,0.434782608695652,0.323529411764706,0.540540540540541,0.452380952380952,0.375,0.323529411764706,0.441176470588235,0.371428571428571,0.340425531914894,0.111111111111111
"377E",0.388888888888889,0.533333333333333,0.517241379310345,0.393939393939394,0.5,0.257142857142857,0.324324324324324,0,0.428571428571429,0.363636363636364,0.466666666666667,0.303030303030303,0.5,0.35,0.348837209302326,0.244444444444444,0.239130434782609,0.285714285714286,0.371428571428571,0.268292682926829,0.352941176470588,0.241379310344828,0.25,0.0833333333333333,0.285714285714286,0.192307692307692
"3CA1",0.578947368421053,0.555555555555556,0.5,0.435897435897436,0.61764705882353,0.255813953488372,0.638888888888889,0.428571428571429,0,0.447368421052632,0.5,0.514285714285714,0.487179487179487,0.488372093023256,0.545454545454545,0.5,0.522727272727273,0.314285714285714,0.487179487179487,0.409090909090909,0.4,0.352941176470588,0.428571428571429,0.225,0.391304347826087,0.138888888888889
"24E9",0.41025641025641,0.307692307692308,0.361111111111111,0.275,0.351351351351351,0.289473684210526,0.317073170731707,0.363636363636364,0.447368421052632,0,0.256410256410256,0.333333333333333,0.394736842105263,0.311111111111111,0.340425531914894,0.270833333333333,0.319148936170213,0.205882352941176,0.472222222222222,0.266666666666667,0.342105263157895,0.171428571428571,0.216216216216216,0.222222222222222,0.475,0.0909090909090909
