"","0D1B","1731","6D0D","D726","2C18","07F9","3D98","B587","377E","3CA1","3F49","4ECA","39ED","B75C","AC35","AA57","5108","52AD","BF04","5672","4FE4","4C7B","41C1","22B0","29B2","5ACA","C950","E063","EE00","076C","6BD8","879F","9E17","24E9"
"0D1B",0,0.257142857142857,0.268292682926829,0.41025641025641,0.325,0.196078431372549,0.133333333333333,0.282608695652174,0.288888888888889,0.303030303030303,0.319148936170213,0.326086956521739,0.235294117647059,0.317073170731707,0.295454545454545,0.355555555555556,0.395348837209302,0.408163265306122,0.365384615384615,0.5,0.340425531914894,0.236363636363636,0.288888888888889,0.475,0.254901960784314,0.454545454545455,0.2,0.235294117647059,0.245614035087719,0.313725490196078,0.288888888888889,0.38,0.25,0.307692307692308
"1731",0.257142857142857,0,0.1875,0.242424242424242,0.258064516129032,0.27027027027027,0.0526315789473684,0.363636363636364,0.257142857142857,0.526315789473684,0.263157894736842,0.119047619047619,0.225,0.379310344827586,0.228571428571429,0.27027027027027,0.314285714285714,0.25,0.239130434782609,0.34375,0.225,0.285714285714286,0.222222222222222,0.216216216216216,0.25,0.31578947368421,0.234042553191489,0.166666666666667,0.212765957446809,0.204545454545455,0.222222222222222,0.195652173913043,0.192307692307692,0.15625
"6D0D",0.268292682926829,0.1875,0,0.289473684210526,0.27027027027027,0.375,0.12,0.292682926829268,0.333333333333333,0.193548387096774,0.272727272727273,0.341463414634146,0.325581395348837,0.263157894736842,0.214285714285714,0.41025641025641,0.285714285714286,0.369565217391304,0.382978723404255,0.378378378378378,0.390243902439024,0.476190476190476,0.444444444444444,0.204545454545455,0.288888888888889,0.318181818181818,0.269230769230769,0.295454545454545,0.326530612244898,0.418604651162791,0.405405405405405,0.235294117647059,0.258064516129032,0.216216216216216
"D726",0.41025641025641,0.242424242424242,0.289473684210526,0,0.25,0.318181818181818,0.107142857142857,0.473684210526316,0.25,0.290322580645161,0.311111111111111,0.348837209302326,0.363636363636364,0.342105263157895,0.227272727272727,0.318181818181818,0.390243902439024,0.375,0.333333333333333,0.421052631578947,0.395348837209302,0.326530612244898,0.30952380952381,0.4,0.355555555555556,0.452380952380952,0.30188679245283,0.363636363636364,0.283018867924528,0.28,0.41025641025641,0.346938775510204,0.4,0.454545454545455
"2C18",0.325,0.258064516129032,0.27027027027027,0.25,0,0.4,0.0740740740740741,0.421052631578947,0.472222222222222,0.225806451612903,0.357142857142857,0.333333333333333,0.380952380952381,0.53125,0.333333333333333,0.4,0.30952380952381,0.454545454545455,0.375,0.368421052631579,0.487179487179487,0.369565217391304,0.472222222222222,0.421052631578947,0.25531914893617,0.340909090909091,0.34,0.318181818181818,0.269230769230769,0.409090909090909,0.232558139534884,0.230769230769231,0.212121212121212,0.277777777777778
"07F9",0.196078431372549,0.27027027027027,0.375,0.318181818181818,0.4,0,0.0277777777777778,0.409090909090909,0.326086956521739,0.277777777777778,0.511627906976744,0.333333333333333,0.434782608695652,0.5,0.363636363636364,0.422222222222222,0.340425531914894,0.565217391304348,0.345454545454545,0.395348837209302,0.404255319148936,0.543478260869565,0.418604651162791,0.319148936170213,0.313725490196078,0.395833333333333,0.442307692307692,0.32,0.450980392156863,0.48936170212766,0.297872340425532,0.285714285714286,0.263157894736842,0.384615384615385
"3D98",0.133333333333333,0.0526315789473684,0.12,0.107142857142857,0.0740740740740741,0.0277777777777778,0,0.0294117647058824,0.0967741935483871,0.117647058823529,0.027027027027027,0.0882352941176471,0.0540540540540541,0.0714285714285714,0.03125,0.0882352941176471,0.0588235294117647,0.0714285714285714,0.0930232558139535,0.1,0.0833333333333333,0.0476190476190476,0.0625,0.09375,0.0526315789473684,0.0526315789473684,0.0212765957446809,0.0263157894736842,0.0444444444444444,0.075,0.0967741935483871,0.0465116279069767,0.105263157894737,0.0384615384615385
"B587",0.282608695652174,0.363636363636364,0.292682926829268,0.473684210526316,0.421052631578947,0.409090909090909,0.0294117647058824,0,0.372093023255814,0.294117647058824,0.4,0.409090909090909,0.391304347826087,0.447368421052632,0.318181818181818,0.476190476190476,0.386363636363636,0.428571428571429,0.333333333333333,0.45,0.488372093023256,0.468085106382979,0.404761904761905,0.304347826086957,0.41304347826087,0.382978723404255,0.520833333333333,0.306122448979592,0.285714285714286,0.36,0.25531914893617,0.25,0.314285714285714,0.333333333333333
"377E",0.288888888888889,0.257142857142857,0.333333333333333,0.25,0.472222222222222,0.326086956521739,0.0967741935483871,0.372093023255814,0,0.162162162162162,0.319148936170213,0.270833333333333,0.369565217391304,0.421052631578947,0.325581395348837,0.386363636363636,0.224489795918367,0.5,0.392156862745098,0.425,0.465116279069767,0.446808510638298,0.380952380952381,0.340909090909091,0.333333333333333,0.361702127659574,0.411764705882353,0.4,0.392156862745098,0.456521739130435,0.348837209302326,0.30188679245283,0.25,0.133333333333333
"3CA1",0.303030303030303,0.526315789473684,0.193548387096774,0.290322580645161,0.225806451612903,0.277777777777778,0.117647058823529,0.294117647058824,0.162162162162162,0,0.27027027027027,0.17948717948718,0.2,0.3,0.166666666666667,0.314285714285714,0.285714285714286,0.2,0.244444444444444,0.4,0.263157894736842,0.204545454545455,0.228571428571429,0.257142857142857,0.256410256410256,0.225,0.163265306122449,0.142857142857143,0.191489361702128,0.209302325581395,0.228571428571429,0.173913043478261,0.25,0.2
"3F49",0.319148936170213,0.263157894736842,0.272727272727273,0.311111111111111,0.357142857142857,0.511627906976744,0.027027027027027,0.4,0.319148936170213,0.27027027027027,0,0.25,0.34,0.414634146341463,0.452380952380952,0.382978723404255,0.391304347826087,0.553191489361702,0.31578947368421,0.418604651162791,0.425531914893617,0.469387755102041,0.409090909090909,0.340425531914894,0.307692307692308,0.387755102040816,0.407407407407407,0.313725490196078,0.31578947368421,0.479166666666667,0.215686274509804,0.216666666666667,0.166666666666667,0.30952380952381
"4ECA",0.326086956521739,0.119047619047619,0.341463414634146,0.348837209302326,0.333333333333333,0.333333333333333,0.0882352941176471,0.409090909090909,0.270833333333333,0.17948717948718,0.25,0,0.269230769230769,0.266666666666667,0.224489795918367,0.422222222222222,0.285714285714286,0.384615384615385,0.321428571428571,0.333333333333333,0.404255319148936,0.365384615384615,0.386363636363636,0.291666666666667,0.425531914893617,0.34,0.388888888888889,0.245283018867925,0.298245614035088,0.458333333333333,0.297872340425532,0.309090909090909,0.297297297297297,0.285714285714286
"39ED",0.235294117647059,0.225,0.325581395348837,0.363636363636364,0.380952380952381,0.434782608695652,0.0540540540540541,0.391304347826087,0.369565217391304,0.2,0.34,0.269230769230769,0,0.475,0.347826086956522,0.346938775510204,0.382978723404255,0.450980392156863,0.461538461538462,0.409090909090909,0.446808510638298,0.489795918367347,0.4,0.422222222222222,0.4375,0.38,0.425925925925926,0.446808510638298,0.461538461538462,0.358490566037736,0.369565217391304,0.275862068965517,0.31578947368421,0.244444444444444
"B75C",0.317073170731707,0.379310344827586,0.263157894736842,0.342105263157895,0.53125,0.5,0.0714285714285714,0.447368421052632,0.421052631578947,0.3,0.414634146341463,0.266666666666667,0.475,0,0.432432432432432,0.390243902439024,0.302325581395349,0.511627906976744,0.36734693877551,0.472222222222222,0.340909090909091,0.488372093023256,0.421052631578947,0.41025641025641,0.363636363636364,0.395348837209302,0.387755102040816,0.340909090909091,0.34,0.4,0.317073170731707,0.3,0.32258064516129,0.305555555555556
"AC35",0.295454545454545,0.228571428571429,0.214285714285714,0.227272727272727,0.333333333333333,0.363636363636364,0.03125,0.318181818181818,0.325581395348837,0.166666666666667,0.452380952380952,0.224489795918367,0.347826086956522,0.432432432432432,0,0.25,0.340909090909091,0.36,0.272727272727273,0.365853658536585,0.291666666666667,0.313725490196078,0.390243902439024,0.318181818181818,0.235294117647059,0.26,0.290909090909091,0.26530612244898,0.25,0.32,0.212765957446809,0.307692307692308,0.189189189189189,0.25
