"","0D1B","1731","9E17","6D0D","D726","2C18","07F9","B587","377E","3F49","24E9","4ECA","39ED","B75C","AC35","AA57","52AD","BF04","4FE4","41C1","22B0","29B2","879F","EC1A","663E","6B55","9A91","125F","F534","076C","4C7B","E063","C950","EE00","256A","2BFD"
"0D1B",0,0.0740740740740741,0.142857142857143,0.0526315789473684,0.2,0.151515151515152,0.05,0.354838709677419,0.111111111111111,0.105263157894737,0.0294117647058824,0.2,0.15,0.0606060606060606,0.142857142857143,0.423076923076923,0.2,0.105263157894737,0.225806451612903,0.0882352941176471,0.275862068965517,0.027027027027027,0.285714285714286,0.0465116279069767,0.0789473684210526,0.239130434782609,0.0357142857142857,0.1,0.0909090909090909,0.4,0.25,0.181818181818182,0.153846153846154,0.0625,0.0625,0.290322580645161
"1731",0.0740740740740741,0,0.25,0.269230769230769,0.0454545454545455,0.24,0.25,0.129032258064516,0.210526315789474,0.296296296296296,0.272727272727273,0.0789473684210526,0.181818181818182,0.217391304347826,0.136363636363636,0,0.138888888888889,0.25,0.0333333333333333,0.2,0.0344827586206897,0.107142857142857,0.0555555555555556,0.151515151515152,0.172413793103448,0.0869565217391304,0.222222222222222,0.0714285714285714,0.214285714285714,0.037037037037037,0.0588235294117647,0.0555555555555556,0.0952380952380952,0.0384615384615385,0.0384615384615385,0.03125
"9E17",0.142857142857143,0.25,0,0.285714285714286,0.0833333333333333,0.259259259259259,0.357142857142857,0.225806451612903,0.238095238095238,0.357142857142857,0.409090909090909,0.1,0.135135135135135,0.347826086956522,0.12,0.137931034482759,0.1,0.310344827586207,0.133333333333333,0.269230769230769,0.1,0.133333333333333,0.205882352941176,0.138888888888889,0.15625,0.127659574468085,0.0869565217391304,0.0588235294117647,0,0.107142857142857,0.105263157894737,0.222222222222222,0.130434782608696,0.0714285714285714,0.0344827586206897,0.0588235294117647
"6D0D",0.0526315789473684,0.269230769230769,0.285714285714286,0,0,0.2,0.393939393939394,0.121951219512195,0.307692307692308,0.4375,0.444444444444444,0.209302325581395,0.219512195121951,0.3,0.161290322580645,0.0512820512820513,0.209302325581395,0.277777777777778,0.024390243902439,0.242424242424242,0.0512820512820513,0.272727272727273,0.0888888888888889,0.361111111111111,0.323529411764706,0.12962962962963,0.178571428571429,0,0.0769230769230769,0.0833333333333333,0.0357142857142857,0.111111111111111,0.0967741935483871,0.0857142857142857,0.1875,0.0232558139534884
"D726",0.2,0.0454545454545455,0.0833333333333333,0,0,0.103448275862069,0.0588235294117647,0.2,0.0909090909090909,0.0588235294117647,0.0740740740740741,0.0769230769230769,0.0810810810810811,0.16,0.0833333333333333,0.24,0.0769230769230769,0.0909090909090909,0.142857142857143,0.0333333333333333,0.24,0.142857142857143,0.147058823529412,0.0540540540540541,0.09375,0.133333333333333,0.15,0.142857142857143,0.2,0.208333333333333,0.117647058823529,0.176470588235294,0.0434782608695652,0,0,0.0303030303030303
"2C18",0.151515151515152,0.24,0.259259259259259,0.2,0.103448275862069,0,0.294117647058824,0.257142857142857,0.391304347826087,0.257142857142857,0.321428571428571,0.219512195121951,0.411764705882353,0.541666666666667,0.36,0.344827586206897,0.162790697674419,0.222222222222222,0.290322580645161,0.181818181818182,0.181818181818182,0.290322580645161,0.305555555555556,0.236842105263158,0.387096774193548,0.25531914893617,0.0689655172413793,0.0434782608695652,0.0833333333333333,0.15625,0.125,0.12,0.230769230769231,0.2,0.161290322580645,0.2
"07F9",0.05,0.25,0.357142857142857,0.393939393939394,0.0588235294117647,0.294117647058824,0,0.2,0.333333333333333,0.454545454545455,0.518518518518518,0.173913043478261,0.181818181818182,0.366666666666667,0.1875,0.075,0.08,0.6,0.0476190476190476,0.228571428571429,0.075,0.257142857142857,0.133333333333333,0.307692307692308,0.424242424242424,0.145454545454545,0.129032258064516,0.037037037037037,0.0344827586206897,0.0512820512820513,0,0.103448275862069,0.0909090909090909,0.0810810810810811,0.142857142857143,0.0222222222222222
"B587",0.354838709677419,0.129032258064516,0.225806451612903,0.121951219512195,0.2,0.257142857142857,0.2,0,0.161290322580645,0.230769230769231,0.108108108108108,0.2,0.268292682926829,0.138888888888889,0.117647058823529,0.482758620689655,0.148936170212766,0.297297297297297,0.294117647058824,0.162162162162162,0.264705882352941,0.1,0.378378378378378,0.133333333333333,0.205128205128205,0.3125,0.09375,0.12,0.0714285714285714,0.28125,0.192307692307692,0.28,0.0588235294117647,0.142857142857143,0.0526315789473684,0.17948717948718
"377E",0.111111111111111,0.210526315789474,0.238095238095238,0.307692307692308,0.0909090909090909,0.391304347826087,0.333333333333333,0.161290322580645,0,0.333333333333333,0.380952380952381,0.105263157894737,0.25,0.45,0.3,0.148148148148148,0.05,0.285714285714286,0.103448275862069,0.107142857142857,0.0689655172413793,0.28,0.147058823529412,0.21875,0.25,0.0851063829787234,0.0454545454545455,0.142857142857143,0.0588235294117647,0.0740740740740741,0.0555555555555556,0.111111111111111,0.142857142857143,0.0769230769230769,0.166666666666667,0.0625
"3F49",0.105263157894737,0.296296296296296,0.357142857142857,0.4375,0.0588235294117647,0.257142857142857,0.454545454545455,0.230769230769231,0.333333333333333,0,0.413793103448276,0.227272727272727,0.238095238095238,0.413793103448276,0.151515151515152,0.102564102564103,0.148936170212766,0.5,0.1,0.264705882352941,0.102564102564103,0.257142857142857,0.133333333333333,0.342105263157895,0.382352941176471,0.166666666666667,0.129032258064516,0.0769230769230769,0.0714285714285714,0.138888888888889,0.0689655172413793,0.103448275862069,0.161290322580645,0.0810810810810811,0.176470588235294,0.0952380952380952
