"","1731","2C18","377E","24E9","4ECA","39ED","B75C","AC35","BF04","4C7B","41C1","29B2","E063","076C","879F","EC1A","663E","256A","7C6F","0758","0D1B","4FE4","22B0","C950"
"1731",0,0.166666666666667,0.31578947368421,0.444444444444444,0.434782608695652,0.333333333333333,0.2,0.409090909090909,0.31578947368421,0.36,0.36,0.391304347826087,0.35,0.214285714285714,0.24,0.259259259259259,0.3,0.421052631578947,0.384615384615385,0.36,0.473684210526316,0.206896551724138,0.24,0.125
"2C18",0.166666666666667,0,0.25,0.368421052631579,0.375,0.454545454545455,0.2,0.347826086956522,0.31578947368421,0.307692307692308,0.307692307692308,0.391304347826087,0.227272727272727,0.478260869565217,0.24,0.478260869565217,0.0833333333333333,0.227272727272727,0.241379310344828,0.416666666666667,0.272727272727273,0.4,0.24,0.0588235294117647
"377E",0.31578947368421,0.25,0,0.533333333333333,0.428571428571429,0.318181818181818,0.25,0.272727272727273,0.294117647058824,0.24,0.347826086956522,0.45,0.411764705882353,0.24,0.272727272727273,0.409090909090909,0.4375,0.142857142857143,0.375,0.347826086956522,0.388888888888889,0.28,0.217391304347826,0.153846153846154
"24E9",0.444444444444444,0.368421052631579,0.533333333333333,0,0.476190476190476,0.428571428571429,0.230769230769231,0.45,0.533333333333333,0.333333333333333,0.391304347826087,0.578947368421053,0.470588235294118,0.391304347826087,0.380952380952381,0.391304347826087,0.333333333333333,0.25,0.478260869565217,0.454545454545455,0.368421052631579,0.32,0.260869565217391,0.142857142857143
"4ECA",0.434782608695652,0.375,0.428571428571429,0.476190476190476,0,0.541666666666667,0.210526315789474,0.565217391304348,0.25,0.3,0.444444444444444,0.48,0.454545454545455,0.392857142857143,0.241379310344828,0.56,0.291666666666667,0.333333333333333,0.464285714285714,0.772727272727273,0.32,0.333333333333333,0.285714285714286,0.15
"39ED",0.333333333333333,0.454545454545455,0.318181818181818,0.428571428571429,0.541666666666667,0,0.157894736842105,0.75,0.45,0.407407407407407,0.52,0.5,0.347826086956522,0.407407407407407,0.25,0.583333333333333,0.153846153846154,0.409090909090909,0.538461538461538,0.52,0.28,0.392857142857143,0.296296296296296,0.0476190476190476
"B75C",0.2,0.2,0.25,0.230769230769231,0.210526315789474,0.157894736842105,0,0.166666666666667,0.153846153846154,0.2,0.142857142857143,0.157894736842105,0.307692307692308,0.2,0.166666666666667,0.2,0.230769230769231,0.214285714285714,0.130434782608696,0.2,0.125,0.136363636363636,0.166666666666667,0.333333333333333
"AC35",0.409090909090909,0.347826086956522,0.272727272727273,0.45,0.565217391304348,0.75,0.166666666666667,0,0.4,0.321428571428571,0.541666666666667,0.458333333333333,0.363636363636364,0.321428571428571,0.259259259259259,0.48,0.208333333333333,0.428571428571429,0.56,0.608695652173913,0.192307692307692,0.266666666666667,0.214285714285714,0.105263157894737
"BF04",0.31578947368421,0.31578947368421,0.294117647058824,0.533333333333333,0.25,0.45,0.153846153846154,0.4,0,0.347826086956522,0.24,0.380952380952381,0.411764705882353,0.476190476190476,0.217391304347826,0.347826086956522,0.277777777777778,0.263157894736842,0.375,0.291666666666667,0.388888888888889,0.333333333333333,0.272727272727273,0.0714285714285714
"4C7B",0.36,0.307692307692308,0.24,0.333333333333333,0.3,0.407407407407407,0.2,0.321428571428571,0.347826086956522,0,0.25,0.266666666666667,0.434782608695652,0.538461538461538,0.37037037037037,0.428571428571429,0.28,0.375,0.354838709677419,0.290322580645161,0.478260869565217,0.64,0.608695652173913,0.142857142857143
