"","0D1B","2C18","377E","24E9","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","C950","E063","076C","879F","EC1A","663E","256A","D14D","7C6F","0758","F44A","A539","2F8D","44BD","DCCF","9FB7","F377","ACF4","DE72","D629","C5F2","29B2"
"0D1B",0,0.5,0.484848484848485,0.333333333333333,0.416666666666667,0.575757575757576,0.470588235294118,0.484848484848485,0.5,0.5,0.542857142857143,0.375,0.483870967741935,0.333333333333333,0.428571428571429,0.454545454545455,0.4375,0.621621621621622,0.375,0.103448275862069,0.6,0.447368421052632,0.523809523809524,0.487179487179487,0.473684210526316,0.575,0.487179487179487,0.615384615384615,0.527777777777778,0.48780487804878,0.444444444444444,0.166666666666667,0.447368421052632,0.538461538461538,0.289473684210526
"2C18",0.5,0,0.419354838709677,0.433333333333333,0.352941176470588,0.305555555555556,0.451612903225806,0.294117647058824,0.393939393939394,0.633333333333333,0.484848484848485,0.3,0.464285714285714,0.264705882352941,0.363636363636364,0.387096774193548,0.464285714285714,0.30952380952381,0.388888888888889,0.125,0.307692307692308,0.612903225806452,0.372093023255814,0.358974358974359,0.307692307692308,0.380952380952381,0.394736842105263,0.318181818181818,0.388888888888889,0.333333333333333,0.395348837209302,0.15625,0.282051282051282,0.30952380952381,0.333333333333333
"377E",0.484848484848485,0.419354838709677,0,0.366666666666667,0.375,0.451612903225806,0.433333333333333,0.5,0.517241379310345,0.424242424242424,0.382352941176471,0.321428571428571,0.3,0.32258064516129,0.387096774193548,0.518518518518518,0.344827586206897,0.432432432432432,0.333333333333333,0.136363636363636,0.361111111111111,0.454545454545455,0.390243902439024,0.416666666666667,0.361111111111111,0.435897435897436,0.457142857142857,0.435897435897436,0.371428571428571,0.384615384615385,0.348837209302326,0.206896551724138,0.411764705882353,0.325,0.3125
"24E9",0.333333333333333,0.433333333333333,0.366666666666667,0,0.433333333333333,0.466666666666667,0.4,0.205882352941176,0.433333333333333,0.393939393939394,0.393939393939394,0.333333333333333,0.266666666666667,0.25,0.235294117647059,0.333333333333333,0.266666666666667,0.3,0.382352941176471,0.2,0.371428571428571,0.27027027027027,0.4,0.25,0.333333333333333,0.41025641025641,0.388888888888889,0.341463414634146,0.342857142857143,0.432432432432432,0.325581395348837,0.259259259259259,0.342857142857143,0.333333333333333,0.366666666666667
"4ECA",0.416666666666667,0.352941176470588,0.375,0.433333333333333,0,0.46875,0.323529411764706,0.375,0.4375,0.441176470588235,0.324324324324324,0.3,0.242424242424242,0.433333333333333,0.323529411764706,0.303030303030303,0.242424242424242,0.41025641025641,0.388888888888889,0.125,0.5,0.31578947368421,0.552631578947368,0.325,0.342105263157895,0.487179487179487,0.394736842105263,0.611111111111111,0.388888888888889,0.4,0.428571428571429,0.233333333333333,0.388888888888889,0.571428571428571,0.517241379310345
"39ED",0.575757575757576,0.305555555555556,0.451612903225806,0.466666666666667,0.46875,0,0.483870967741935,0.323529411764706,0.46875,0.31578947368421,0.470588235294118,0.379310344827586,0.272727272727273,0.333333333333333,0.393939393939394,0.466666666666667,0.4,0.6,0.5,0.166666666666667,0.625,0.24390243902439,0.578947368421053,0.35,0.575757575757576,0.552631578947368,0.542857142857143,0.594594594594595,0.5,0.583333333333333,0.525,0.266666666666667,0.416666666666667,0.513513513513513,0.323529411764706
"B75C",0.470588235294118,0.451612903225806,0.433333333333333,0.4,0.323529411764706,0.483870967741935,0,0.228571428571429,0.551724137931034,0.411764705882353,0.714285714285714,0.407407407407407,0.290322580645161,0.354838709677419,0.333333333333333,0.4,0.290322580645161,0.421052631578947,0.53125,0.181818181818182,0.351351351351351,0.361111111111111,0.380952380952381,0.238095238095238,0.428571428571429,0.425,0.405405405405405,0.390243902439024,0.4,0.447368421052632,0.404761904761905,0.384615384615385,0.361111111111111,0.384615384615385,0.228571428571429
"AC35",0.484848484848485,0.294117647058824,0.5,0.205882352941176,0.375,0.323529411764706,0.228571428571429,0,0.333333333333333,0.342857142857143,0.305555555555556,0.193548387096774,0.258064516129032,0.28125,0.264705882352941,0.32258064516129,0.3,0.472222222222222,0.230769230769231,0.0869565217391304,0.441176470588235,0.371428571428571,0.461538461538462,0.457142857142857,0.289473684210526,0.4,0.416666666666667,0.473684210526316,0.371428571428571,0.35,0.380952380952381,0.09375,0.333333333333333,0.394736842105263,0.3125
"BF04",0.5,0.393939393939394,0.517241379310345,0.433333333333333,0.4375,0.46875,0.551724137931034,0.333333333333333,0,0.484848484848485,0.53125,0.344827586206897,0.366666666666667,0.387096774193548,0.5,0.482758620689655,0.366666666666667,0.447368421052632,0.515151515151515,0.173913043478261,0.378378378378378,0.31578947368421,0.404761904761905,0.358974358974359,0.378378378378378,0.414634146341463,0.358974358974359,0.414634146341463,0.31578947368421,0.4,0.363636363636364,0.275862068965517,0.388888888888889,0.41025641025641,0.333333333333333
"4FE4",0.5,0.633333333333333,0.424242424242424,0.393939393939394,0.441176470588235,0.31578947368421,0.411764705882353,0.342857142857143,0.484848484848485,0,0.444444444444444,0.3125,0.517241379310345,0.352941176470588,0.371428571428571,0.352941176470588,0.375,0.348837209302326,0.394736842105263,0.0714285714285714,0.317073170731707,0.65625,0.409090909090909,0.4,0.285714285714286,0.418604651162791,0.365853658536585,0.355555555555556,0.358974358974359,0.372093023255814,0.369565217391304,0.142857142857143,0.325,0.414634146341463,0.46875
