"","1731","377E","24E9","4ECA","39ED","B75C","BF04","4FE4","4C7B","41C1","22B0","29B2","076C","879F","EC1A","663E","D14D","7C6F","0758","F44A","DCCF","F377","D629","C5F2","15BF","80F1","5909","B8A2","1958","A24D","2D31","B1E3","44BD","ACF4","AA3C","CB2B","5939","0255","A5EF","A539"
"1731",0,0.285714285714286,0.241379310344828,0.363636363636364,0.238095238095238,0.428571428571429,0.5,0.32258064516129,0.384615384615385,0.32,0.347826086956522,0.259259259259259,0.296296296296296,0.391304347826087,0.37037037037037,0.307692307692308,0.428571428571429,0.55,0.285714285714286,0.32258064516129,0.285714285714286,0.333333333333333,0.3125,0.166666666666667,0.1875,0.185185185185185,0.19047619047619,0.3125,0.217391304347826,0.1875,0.257142857142857,0.259259259259259,0.5,0.0588235294117647,0.277777777777778,0.235294117647059,0.266666666666667,0.222222222222222,0.4,0.0666666666666667
"377E",0.285714285714286,0,0.62962962962963,0.225806451612903,0.259259259259259,0.357142857142857,0.166666666666667,0.633333333333333,0.62962962962963,0.518518518518518,0.3,0.68,0.653846153846154,0.481481481481481,0.730769230769231,0.615384615384615,0.52,0.3,0.62962962962963,0.580645161290323,0.458333333333333,0.517241379310345,0.666666666666667,0.208333333333333,0.08,0.6,0.434782608695652,0.666666666666667,0.44,0.444444444444444,0.67741935483871,0.75,0.296296296296296,0.0833333333333333,0.192307692307692,0.16,0.08,0.28125,0.16,0.0909090909090909
"24E9",0.241379310344828,0.62962962962963,0,0.310344827586207,0.172413793103448,0.310344827586207,0.206896551724138,0.580645161290323,0.692307692307692,0.576923076923077,0.392857142857143,0.68,0.653846153846154,0.481481481481481,0.551724137931034,0.68,0.461538461538462,0.392857142857143,0.62962962962963,0.580645161290323,0.346153846153846,0.692307692307692,0.666666666666667,0.16,0.08,0.538461538461538,0.375,0.666666666666667,0.44,0.511627906976744,0.625,0.555555555555556,0.296296296296296,0.0833333333333333,0.107142857142857,0.16,0.08,0.205882352941176,0.16,0.0434782608695652
"4ECA",0.363636363636364,0.225806451612903,0.310344827586207,0,0.217391304347826,0.333333333333333,0.260869565217391,0.194444444444444,0.266666666666667,0.346153846153846,0.222222222222222,0.241379310344828,0.233333333333333,0.214285714285714,0.3,0.285714285714286,0.391304347826087,0.434782608695652,0.225806451612903,0.194444444444444,0.208333333333333,0.407407407407407,0.257142857142857,0,0.105263157894737,0.214285714285714,0.173913043478261,0.294117647058824,0.153846153846154,0.25531914893617,0.210526315789474,0.285714285714286,0.318181818181818,0.111111111111111,0.136363636363636,0.15,0.105263157894737,0.25,0.15,0
"39ED",0.238095238095238,0.259259259259259,0.172413793103448,0.217391304347826,0,0.333333333333333,0.470588235294118,0.21875,0.259259259259259,0.192307692307692,0.208333333333333,0.230769230769231,0.178571428571429,0.2,0.296296296296296,0.28,0.473684210526316,0.208333333333333,0.307692307692308,0.21875,0.19047619047619,0.259259259259259,0.212121212121212,0.266666666666667,0.214285714285714,0.25,0.210526315789474,0.212121212121212,0.181818181818182,0.145833333333333,0.235294117647059,0.230769230769231,0.19047619047619,0.142857142857143,0.166666666666667,0.266666666666667,0.0625,0.148148148148148,0.117647058823529,0
"B75C",0.428571428571429,0.357142857142857,0.310344827586207,0.333333333333333,0.333333333333333,0,0.318181818181818,0.34375,0.407407407407407,0.346153846153846,0.178571428571429,0.333333333333333,0.321428571428571,0.36,0.444444444444444,0.5,0.454545454545455,0.434782608695652,0.407407407407407,0.387096774193548,0.16,0.357142857142857,0.333333333333333,0.0952380952380952,0.105263157894737,0.307692307692308,0.5,0.333333333333333,0.428571428571429,0.25531914893617,0.314285714285714,0.384615384615385,0.45,0.111111111111111,0.136363636363636,0.277777777777778,0.105263157894737,0.25,0.15,0.0588235294117647
"BF04",0.5,0.166666666666667,0.206896551724138,0.260869565217391,0.470588235294118,0.318181818181818,0,0.212121212121212,0.25,0.230769230769231,0.2,0.178571428571429,0.172413793103448,0.24,0.241379310344828,0.269230769230769,0.318181818181818,0.428571428571429,0.25,0.25,0.181818181818182,0.296296296296296,0.171428571428571,0.176470588235294,0.384615384615385,0.148148148148148,0.0909090909090909,0.205882352941176,0.08,0.142857142857143,0.194444444444444,0.178571428571429,0.444444444444444,0.0625,0.222222222222222,0.25,0.285714285714286,0.230769230769231,0.428571428571429,0
"4FE4",0.32258064516129,0.633333333333333,0.580645161290323,0.194444444444444,0.21875,0.34375,0.212121212121212,0,0.689655172413793,0.533333333333333,0.517241379310345,0.620689655172414,0.6,0.607142857142857,0.612903225806452,0.566666666666667,0.482758620689655,0.294117647058824,0.689655172413793,0.741935483870968,0.379310344827586,0.53125,0.71875,0.214285714285714,0.0666666666666667,0.607142857142857,0.407407407407407,0.666666666666667,0.464285714285714,0.48936170212766,0.78125,0.620689655172414,0.212121212121212,0.0333333333333333,0.2,0.172413793103448,0.0666666666666667,0.243243243243243,0.133333333333333,0.0740740740740741
"4C7B",0.384615384615385,0.62962962962963,0.692307692307692,0.266666666666667,0.259259259259259,0.407407407407407,0.25,0.689655172413793,0,0.576923076923077,0.5,0.68,0.592592592592593,0.538461538461538,0.666666666666667,0.826086956521739,0.583333333333333,0.344827586206897,0.692307692307692,0.580645161290323,0.296296296296296,0.571428571428571,0.724137931034483,0.16,0.08,0.481481481481481,0.5,0.724137931034483,0.636363636363636,0.477272727272727,0.625,0.615384615384615,0.296296296296296,0.0833333333333333,0.107142857142857,0.16,0.08,0.171428571428571,0.16,0.0909090909090909
"41C1",0.32,0.518518518518518,0.576923076923077,0.346153846153846,0.192307692307692,0.346153846153846,0.230769230769231,0.533333333333333,0.576923076923077,0,0.5,0.444444444444444,0.6,0.608695652173913,0.448275862068966,0.625,0.458333333333333,0.5,0.518518518518518,0.4375,0.454545454545455,0.413793103448276,0.516129032258065,0.238095238095238,0.0909090909090909,0.423076923076923,0.363636363636364,0.566666666666667,0.32,0.441860465116279,0.484848484848485,0.56,0.28,0.0952380952380952,0.166666666666667,0.3,0.0909090909090909,0.266666666666667,0.181818181818182,0.105263157894737
