"","1731","377E","24E9","39ED","AC35","BF04","4C7B","41C1","29B2","076C","EC1A","663E","D14D","44BD","DCCF","C5F2","15BF","80F1","5939","A5EF","B8A2","0387","A312","82C7","D3E1","C809","3CC1","4FE4","E063","879F","7C6F","F44A","A539","AA3C","CB2B","2D31","3C0F","4ECA","22B0","5A31","AC37","9A5D","418B","0255","8787","A24D","F377","D629","D4DC","D9EF"
"1731",0,0.421052631578947,0.0714285714285714,0.230769230769231,0.142857142857143,0.153846153846154,0.352941176470588,0.153846153846154,0.235294117647059,0.375,0.5,0.2,0.117647058823529,0.0714285714285714,0.333333333333333,0.35,0.153846153846154,0.166666666666667,0.714285714285714,0.176470588235294,0.625,0.615384615384615,0.142857142857143,0.785714285714286,0.5625,0.444444444444444,0.6875,0,0.0714285714285714,0.19047619047619,0.333333333333333,0.0666666666666667,0.166666666666667,0.0625,0.142857142857143,0.142857142857143,0.294117647058824,0.388888888888889,0.117647058823529,0,0.130434782608696,0.375,0.31578947368421,0.222222222222222,0.15,0.375,0.266666666666667,0.352941176470588,0.6,0.428571428571429
"377E",0.421052631578947,0,0.0666666666666667,0.133333333333333,0.133333333333333,0.142857142857143,0.5,0.0666666666666667,0.157894736842105,0.210526315789474,0.478260869565217,0.1875,0.176470588235294,0.142857142857143,0.380952380952381,0.4,0.142857142857143,0.157894736842105,0.470588235294118,0.5,0.588235294117647,0.294117647058824,0.214285714285714,0.368421052631579,0.444444444444444,0.35,0.4,0.2,0.142857142857143,0.238095238095238,0.3125,0.0625,0.294117647058824,0.2,0.214285714285714,0.0625,0.277777777777778,0.368421052631579,0.176470588235294,0,0.125,0.277777777777778,0.181818181818182,0.15,0.263157894736842,0.277777777777778,0.25,0.411764705882353,0.388888888888889,0.235294117647059
"24E9",0.0714285714285714,0.0666666666666667,0,0.25,0.25,0.333333333333333,0.0909090909090909,0.333333333333333,0.25,0.1,0.0476190476190476,0.166666666666667,0.333333333333333,0.333333333333333,0.0625,0.0666666666666667,0.333333333333333,0.111111111111111,0.0833333333333333,0.125,0.0714285714285714,0.111111111111111,0.25,0.0769230769230769,0.0769230769230769,0.0714285714285714,0.0666666666666667,0.2,0,0,0,0.25,0.111111111111111,0.2,0,0.25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39ED",0.230769230769231,0.133333333333333,0.25,0,0.2,0.666666666666667,0.181818181818182,0.666666666666667,0.1,0.333333333333333,0.0952380952380952,0.6,0.125,0.25,0.125,0.214285714285714,0.666666666666667,0.222222222222222,0.166666666666667,0.111111111111111,0.142857142857143,0.375,0.5,0.25,0.153846153846154,0.142857142857143,0.214285714285714,0,0.25,0.153846153846154,0.25,0,0.1,0,0.2,0.2,0,0.0714285714285714,0.125,0,0,0.0909090909090909,0,0,0.0833333333333333,0,0.125,0.0833333333333333,0.0769230769230769,0
"AC35",0.142857142857143,0.133333333333333,0.25,0.2,0,0.25,0.181818181818182,0.25,0.222222222222222,0.0909090909090909,0.15,0.142857142857143,0.125,0.25,0.0588235294117647,0.0625,0.25,0.1,0.0769230769230769,0.25,0.142857142857143,0.1,0.2,0.153846153846154,0.25,0.142857142857143,0.133333333333333,0.166666666666667,0,0,0.111111111111111,0,0,0.166666666666667,0,0,0.0909090909090909,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
"BF04",0.153846153846154,0.142857142857143,0.333333333333333,0.666666666666667,0.25,0,0.2,0.333333333333333,0.111111111111111,0.222222222222222,0.1,0.4,0.142857142857143,0.333333333333333,0.133333333333333,0.142857142857143,1,0.25,0.181818181818182,0.125,0.153846153846154,0.25,0.666666666666667,0.166666666666667,0.166666666666667,0.0714285714285714,0.142857142857143,0,0.333333333333333,0.0769230769230769,0.125,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4C7B",0.352941176470588,0.5,0.0909090909090909,0.181818181818182,0.181818181818182,0.2,0,0.0909090909090909,0.2,0.266666666666667,0.304347826086957,0.363636363636364,0.230769230769231,0.0909090909090909,0.25,0.263157894736842,0.2,0.2,0.4,0.416666666666667,0.533333333333333,0.2,0.3,0.222222222222222,0.375,0.0952380952380952,0.333333333333333,0.166666666666667,0.2,0.157894736842105,0.133333333333333,0,0.285714285714286,0.166666666666667,0.181818181818182,0,0.1875,0.157894736842105,0.142857142857143,0.0666666666666667,0.15,0.1875,0.222222222222222,0.1875,0.176470588235294,0.266666666666667,0.230769230769231,0.176470588235294,0.235294117647059,0.133333333333333
"41C1",0.153846153846154,0.0666666666666667,0.333333333333333,0.666666666666667,0.25,0.333333333333333,0.0909090909090909,0,0.111111111111111,0.222222222222222,0.0476190476190476,0.4,0.142857142857143,0.333333333333333,0.0625,0.142857142857143,0.333333333333333,0.111111111111111,0.0833333333333333,0.125,0.0714285714285714,0.25,0.25,0.166666666666667,0.0769230769230769,0.153846153846154,0.142857142857143,0,0,0.0769230769230769,0.125,0,0.111111111111111,0,0,0.25,0,0.0769230769230769,0.142857142857143,0,0,0.1,0,0,0.0909090909090909,0,0.142857142857143,0.0909090909090909,0.0833333333333333,0
"29B2",0.235294117647059,0.157894736842105,0.25,0.1,0.222222222222222,0.111111111111111,0.2,0.111111111111111,0,0.133333333333333,0.217391304347826,0.3,0.272727272727273,0.111111111111111,0.277777777777778,0.157894736842105,0.111111111111111,0.142857142857143,0.1875,0.153846153846154,0.166666666666667,0.230769230769231,0.222222222222222,0.25,0.176470588235294,0.235294117647059,0.222222222222222,0.2,0.111111111111111,0.25,0.153846153846154,0.375,0.333333333333333,0.0909090909090909,0,0.222222222222222,0.416666666666667,0.25,0.166666666666667,0.166666666666667,0.235294117647059,0.0625,0.333333333333333,0.133333333333333,0.2,0.214285714285714,0.0769230769230769,0.2,0.117647058823529,0.153846153846154
"076C",0.375,0.210526315789474,0.1,0.333333333333333,0.0909090909090909,0.222222222222222,0.266666666666667,0.222222222222222,0.133333333333333,0,0.380952380952381,0.272727272727273,0.25,0.1,0.263157894736842,0.4375,0.222222222222222,0.307692307692308,0.333333333333333,0.142857142857143,0.222222222222222,0.307692307692308,0.2,0.3125,0.166666666666667,0.294117647058824,0.352941176470588,0,0.1,0.235294117647059,0.230769230769231,0.0909090909090909,0.133333333333333,0,0.2,0.2,0.0588235294117647,0.166666666666667,0.363636363636364,0.153846153846154,0.157894736842105,0.384615384615385,0.166666666666667,0.125,0.117647058823529,0.2,0.153846153846154,0.266666666666667,0.333333333333333,0.142857142857143
