"","24E9","39ED","AC35","BF04","4FE4","41C1","22B0","E063","879F","EC1A","D14D","7C6F","F44A","A539","44BD","DCCF","F377","D629","C5F2","15BF","AA3C","80F1","CB2B","5939","0255","A5EF","2D31","C809","D4DC","418B","8787","AC37","F429","A42D","B3E8","0145","0734","34C9","494F","8106","8666","8BE4","9A80","A16E","A816","4ECA","4C7B","29B2","076C","663E","B8A2","A24D","0387","3CC1","D849"
"24E9",0,0.458333333333333,0.181818181818182,0.354838709677419,0.305555555555556,0.458333333333333,0.184210526315789,0.36,0.242424242424242,0.428571428571429,0.323529411764706,0.0454545454545455,0.272727272727273,0.6,0.392857142857143,0.366666666666667,0.25,0.357142857142857,0.461538461538462,0.357142857142857,0.333333333333333,0.0789473684210526,0.102564102564103,0.121212121212121,0.125,0.419354838709677,0.1,0.32258064516129,0.1875,0.131578947368421,0.257142857142857,0.176470588235294,0.333333333333333,0.392857142857143,0.428571428571429,0.333333333333333,0.448275862068966,0.444444444444444,0.290322580645161,0.555555555555556,0.565217391304348,0.481481481481481,0.384615384615385,0.260869565217391,0.333333333333333,0.464285714285714,0.032258064516129,0.303030303030303,0.264705882352941,0.214285714285714,0.37037037037037,0.2,0.230769230769231,0.346153846153846,0.347826086956522
"39ED",0.458333333333333,0,0.230769230769231,0.206896551724138,0.25,0.4,0.151515151515152,0.35,0.133333333333333,0.375,0.357142857142857,0,0.25,0.434782608695652,0.333333333333333,0.307692307692308,0.32,0.148148148148148,0.347826086956522,0.347826086956522,0.222222222222222,0.0967741935483871,0.0588235294117647,0.111111111111111,0.115384615384615,0.423076923076923,0.181818181818182,0.214285714285714,0.192307692307692,0.241379310344828,0.233333333333333,0.222222222222222,0.32,0.230769230769231,0.375,0.178571428571429,0.296296296296296,0.391304347826087,0.222222222222222,0.25,0.45,0.375,0.318181818181818,0.294117647058824,0.32,0.416666666666667,0.0416666666666667,0.2,0.333333333333333,0.285714285714286,0.25,0.208333333333333,0.19047619047619,0.217391304347826,0.263157894736842
"AC35",0.181818181818182,0.230769230769231,0,0.344827586206897,0.294117647058824,0.28,0.2,0.24,0.52,0.37037037037037,0.2,0,0.181818181818182,0.193548387096774,0.384615384615385,0.407407407407407,0.37037037037037,0.346153846153846,0.346153846153846,0.4,0.48,0.357142857142857,0.212121212121212,0.36,0.32,0.464285714285714,0.304347826086957,0.407407407407407,0.346153846153846,0.176470588235294,0.242424242424242,0.423076923076923,0.233333333333333,0.285714285714286,0.275862068965517,0.275862068965517,0.181818181818182,0.285714285714286,0.275862068965517,0.258064516129032,0.269230769230769,0.321428571428571,0.137931034482759,0.238095238095238,0.608695652173913,0.225806451612903,0.115384615384615,0.333333333333333,0.142857142857143,0.476190476190476,0.259259259259259,0.137931034482759,0.208333333333333,0.185185185185185,0.166666666666667
"BF04",0.354838709677419,0.206896551724138,0.344827586206897,0,0.342857142857143,0.296296296296296,0.285714285714286,0.307692307692308,0.366666666666667,0.428571428571429,0.323529411764706,0.0454545454545455,0.272727272727273,0.333333333333333,0.3,0.366666666666667,0.25,0.357142857142857,0.357142857142857,0.357142857142857,0.428571428571429,0.205882352941176,0.228571428571429,0.233333333333333,0.2,0.294117647058824,0.222222222222222,0.32258064516129,0.266666666666667,0.131578947368421,0.333333333333333,0.212121212121212,0.379310344827586,0.444444444444444,0.333333333333333,0.333333333333333,0.235294117647059,0.258064516129032,0.290322580645161,0.3125,0.44,0.333333333333333,0.161290322580645,0.318181818181818,0.333333333333333,0.28125,0.103448275862069,0.303030303030303,0.194444444444444,0.36,0.233333333333333,0.125,0.185185185185185,0.25,0.192307692307692
"4FE4",0.305555555555556,0.25,0.294117647058824,0.342857142857143,0,0.379310344827586,0.388888888888889,0.444444444444444,0.277777777777778,0.40625,0.25,0,0.382352941176471,0.363636363636364,0.294117647058824,0.483870967741935,0.40625,0.34375,0.482758620689655,0.387096774193548,0.40625,0.277777777777778,0.263157894736842,0.235294117647059,0.32258064516129,0.484848484848485,0.151515151515152,0.352941176470588,0.433333333333333,0.411764705882353,0.361111111111111,0.323529411764706,0.323529411764706,0.419354838709677,0.451612903225806,0.363636363636364,0.305555555555556,0.294117647058824,0.285714285714286,0.342857142857143,0.32258064516129,0.451612903225806,0.28125,0.259259259259259,0.363636363636364,0.393939393939394,0.0882352941176471,0.333333333333333,0.371428571428571,0.21875,0.3125,0.171428571428571,0.193548387096774,0.25,0.2
"41C1",0.458333333333333,0.4,0.28,0.296296296296296,0.379310344827586,0,0.225806451612903,0.421052631578947,0.214285714285714,0.434782608695652,0.225806451612903,0,0.166666666666667,0.434782608695652,0.28,0.36,0.375,0.347826086956522,0.631578947368421,0.347826086956522,0.375,0.133333333333333,0.0588235294117647,0.2,0.16,0.48,0.0833333333333333,0.307692307692308,0.347826086956522,0.161290322580645,0.193548387096774,0.222222222222222,0.269230769230769,0.391304347826087,0.434782608695652,0.375,0.346153846153846,0.523809523809524,0.269230769230769,0.346153846153846,0.526315789473684,0.5,0.380952380952381,0.375,0.375,0.478260869565217,0.0416666666666667,0.333333333333333,0.2,0.285714285714286,0.363636363636364,0.115384615384615,0.19047619047619,0.333333333333333,0.333333333333333
"22B0",0.184210526315789,0.151515151515152,0.2,0.285714285714286,0.388888888888889,0.225806451612903,0,0.321428571428571,0.257142857142857,0.264705882352941,0.297297297297297,0,0.153846153846154,0.303030303030303,0.4,0.294117647058824,0.194444444444444,0.171428571428571,0.28125,0.32258064516129,0.194444444444444,0.294117647058824,0.352941176470588,0.290322580645161,0.344827586206897,0.27027027027027,0.241379310344828,0.222222222222222,0.366666666666667,0.393939393939394,0.342857142857143,0.387096774193548,0.228571428571429,0.2,0.387096774193548,0.194444444444444,0.153846153846154,0.2,0.303030303030303,0.184210526315789,0.258064516129032,0.303030303030303,0.114285714285714,0.230769230769231,0.228571428571429,0.257142857142857,0.25,0.17948717948718,0.314285714285714,0.121212121212121,0.176470588235294,0.344827586206897,0.346153846153846,0.1875,0.133333333333333
"E063",0.36,0.35,0.24,0.307692307692308,0.444444444444444,0.421052631578947,0.321428571428571,0,0.269230769230769,0.391304347826087,0.233333333333333,0,0.307692307692308,0.391304347826087,0.291666666666667,0.434782608695652,0.333333333333333,0.428571428571429,0.666666666666667,0.5,0.391304347826087,0.222222222222222,0.129032258064516,0.260869565217391,0.333333333333333,0.384615384615385,0.136363636363636,0.269230769230769,0.363636363636364,0.166666666666667,0.285714285714286,0.333333333333333,0.391304347826087,0.476190476190476,0.68421052631579,0.391304347826087,0.36,0.291666666666667,0.333333333333333,0.307692307692308,0.473684210526316,0.68421052631579,0.333333333333333,0.5,0.391304347826087,0.5,0.142857142857143,0.346153846153846,0.206896551724138,0.238095238095238,0.318181818181818,0.166666666666667,0.333333333333333,0.35,0.277777777777778
"879F",0.242424242424242,0.133333333333333,0.52,0.366666666666667,0.277777777777778,0.214285714285714,0.257142857142857,0.269230769230769,0,0.258064516129032,0.222222222222222,0.0476190476190476,0.242424242424242,0.147058823529412,0.310344827586207,0.428571428571429,0.258064516129032,0.37037037037037,0.275862068965517,0.423076923076923,0.444444444444444,0.379310344827586,0.3125,0.384615384615385,0.4,0.433333333333333,0.230769230769231,0.333333333333333,0.275862068965517,0.166666666666667,0.228571428571429,0.444444444444444,0.3,0.310344827586207,0.3,0.258064516129032,0.205882352941176,0.1875,0.258064516129032,0.464285714285714,0.346153846153846,0.3,0.206896551724138,0.217391304347826,0.392857142857143,0.212121212121212,0.192307692307692,0.354838709677419,0.0769230769230769,0.32,0.241379310344828,0.166666666666667,0.291666666666667,0.36,0.111111111111111
"EC1A",0.428571428571429,0.375,0.37037037037037,0.428571428571429,0.40625,0.434782608695652,0.264705882352941,0.391304347826087,0.258064516129032,0,0.194444444444444,0,0.333333333333333,0.52,0.423076923076923,0.392857142857143,0.357142857142857,0.384615384615385,0.565217391304348,0.44,0.407407407407407,0.181818181818182,0.138888888888889,0.166666666666667,0.214285714285714,0.5,0.347826086956522,0.444444444444444,0.241379310344828,0.32258064516129,0.272727272727273,0.225806451612903,0.310344827586207,0.423076923076923,0.52,0.461538461538462,0.333333333333333,0.48,0.407407407407407,0.25,0.545454545454545,0.583333333333333,0.307692307692308,0.35,0.461538461538462,0.3,0.0714285714285714,0.413793103448276,0.413793103448276,0.391304347826087,0.458333333333333,0.172413793103448,0.2,0.375,0.260869565217391
