"","22B0","8787","8C52","4FE4","076C","879F","418B","494F","8B80","F44A","44BD","2D31","0734","34C9","9A80","922C","4ECA","39ED","AC35","BF04","4C7B","41C1","E063","DCCF","C5F2","AA3C","80F1","CB2B","5939","0387","C809","3CC1","AC37","F429","A42D","0145","A816","9907","A24D","D4DC","8BE4","29B2","F377","D629","B8A2","663E","A539","A5EF","054D","B0C8","FB4B","0A62","1270","0F3D","0636"
"22B0",0,0.4375,0.444444444444444,0.333333333333333,0.193548387096774,0.28,0.08,0.192307692307692,0.142857142857143,0.130434782608696,0.037037037037037,0.227272727272727,0.107142857142857,0.192307692307692,0.192307692307692,0.153846153846154,0.181818181818182,0.08,0.208333333333333,0.0416666666666667,0.0476190476190476,0.0555555555555556,0.105263157894737,0.0869565217391304,0.130434782608696,0.304347826086957,0.0434782608695652,0.277777777777778,0.0434782608695652,0.173913043478261,0.08,0.25,0.347826086956522,0.0769230769230769,0.08,0.0869565217391304,0.411764705882353,0.181818181818182,0.0909090909090909,0.111111111111111,0.136363636363636,0.0454545454545455,0.142857142857143,0.04,0,0.142857142857143,0.125,0,0,0.05,0.117647058823529,0.0434782608695652,0,0.0909090909090909,0.15
"8787",0.4375,0,0.2,0.266666666666667,0.037037037037037,0.210526315789474,0,0.0476190476190476,0.0952380952380952,0,0,0.0588235294117647,0.0476190476190476,0.157894736842105,0,0.05,0,0.0588235294117647,0.111111111111111,0,0,0,0.0909090909090909,0,0.0625,0.166666666666667,0,0.272727272727273,0,0.125,0,0.230769230769231,0.222222222222222,0.0555555555555556,0.0588235294117647,0,0.5,0.0625,0.0714285714285714,0,0.142857142857143,0,0.153846153846154,0,0,0.25,0.285714285714286,0,0,0,0,0,0,0,0
"8C52",0.444444444444444,0.2,0,0.4,0.466666666666667,0.392857142857143,0.214285714285714,0.357142857142857,0.3,0.137931034482759,0.166666666666667,0.172413793103448,0.0857142857142857,0.310344827586207,0.266666666666667,0.193548387096774,0.178571428571429,0.0967741935483871,0.2,0.032258064516129,0.0357142857142857,0.04,0.0769230769230769,0.103448275862069,0.0645161290322581,0.37037037037037,0.0333333333333333,0.153846153846154,0.0333333333333333,0.214285714285714,0.0967741935483871,0.142857142857143,0.357142857142857,0.0606060606060606,0.133333333333333,0.103448275862069,0.192307692307692,0.137931034482759,0.107142857142857,0.08,0.142857142857143,0.0714285714285714,0.107142857142857,0.03125,0,0.0689655172413793,0,0,0,0.037037037037037,0.130434782608696,0.0689655172413793,0,0.192307692307692,0.153846153846154
"4FE4",0.333333333333333,0.266666666666667,0.4,0,0.32,0.473684210526316,0.15,0.285714285714286,0.166666666666667,0.222222222222222,0.0909090909090909,0.0454545454545455,0.08,0.08,0.285714285714286,0.0833333333333333,0.157894736842105,0.0454545454545455,0,0,0,0,0.0625,0,0.0476190476190476,0.130434782608696,0,0.117647058823529,0,0.0952380952380952,0,0.166666666666667,0.125,0.0434782608695652,0.0952380952380952,0,0.176470588235294,0.0476190476190476,0.0526315789473684,0.0666666666666667,0.05,0,0.0526315789473684,0,0,0.111111111111111,0.0769230769230769,0,0,0,0,0,0,0,0
"076C",0.193548387096774,0.037037037037037,0.466666666666667,0.32,0,0.37037037037037,0.333333333333333,0.44,0.275862068965517,0.291666666666667,0.222222222222222,0.230769230769231,0.0285714285714286,0.125,0.285714285714286,0.25,0.192307692307692,0.0666666666666667,0.172413793103448,0.0344827586206897,0.125,0.0909090909090909,0.130434782608696,0.0344827586206897,0.0689655172413793,0.206896551724138,0.0357142857142857,0.0769230769230769,0.0740740740740741,0.230769230769231,0.103448275862069,0.0714285714285714,0.161290322580645,0.137931034482759,0.0666666666666667,0.0714285714285714,0.115384615384615,0.192307692307692,0.16,0.136363636363636,0.111111111111111,0.037037037037037,0.0357142857142857,0,0.0434782608695652,0,0,0,0,0,0.0909090909090909,0.0357142857142857,0,0.0357142857142857,0.0769230769230769
"879F",0.28,0.210526315789474,0.392857142857143,0.473684210526316,0.37037037037037,0,0.173913043478261,0.291666666666667,0.185185185185185,0.181818181818182,0.166666666666667,0.125,0.0333333333333333,0.192307692307692,0.291666666666667,0.111111111111111,0.181818181818182,0,0.115384615384615,0,0.0476190476190476,0,0,0,0.04,0.111111111111111,0,0.15,0,0.08,0,0.0869565217391304,0.24,0,0.08,0,0.142857142857143,0.0833333333333333,0.0434782608695652,0.0526315789473684,0,0,0.0434782608695652,0,0.0555555555555556,0.142857142857143,0.125,0,0,0,0.0555555555555556,0.0434782608695652,0,0.0434782608695652,0.0454545454545455
"418B",0.08,0,0.214285714285714,0.15,0.333333333333333,0.173913043478261,0,0.444444444444444,0.285714285714286,0.235294117647059,0.277777777777778,0.294117647058824,0.0833333333333333,0.04,0.3,0.25,0,0,0.0909090909090909,0,0.0625,0,0,0.0526315789473684,0.105263157894737,0.19047619047619,0,0.0588235294117647,0,0.157894736842105,0.1,0.0526315789473684,0.181818181818182,0.0454545454545455,0.0476190476190476,0.0526315789473684,0.0555555555555556,0.05,0.117647058823529,0.153846153846154,0.111111111111111,0.0588235294117647,0.0555555555555556,0.05,0.0769230769230769,0,0,0,0,0,0.0769230769230769,0,0,0.0555555555555556,0.125
"494F",0.192307692307692,0.0476190476190476,0.357142857142857,0.285714285714286,0.44,0.291666666666667,0.444444444444444,0,0.476190476190476,0.19047619047619,0.173913043478261,0.238095238095238,0.0344827586206897,0.111111111111111,0.363636363636364,0.380952380952381,0.136363636363636,0.04,0.0769230769230769,0,0,0,0.0526315789473684,0,0.0416666666666667,0.16,0,0,0,0.181818181818182,0.04,0.0434782608695652,0.0714285714285714,0.08,0,0,0.0952380952380952,0.0869565217391304,0.15,0.117647058823529,0.0909090909090909,0,0,0,0,0,0,0,0,0.0526315789473684,0.0588235294117647,0.0454545454545455,0,0.0952380952380952,0.157894736842105
"8B80",0.142857142857143,0.0952380952380952,0.3,0.166666666666667,0.275862068965517,0.185185185185185,0.285714285714286,0.476190476190476,0,0.0833333333333333,0.217391304347826,0.227272727272727,0.0333333333333333,0.148148148148148,0.192307692307692,0.5,0,0.0384615384615385,0.115384615384615,0,0.0476190476190476,0.0555555555555556,0.105263157894737,0,0.04,0.2,0,0,0,0.227272727272727,0.0384615384615385,0.0416666666666667,0.107142857142857,0.0769230769230769,0.0384615384615385,0,0.142857142857143,0.238095238095238,0.263157894736842,0.0526315789473684,0.19047619047619,0,0.142857142857143,0,0,0,0,0,0,0.105263157894737,0.117647058823529,0.142857142857143,0,0.142857142857143,0.277777777777778
"F44A",0.130434782608696,0,0.137931034482759,0.222222222222222,0.291666666666667,0.181818181818182,0.235294117647059,0.19047619047619,0.0833333333333333,0,0.222222222222222,0.166666666666667,0.0416666666666667,0.0416666666666667,0.25,0.263157894736842,0.111111111111111,0,0.0454545454545455,0,0.0666666666666667,0.0833333333333333,0.0714285714285714,0,0,0.0909090909090909,0,0,0.0588235294117647,0.05,0,0,0.0416666666666667,0,0.05,0,0.0588235294117647,0.176470588235294,0.125,0.0769230769230769,0.117647058823529,0,0.125,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0
