"","4ECA","39ED","AC35","41C1","22B0","076C","879F","F44A","44BD","DCCF","C5F2","15BF","AA3C","CB2B","5939","0255","B8A2","A24D","2D31","0387","C809","3CC1","418B","AC37","F429","A42D","0145","0734","34C9","494F","8BE4","9A80","8C52","922C","B0C8","0F3D","0636","12D7","EB80","F4D9","DFAD","B484","0CE1","04DB","04D3","0B04","09B4","10B4","0739","F1D5","0122","0482","10B6","104E","0BA0","0DE4","062C","088C","29B2","663E","80F1","0A62","8B80","054D","BF04","D629","EE51","CC06"
"4ECA",0,0.0526315789473684,0.130434782608696,0.08,0.03125,0.032258064516129,0.0263157894736842,0.0588235294117647,0.2,0.705882352941177,0.352941176470588,0.0666666666666667,0.296296296296296,0.0526315789473684,0.173913043478261,0.0588235294117647,0.15,0.0833333333333333,0,0,0.307692307692308,0.266666666666667,0.0606060606060606,0.0967741935483871,0.0588235294117647,0.269230769230769,0.35,0.0625,0.0625,0.0810810810810811,0.346153846153846,0,0.103448275862069,0.0882352941176471,0.176470588235294,0.0357142857142857,0.125,0.0666666666666667,0.0952380952380952,0.0625,0.0476190476190476,0.117647058823529,0.0512820512820513,0.0303030303030303,0.111111111111111,0.130434782608696,0,0,0.133333333333333,0.0476190476190476,0.384615384615385,0.0526315789473684,0.111111111111111,0.272727272727273,0.173913043478261,0.117647058823529,0.133333333333333,0.2,0.15,0,0,0.181818181818182,0.0434782608695652,0.176470588235294,0,0,0,0
"39ED",0.0526315789473684,0,0.0666666666666667,0.133333333333333,0,0.157894736842105,0.0357142857142857,0.04,0.142857142857143,0.0555555555555556,0.0833333333333333,0.2,0.0416666666666667,0.111111111111111,0.0625,0.142857142857143,0.0833333333333333,0.0666666666666667,0.142857142857143,0,0.0434782608695652,0.125,0,0,0.142857142857143,0.0454545454545455,0.133333333333333,0.166666666666667,0.0434782608695652,0.0714285714285714,0.0869565217391304,0.05,0,0.0384615384615385,0.111111111111111,0.0555555555555556,0.0625,0.2,0.0833333333333333,0.166666666666667,0,0.037037037037037,0.0689655172413793,0.0434782608695652,0.0714285714285714,0,0.0416666666666667,0.0434782608695652,0.166666666666667,0.0909090909090909,0.04,0.428571428571429,0.111111111111111,0.125,0.133333333333333,0.125,0.166666666666667,0.0526315789473684,0,0,0,0,0,0,0,0,0,0
"AC35",0.130434782608696,0.0666666666666667,0,0.277777777777778,0,0.037037037037037,0.0294117647058824,0,0.166666666666667,0.136363636363636,0.1875,0.0909090909090909,0.476190476190476,0.230769230769231,0.0952380952380952,0.0769230769230769,0.117647058823529,0.294117647058824,0,0,0.2,0.25,0,0,0.166666666666667,0.45,0.210526315789474,0.0833333333333333,0,0,0.291666666666667,0,0,0,0.230769230769231,0.0416666666666667,0.277777777777778,0.0909090909090909,0.0555555555555556,0.0833333333333333,0,0,0.0277777777777778,0,0,0,0,0,0.181818181818182,0.0588235294117647,0.454545454545455,0.142857142857143,0.142857142857143,0.263157894736842,0.352941176470588,0.153846153846154,0.181818181818182,0.368421052631579,0.1875,0.2,0.0909090909090909,0.692307692307692,0,0.0666666666666667,0,0,0,0.25
"41C1",0.08,0.133333333333333,0.277777777777778,0,0,0.0357142857142857,0,0,0.0714285714285714,0.0833333333333333,0.111111111111111,0.0833333333333333,0.230769230769231,0.0625,0.5,0.0714285714285714,0.0526315789473684,0.642857142857143,0,0,0.148148148148148,0.142857142857143,0,0,0.0714285714285714,0.363636363636364,0.142857142857143,0.0769230769230769,0,0,0.185185185185185,0,0,0,0.0625,0.04,0.714285714285714,0.0833333333333333,0.428571428571429,0.0769230769230769,0,0,0,0,0,0,0,0,0.166666666666667,0.357142857142857,0.178571428571429,0.214285714285714,0.0625,0.136363636363636,0.263157894736842,0.0666666666666667,0.0769230769230769,0.173913043478261,0.0526315789473684,0.117647058823529,0,0.210526315789474,0,0.0625,0,0,0.384615384615385,0.230769230769231
"22B0",0.03125,0,0,0,0,0.296296296296296,0.448275862068966,0.181818181818182,0,0.103448275862069,0.04,0,0,0.0454545454545455,0.111111111111111,0,0.181818181818182,0,0.208333333333333,0.263157894736842,0.121212121212121,0,0.225806451612903,0.233333333333333,0,0,0.0714285714285714,0,0.193548387096774,0.264705882352941,0.027027027027027,0.259259259259259,0.346153846153846,0.176470588235294,0,0.230769230769231,0,0,0.04,0,0.136363636363636,0.138888888888889,0.419354838709677,0.233333333333333,0.264705882352941,0.208333333333333,0.407407407407407,0.233333333333333,0,0,0.0263157894736842,0,0.0454545454545455,0.0689655172413793,0,0.1,0,0.0645161290322581,0.04,0.136363636363636,0,0,0.125,0,0,0.0526315789473684,0,0
"076C",0.032258064516129,0.157894736842105,0.037037037037037,0.0357142857142857,0.296296296296296,0,0.32258064516129,0.357142857142857,0.0526315789473684,0.0333333333333333,0.0416666666666667,0.0588235294117647,0.0277777777777778,0.1,0.0357142857142857,0.0526315789473684,0.136363636363636,0.037037037037037,0.333333333333333,0.210526315789474,0.0909090909090909,0.05,0.233333333333333,0.241379310344828,0.0526315789473684,0.0294117647058824,0.0357142857142857,0.0555555555555556,0.2,0.4,0.0882352941176471,0.375,0.172413793103448,0.3,0.0476190476190476,0.24,0.0357142857142857,0.0588235294117647,0.0416666666666667,0.0555555555555556,0.142857142857143,0.25,0.264705882352941,0.285714285714286,0.3125,0.217391304347826,0.233333333333333,0.285714285714286,0.0555555555555556,0.0434782608695652,0.0555555555555556,0.0476190476190476,0.1,0.0344827586206897,0.0357142857142857,0.05,0.0555555555555556,0.032258064516129,0,0.2,0,0,0.238095238095238,0,0,0,0,0
"879F",0.0263157894736842,0.0357142857142857,0.0294117647058824,0,0.448275862068966,0.32258064516129,0,0.25,0,0.0857142857142857,0.032258064516129,0,0.0232558139534884,0.115384615384615,0.0909090909090909,0,0.142857142857143,0,0.206896551724138,0.153846153846154,0.131578947368421,0,0.157894736842105,0.34375,0,0,0.0588235294117647,0,0.131578947368421,0.289473684210526,0.0232558139534884,0.25,0.171428571428571,0.210526315789474,0.0357142857142857,0.1875,0,0,0.032258064516129,0,0.24,0.205128205128205,0.470588235294118,0.162162162162162,0.195121951219512,0.206896551724138,0.333333333333333,0.162162162162162,0,0,0.0465116279069767,0,0.0357142857142857,0.0882352941176471,0,0.0769230769230769,0,0.0540540540540541,0.0666666666666667,0.0689655172413793,0.0416666666666667,0.0294117647058824,0.1,0,0,0.04,0,0
"F44A",0.0588235294117647,0.04,0,0,0.181818181818182,0.357142857142857,0.25,0,0,0.0294117647058824,0,0,0,0,0,0,0.0740740740740741,0,0.28,0.227272727272727,0.0526315789473684,0,0.366666666666667,0.333333333333333,0,0,0,0,0.428571428571429,0.642857142857143,0.0512820512820513,0.48,0.310344827586207,0.72,0,0.296296296296296,0,0,0,0,0.217391304347826,0.517241379310345,0.305555555555556,0.428571428571429,0.533333333333333,0.333333333333333,0.366666666666667,0.6,0,0,0.05,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.25,0,0,0,0,0
"44BD",0.2,0.142857142857143,0.166666666666667,0.0714285714285714,0,0.0526315789473684,0,0,0,0.214285714285714,0.375,0.333333333333333,0.0952380952380952,0.142857142857143,0.0714285714285714,0.2,0.1,0.0769230769230769,0,0,0.0476190476190476,0.4,0,0,0.2,0.105263157894737,0.25,0.25,0,0,0.0952380952380952,0,0,0,0.333333333333333,0.0625,0.153846153846154,0.333333333333333,0.222222222222222,0.25,0,0,0,0,0,0,0,0,0.25,0.111111111111111,0.0909090909090909,0.142857142857143,0.333333333333333,0.230769230769231,0.153846153846154,0.4,0.666666666666667,0.0588235294117647,0,0,0,0.0769230769230769,0,0.142857142857143,0,0,0,0
"DCCF",0.705882352941177,0.0555555555555556,0.136363636363636,0.0833333333333333,0.103448275862069,0.0333333333333333,0.0857142857142857,0.0294117647058824,0.214285714285714,0,0.466666666666667,0.0714285714285714,0.259259259259259,0.0555555555555556,0.3,0.0625,0.294117647058824,0.0869565217391304,0,0.0526315789473684,0.269230769230769,0.285714285714286,0,0.0645161290322581,0.0625,0.28,0.529411764705882,0.0666666666666667,0.0645161290322581,0.0263157894736842,0.36,0,0.0333333333333333,0.0588235294117647,0.1875,0.037037037037037,0.130434782608696,0.0714285714285714,0.157894736842105,0.0666666666666667,0.05,0.0571428571428571,0.111111111111111,0.03125,0.0540540540540541,0.0416666666666667,0,0,0.142857142857143,0.05,0.296296296296296,0.0555555555555556,0.117647058823529,0.35,0.181818181818182,0.285714285714286,0.142857142857143,0.318181818181818,0.157894736842105,0,0,0.19047619047619,0,0.1875,0,0.0666666666666667,0,0
