"","A0CF","5EBF3C","A1D2","C073","1F36","4D10","CE1D","1A0D","5440","5DED","4FCA","5971","0832","A093","A4F8","900E","61B2","94D3","4F91","775E","9900"
"05.08.2013_31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"06.08.2013_19",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
"07.08.2013_19",1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
"08.08.2013_19",1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0
"09.08.2013_5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"10.08.2013_2",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
"11.08.2013_2",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
"12.08.2013_17",1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"12.08.2013_6",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
"13.08.2013_17",0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"14.08.2013_235",1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
"15.08.2013_235",1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"16.08.2013_235",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
"17.08.2013_28",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1
"18.08.2013_28",1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0
"19.08.2013_28",1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
"20.08.2013_28",1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0
"21.08.2013_28",0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
"21.08.2013_17",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22.08.2013_28",1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1
"22.08.2013_110",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23.08.2013_28",1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
"24.08.2013_28",1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
"25.08.2013_18",0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"25.08.2013_28",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27.08.2013_28",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"28.08.2013_5",0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"28.08.2013_16",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"29.08.2013_5",0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"30.08.2013_1",0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
"30.08.2013_16",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"31.08.2013_1",0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"31.08.2013_16",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"01.09.2013_1",1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
"01.09.2013_16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"02.09.2013_1",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"02.09.2013_16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"03.09.2013_1",1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"03.09.2013_16",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"04.09.2013_1",1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0
"04.09.2013_16",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"05.09.2013_1",1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
"06.09.2013_1",0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
"07.09.2013_1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"07.09.2013_17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"08.09.2013_17",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13.09.2013_17",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"15.09.2013_17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"16.09.2013_17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"21.09.2013_17",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
"22.09.2013_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
