"","A0CF","5EBF3C","A1D2","61B2","4D10","1A0D","94D3","9900","775E","5440","4FCA","4F91","0832","A093","A4F8","900E","8712","1338","E89B","238E","4107","A290"
"31.07.2015_16",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
"31.07.2015_235",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"01.08.2015_17",1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
"02.08.2015_237",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"03.08.2015_237",1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
"04.08.2015_237",1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
"05.08.2015_235",1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
"06.08.2015_235",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"07.08.2015_24",1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"08.08.2015_24",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1
"09.08.2015_24",1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
"10.08.2015_24",1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1
"11.08.2015_24",1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1
"12.08.2015_24",1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1
"13.08.2015_24",1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
"14.08.2015_24",1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1
"15.08.2015_24",1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
"16.08.2015_24",0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1
"17.08.2015_24",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
"18.08.2015_237",1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1
"19.08.2015_237",1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0
"20.08.2015_237",1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
"21.08.2015_26",0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
"22.08.2015_9",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"22.08.2015_26",0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0
"23.08.2015_26",1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1
"24.08.2015_26",0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
"25.08.2015_9",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"26.08.2015_9",1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
"27.08.2015_9",1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
"28.08.2015_9",0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1
"29.08.2015_21",0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1
"30.08.2015_9",1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1
"31.08.2015_24",0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1
"01.09.2015_24",0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0
"02.09.2015_21",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1
"03.09.2015_21",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
"04.09.2015_21",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1
"05.09.2015_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"07.09.2015_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
"08.09.2015_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"09.09.2015_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
"12.09.2015_21",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
"13.09.2015_21",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13.09.2015_9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
