"","1A0D","94D3","5440","A4F8","8712","1338","E89B","238E","4107","110D","1E39","2562","D8F5","FBF5","4999","A1CE","EDDE","B5F7","101F","50FB","B311","F6AA"
"02.08.2019_LBV",1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0
"02.08.2019_23",0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"02.08.2019_markiert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"03.08.2019_12",1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"03.08.2019_6",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"04.08.2019_12",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"06.08.2019_10",1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
"07.08.2019_10",0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1
"08.08.2019_10",0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
"09.08.2019_10",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"10.08.2019_10",0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1
"11.08.2019_23",0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0
"11.08.2019_10",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
"12.08.2019_10",1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
"13.08.2019_12",1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
"13.08.2019_10",0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1
"14.08.2019_10",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1
"14.08.2019_235",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
"15.08.2019_10",1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1
"15.08.2019_235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"16.08.2019_10",1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1
"17.08.2019_10",1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1
"18.08.2019_10",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"19.08.2019_235",1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0
"19.08.2019_10",0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"20.08.2019_235",1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1
"20.08.2019_10",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"21.08.2019_235",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0
"21.08.2019_10",0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"22.08.2019_235",1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0
"22.08.2019_10",0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"23.08.2019_21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"23.08.2019_10",0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1
"24.08.2019_235",1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1
"25.08.2019_235",1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1
"26.08.2019_235",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1
"27.08.2019_235",1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1
"28.08.2019_ja",1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
"29.08.2019_7",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"30.08.2019_21",0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0
"31.08.2019_21",0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"01.09.2019_21",0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"02.09.2019_21",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1
"03.09.2019_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"04.09.2019_21",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
"05.09.2019_ja",0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
"08.09.2019_281",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"11.09.2019_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
