"","E89B","238E","110D","2562","4999","A1CE","B5F7","101F","B311","48AB","A41C","D3B0","100F","909D","96BF","877B","8870","91BD","1A0D","ED95","8EBE"
"10.08.2022_5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"11.08.2022_6",1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0
"08.12.2022_6",1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
"13.08.2022_4",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"14.08.2022_4",0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0
"15.08.2022_4",1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0
"16.08.2022_4",0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"17.08.2022_15",1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
"18.08.2022_15",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0
"19.08.2022_15",1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"20.08.2022_7",1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0
"21.08.2022_10",1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0
"22.08.2022_1",1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
"22.08.2022_10",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
"23.08.2022_1",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
"24.08.2022_10",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"25.08.2022_10",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"28.08.2022_10",1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0
"29.08.2022_10",1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"30.08.2022_10",1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0
"31.08.2022_10",1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0
"01.09.2022_7",1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1
"01.09.2022_10",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"02.09.2022_5",1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1
"04.09.2022_234",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"05.09.2022_234",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"06.09.2022_234",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
