"","A0CF","A1D2","C073","5440","5EBF3C","61B2","1F36","4D10","CE1D","1A0D","94D3","775E","5DED","4FCA","4F91","4D01","5971","0832","A093","A4F8","900E","9900"
"2013-05-09_20",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-05-10_20",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-05-11_7",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"2013-05-12_7",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"2013-05-13_7",1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013-05-14_7",1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013-05-15_7",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"2013-05-16_7",1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2013-05-17_7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-05-18_110",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-05-19_110",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-05-20_110",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"2013-05-21_110",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-05-22_110",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-05-23_6",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"2013-05-26_6",1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"2013-05-28_32",1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"2013-05-28_6",0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"2013-05-29_32",1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"2013-05-30_6",1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"2013-05-30_23",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2013-06-01_2",1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"2013-06-01_6",0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"2013-06-02_110",1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
