"from","to","weight","pair_type"
"238E","A1CE",0.474137931034483,"other"
"238E","48AB",0.657407407407407,"other"
"238E","1A0D",0.591666666666667,"other"
"238E","E89B",0.0357142857142857,"other"
"238E","110D",0.540540540540541,"other"
"238E","2562",0.530612244897959,"other"
"238E","4999",0.483333333333333,"other"
"238E","B5F7",0.481481481481481,"other"
"238E","101F",0.495867768595041,"other"
"238E","B311",0.467213114754098,"other"
"238E","A41C",0.404040404040404,"other"
"238E","100F",0.548387096774194,"other"
"238E","AE33",0.613207547169811,"other"
"238E","909D",0.456692913385827,"other"
"238E","96BF",0.571428571428571,"other"
"238E","8870",0.651376146788991,"other"
"238E","91BD",0.457142857142857,"other"
"238E","ED95",0.627272727272727,"other"
"238E","8EBE",0.461538461538462,"other"
"238E","877B",0.5234375,"other"
"238E","D3B0",0.459016393442623,"other"
"238E","06E6",0.0297029702970297,"other"
"238E","0ACE",0.029126213592233,"other"
"238E","0222",0.0196078431372549,"other"
"238E","1153",0.0377358490566038,"other"
"A1CE","48AB",0.529411764705882,"other"
"A1CE","1A0D",0.503875968992248,"other"
"A1CE","E89B",0.0227272727272727,"other"
"A1CE","110D",0.526315789473684,"other"
"A1CE","2562",0.429906542056075,"other"
"A1CE","4999",0.521008403361345,"other"
"A1CE","B5F7",0.481751824817518,"other"
"A1CE","101F",0.533333333333333,"other"
"A1CE","B311",0.529411764705882,"other"
"A1CE","A41C",0.327102803738318,"other"
"A1CE","100F",0.547619047619048,"other"
"A1CE","AE33",0.5,"other"
"A1CE","909D",0.516129032258065,"other"
"A1CE","96BF",0.516949152542373,"other"
"A1CE","8870",0.577586206896552,"other"
"A1CE","91BD",0.510948905109489,"other"
"A1CE","ED95",0.555555555555556,"other"
"A1CE","8EBE",0.440298507462687,"other"
"A1CE","877B",0.534883720930233,"other"
"A1CE","D3B0",0.521008403361345,"other"
"A1CE","06E6",0.0808080808080808,"other"
"A1CE","0ACE",0.058252427184466,"other"
"A1CE","0222",0.0808080808080808,"other"
"A1CE","1153",0.0660377358490566,"other"
"48AB","1A0D",0.541984732824427,"other"
"48AB","E89B",0.0315789473684211,"other"
"48AB","110D",0.685185185185185,"other"
"48AB","2562",0.548076923076923,"other"
"48AB","4999",0.549180327868853,"other"
"48AB","B5F7",0.49645390070922,"other"
"48AB","101F",0.586776859504132,"other"
"48AB","B311",0.52,"other"
"48AB","A41C",0.442307692307692,"other"
"48AB","100F",0.526315789473684,"other"
"48AB","AE33",0.625,"other"
"48AB","909D",0.53125,"other"
"48AB","96BF",0.715596330275229,"other"
"48AB","8870",0.785046728971963,"other"
"48AB","91BD",0.546762589928058,"other"
"48AB","ED95",0.68141592920354,"other"
"48AB","8EBE",0.435714285714286,"other"
"48AB","877B",0.514705882352941,"other"
"48AB","D3B0",0.4765625,"other"
"48AB","06E6",0.036036036036036,"other"
"48AB","0ACE",0.0263157894736842,"other"
