"from","to","weight","pairID","pair_type","year","colony_size","colony_size_c","from_role","to_role","pair_type_2"
"A0CF","5EBF3C",0.458347656697605,"5EBF3C-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"A0CF","C073",0.624957029907185,"A0CF-C073","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"A0CF","1F36",0.375042970092815,"1F36-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"A0CF","5971",0.5,"5971-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A0CF","0832",0.53570200854491,"0832-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A0CF","A093",0.527768228868263,"A093-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A0CF","A4F8",0.555536457736527,"A0CF-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A0CF","900E",0.551706357202972,"900E-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A0CF","61B2",0.5,"61B2-A0CF","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"5EBF3C","A1D2",0.407439237105789,"5EBF3C-A1D2","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","C073",0.387135585890285,"5EBF3C-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_mom","other"
"5EBF3C","1F36",0.411795037712576,"1F36-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom","rfid_mom","other"
"5EBF3C","4D10",0.437521485046408,"4D10-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","CE1D",0.411795037712576,"5EBF3C-CE1D","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","1A0D",0.52380133902994,"1A0D-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","5440",0.33339062679042,"5440-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","5DED",0.285787948730541,"5DED-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","4FCA",0.32148995727545,"4FCA-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","5971",0.33339062679042,"5971-5EBF3C","mother-daughter",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"5EBF3C","0832",0.416695313395211,"0832-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"5EBF3C","A093",0.352991729520959,"5EBF3C-A093","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"5EBF3C","A4F8",0.342911162402397,"5EBF3C-A4F8","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"5EBF3C","900E",0.440020625644551,"5EBF3C-900E","mother-daughter",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"5EBF3C","61B2",0.411795037712576,"5EBF3C-61B2","other",2013,22,-4.49157786180818,"rfid_mom","rfid_mom","other"
"5EBF3C","94D3",0.133459378938925,"5EBF3C-94D3","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","4F91",0.277854169053894,"4F91-5EBF3C","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","775E",0.300068752148505,"5EBF3C-775E","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"5EBF3C","9900",0.235385113137727,"5EBF3C-9900","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"A1D2","C073",0.66660937320958,"A1D2-C073","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"A1D2","1F36",0.440020625644551,"1F36-A1D2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"A1D2","5971",0.5,"5971-A1D2","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A1D2","0832",0.533321874641915,"0832-A1D2","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A1D2","A093",0.56754434049037,"A093-A1D2","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A1D2","A4F8",0.552613486276709,"A1D2-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A1D2","900E",0.599965623925748,"900E-A1D2","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"A1D2","61B2",0.33339062679042,"61B2-A1D2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"C073","1F36",0.322641634970447,"1F36-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_mom","other"
"C073","4D10",0.290394659510529,"4D10-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","CE1D",0.366712501432337,"C073-CE1D","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","1A0D",0.484853693344584,"1A0D-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","5440",0.322641634970447,"5440-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","5DED",0.375042970092815,"5DED-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","4FCA",0.459473395705778,"4FCA-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","5971",0.585336508229297,"5971-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"C073","0832",0.5,"0832-C073","mother-daughter",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"C073","A093",0.536572789241128,"A093-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"C073","A4F8",0.599965623925748,"A4F8-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"C073","900E",0.394773027446581,"900E-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"C073","61B2",0.366712501432337,"61B2-C073","other",2013,22,-4.49157786180818,"rfid_mom","rfid_mom","other"
"C073","94D3",0.133459378938925,"94D3-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","4F91",0.250085940185631,"4F91-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","775E",0.303098013479588,"775E-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"C073","9900",0.117778496754494,"9900-C073","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","4D10",0.312564455139223,"1F36-4D10","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","CE1D",0.466678125358084,"1F36-CE1D","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","1A0D",0.5,"1A0D-1F36","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","5440",0.294188421329343,"1F36-5440","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","5DED",0.562478514953592,"1F36-5DED","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","4FCA",0.296366321632736,"1F36-4FCA","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","5971",0.243331506136594,"1F36-5971","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"1F36","0832",0.230861781738372,"0832-1F36","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"1F36","A093",0.294188421329343,"1F36-A093","mother-daughter",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"1F36","A4F8",0.216313769940446,"1F36-A4F8","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"1F36","900E",0.307758415527409,"1F36-900E","other",2013,22,-4.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"1F36","61B2",0.375042970092815,"1F36-61B2","other",2013,22,-4.49157786180818,"rfid_mom","rfid_mom","other"
"1F36","94D3",0.250085940185631,"1F36-94D3","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","4F91",0.400034376074252,"1F36-4F91","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","775E",0.411795037712576,"1F36-775E","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"1F36","9900",0.266746877506589,"1F36-9900","other",2013,22,-4.49157786180818,"rfid_mom",NA,"other"
"4D10","5971",0.285787948730541,"4D10-5971","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4D10","0832",0.347878398373863,"0832-4D10","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4D10","A093",0.264786767233535,"4D10-A093","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4D10","A4F8",0.257226341894613,"4D10-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4D10","900E",0.320061876933654,"4D10-900E","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4D10","61B2",0.5,"4D10-61B2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"CE1D","5971",0.314349555566468,"5971-CE1D","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"CE1D","0832",0.280075627363355,"0832-CE1D","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"CE1D","A093",0.33339062679042,"A093-CE1D","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"CE1D","A4F8",0.285787948730541,"A4F8-CE1D","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"CE1D","900E",0.360048126503953,"900E-CE1D","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"CE1D","61B2",0.466678125358084,"61B2-CE1D","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"1A0D","5971",0.5,"1A0D-5971","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"1A0D","0832",0.428595982910181,"0832-1A0D","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"1A0D","A093",0.529401654095808,"1A0D-A093","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"1A0D","A4F8",0.472231771131736,"1A0D-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"1A0D","900E",0.5,"1A0D-900E","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"1A0D","61B2",0.428595982910181,"1A0D-61B2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"5440","5971",0.277854169053894,"5440-5971","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5440","0832",0.280075627363355,"0832-5440","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5440","A093",0.257226341894613,"5440-A093","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5440","A4F8",0.250085940185631,"5440-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5440","900E",0.259342016475052,"5440-900E","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5440","61B2",0.294188421329343,"5440-61B2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"5DED","5971",0.256493993001383,"5971-5DED","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5DED","0832",0.296366321632736,"0832-5DED","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5DED","A093",0.382393383616768,"5DED-A093","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5DED","A4F8",0.29736697852889,"5DED-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5DED","900E",0.32148995727545,"5DED-900E","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"5DED","61B2",0.315852798031517,"5DED-61B2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"4FCA","5971",0.372136992653114,"4FCA-5971","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4FCA","0832",0.451629536810122,"0832-4FCA","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4FCA","A093",0.390281632276618,"4FCA-A093","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4FCA","A4F8",0.414663491770703,"4FCA-A4F8","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4FCA","900E",0.566643749283832,"4FCA-900E","other",2013,22,-4.49157786180818,NA,"rfid_off","other"
"4FCA","61B2",0.250085940185631,"4FCA-61B2","other",2013,22,-4.49157786180818,NA,"rfid_mom","other"
"5971","0832",0.473693256861646,"0832-5971","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"5971","A093",0.6190066951497,"5971-A093","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"5971","A4F8",0.682863946205636,"5971-A4F8","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"5971","900E",0.487183894368494,"5971-900E","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"5971","61B2",0.277854169053894,"5971-61B2","other",2013,22,-4.49157786180818,"rfid_off","rfid_mom","mother-random-juvenile"
"5971","94D3",0.114418307714973,"5971-94D3","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"5971","4F91",0.216313769940446,"4F91-5971","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"5971","775E",0.230861781738372,"5971-775E","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"5971","9900",0.16227829754815,"5971-9900","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"0832","A093",0.5,"0832-A093","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"0832","A4F8",0.571404017089819,"0832-A4F8","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"0832","900E",0.517235452400991,"0832-900E","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"0832","61B2",0.33339062679042,"0832-61B2","other",2013,22,-4.49157786180818,"rfid_off","rfid_mom","mother-random-juvenile"
"0832","94D3",0.136488640270008,"0832-94D3","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"0832","4F91",0.240089377793056,"0832-4F91","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"0832","775E",0.214383931640721,"0832-775E","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"0832","9900",0.208433596883236,"0832-9900","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A093","A4F8",0.634100227217467,"A093-A4F8","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"A093","900E",0.513508868098074,"900E-A093","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
"A093","61B2",0.294188421329343,"61B2-A093","other",2013,22,-4.49157786180818,"rfid_off","rfid_mom","mother-random-juvenile"
"A093","94D3",0.121342333614592,"94D3-A093","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A093","4F91",0.264786767233535,"4F91-A093","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A093","775E",0.277854169053894,"775E-A093","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A093","9900",0.205983459041918,"9900-A093","other",2013,22,-4.49157786180818,"rfid_off",NA,"other"
"A4F8","900E",0.461551683105482,"900E-A4F8","other",2013,22,-4.49157786180818,"rfid_off","rfid_off","other"
