"","A0CF","5EBF3C","A1D2","C073","1F36","4D10","CE1D","1A0D","5440","5DED","4FCA","5971","0832","A093","A4F8","900E","61B2","94D3","4F91","775E","9900"
"A0CF",0,0.458333333333333,0.620689655172414,0.625,0.375,0.391304347826087,0.434782608695652,0.64,0.269230769230769,0.5,0.483870967741935,0.5,0.535714285714286,0.527777777777778,0.555555555555556,0.551724137931034,0.5,0.181818181818182,0.333333333333333,0.4,0.2
"5EBF3C",0.458333333333333,0,0.407407407407407,0.387096774193548,0.411764705882353,0.4375,0.411764705882353,0.523809523809524,0.333333333333333,0.285714285714286,0.321428571428571,0.333333333333333,0.416666666666667,0.352941176470588,0.342857142857143,0.44,0.411764705882353,0.133333333333333,0.277777777777778,0.3,0.235294117647059
"A1D2",0.620689655172414,0.407407407407407,0,0.666666666666667,0.44,0.296296296296296,0.333333333333333,0.571428571428571,0.285714285714286,0.5,0.53125,0.5,0.533333333333333,0.567567567567568,0.552631578947368,0.6,0.333333333333333,0.115384615384615,0.25,0.407407407407407,0.222222222222222
"C073",0.625,0.387096774193548,0.666666666666667,0,0.32258064516129,0.290322580645161,0.366666666666667,0.484848484848485,0.32258064516129,0.375,0.45945945945946,0.585365853658537,0.5,0.536585365853659,0.6,0.394736842105263,0.366666666666667,0.133333333333333,0.25,0.303030303030303,0.117647058823529
"1F36",0.375,0.411764705882353,0.44,0.32258064516129,0,0.3125,0.466666666666667,0.5,0.294117647058824,0.5625,0.296296296296296,0.243243243243243,0.230769230769231,0.294117647058824,0.216216216216216,0.307692307692308,0.375,0.25,0.4,0.411764705882353,0.266666666666667
"4D10",0.391304347826087,0.4375,0.296296296296296,0.290322580645161,0.3125,0,0.5,0.45,0.3125,0.2,0.259259259259259,0.285714285714286,0.347826086956522,0.264705882352941,0.257142857142857,0.32,0.5,0.272727272727273,0.428571428571429,0.277777777777778,0.125
"CE1D",0.434782608695652,0.411764705882353,0.333333333333333,0.366666666666667,0.466666666666667,0.5,0,0.5,0.375,0.388888888888889,0.346153846153846,0.314285714285714,0.28,0.333333333333333,0.285714285714286,0.36,0.466666666666667,0.363636363636364,0.5,0.263157894736842,0.117647058823529
"1A0D",0.64,0.523809523809524,0.571428571428571,0.484848484848485,0.5,0.45,0.5,0,0.304347826086957,0.375,0.34375,0.5,0.428571428571429,0.529411764705882,0.472222222222222,0.5,0.428571428571429,0.210526315789474,0.380952380952381,0.391304347826087,0.285714285714286
"5440",0.269230769230769,0.333333333333333,0.285714285714286,0.32258064516129,0.294117647058824,0.3125,0.375,0.304347826086957,0,0.19047619047619,0.25,0.277777777777778,0.28,0.257142857142857,0.25,0.259259259259259,0.294117647058824,0.153846153846154,0.235294117647059,0.2,0
"5DED",0.5,0.285714285714286,0.5,0.375,0.5625,0.2,0.388888888888889,0.375,0.19047619047619,0,0.357142857142857,0.256410256410256,0.296296296296296,0.382352941176471,0.297297297297297,0.321428571428571,0.31578947368421,0.2,0.263157894736842,0.5,0.222222222222222
"4FCA",0.483870967741935,0.321428571428571,0.53125,0.45945945945946,0.296296296296296,0.259259259259259,0.346153846153846,0.34375,0.25,0.357142857142857,0,0.372093023255814,0.451612903225806,0.390243902439024,0.414634146341463,0.566666666666667,0.25,0.12,0.259259259259259,0.321428571428571,0.185185185185185
