"","5EBF3C","A1D2","61B2","4D10","CE1D","1A0D","94D3","9900","775E","5440","5DED","4FCA","4F91","5971","0832","A093","A4F8","900E","8712","E453","1338","5876","A0CF"
"5EBF3C",0,0.264705882352941,0.32258064516129,0.241379310344828,0.323529411764706,0.3,0.297297297297297,0.285714285714286,0.28125,0.285714285714286,0.333333333333333,0.341463414634146,0.257142857142857,0.275,0.333333333333333,0.256410256410256,0.255813953488372,0.28,0.319148936170213,0.28,0.3125,0.3,0
"A1D2",0.264705882352941,0,0.428571428571429,0.363636363636364,0.35,0.548387096774194,0.461538461538462,0.465116279069767,0.388888888888889,0.4,0.425,0.488372093023256,0.472222222222222,0.463414634146341,0.425,0.45,0.465116279069767,0.377358490566038,0.365384615384615,0.46,0.358490566037736,0.37037037037037,0.115384615384615
"61B2",0.32258064516129,0.428571428571429,0,0.387096774193548,0.333333333333333,0.4375,0.447368421052632,0.452380952380952,0.371428571428571,0.386363636363636,0.486486486486487,0.51219512195122,0.645161290322581,0.611111111111111,0.447368421052632,0.365853658536585,0.355555555555556,0.42,0.468085106382979,0.42,0.458333333333333,0.384615384615385,0.08
"4D10",0.241379310344828,0.363636363636364,0.387096774193548,0,0.382352941176471,0.366666666666667,0.388888888888889,0.435897435897436,0.303030303030303,0.4,0.388888888888889,0.390243902439024,0.4375,0.394736842105263,0.515151515151515,0.275,0.333333333333333,0.346938775510204,0.333333333333333,0.375,0.326530612244898,0.36734693877551,0.1
"CE1D",0.323529411764706,0.35,0.333333333333333,0.382352941176471,0,0.351351351351351,0.475,0.477272727272727,0.405405405405405,0.477272727272727,0.439024390243902,0.571428571428571,0.375,0.441860465116279,0.475,0.428571428571429,0.477272727272727,0.442307692307692,0.520833333333333,0.442307692307692,0.48,0.461538461538462,0.0689655172413793
"1A0D",0.3,0.548387096774194,0.4375,0.366666666666667,0.351351351351351,0,0.432432432432432,0.404761904761905,0.393939393939394,0.311111111111111,0.432432432432432,0.395348837209302,0.441176470588235,0.365853658536585,0.514285714285714,0.421052631578947,0.404761904761905,0.326923076923077,0.313725490196078,0.38,0.283018867924528,0.320754716981132,0.0416666666666667
"94D3",0.297297297297297,0.461538461538462,0.447368421052632,0.388888888888889,0.475,0.432432432432432,0,0.658536585365854,0.527777777777778,0.511111111111111,0.441860465116279,0.533333333333333,0.487179487179487,0.477272727272727,0.58974358974359,0.615384615384615,0.545454545454545,0.529411764705882,0.461538461538462,0.471698113207547,0.4,0.462962962962963,0.0967741935483871
"9900",0.285714285714286,0.465116279069767,0.452380952380952,0.435897435897436,0.477272727272727,0.404761904761905,0.658536585365854,0,0.525,0.644444444444444,0.545454545454545,0.595744680851064,0.488372093023256,0.51063829787234,0.619047619047619,0.604651162790698,0.541666666666667,0.647058823529412,0.518518518518518,0.615384615384615,0.482142857142857,0.545454545454545,0.0810810810810811
"775E",0.28125,0.388888888888889,0.371428571428571,0.303030303030303,0.405405405405405,0.393939393939394,0.527777777777778,0.525,0,0.418604651162791,0.486486486486487,0.347826086956522,0.378378378378378,0.348837209302326,0.41025641025641,0.4,0.386363636363636,0.42,0.326923076923077,0.339622641509434,0.272727272727273,0.309090909090909,0.125
"5440",0.285714285714286,0.4,0.386363636363636,0.4,0.477272727272727,0.311111111111111,0.511111111111111,0.644444444444444,0.418604651162791,0,0.511111111111111,0.5,0.422222222222222,0.448979591836735,0.545454545454545,0.5,0.510204081632653,0.647058823529412,0.607843137254902,0.647058823529412,0.537037037037037,0.60377358490566,0.0810810810810811
"5DED",0.333333333333333,0.425,0.486486486486487,0.388888888888889,0.439024390243902,0.432432432432432,0.441860465116279,0.545454545454545,0.486486486486487,0.511111111111111,0,0.468085106382979,0.487179487179487,0.585365853658537,0.51219512195122,0.5,0.446808510638298,0.529411764705882,0.433962264150943,0.5,0.452830188679245,0.436363636363636,0.0967741935483871
"4FCA",0.341463414634146,0.488372093023256,0.51219512195122,0.390243902439024,0.571428571428571,0.395348837209302,0.533333333333333,0.595744680851064,0.347826086956522,0.5,0.468085106382979,0,0.547619047619048,0.674418604651163,0.642857142857143,0.521739130434783,0.530612244897959,0.60377358490566,0.693877551020408,0.60377358490566,0.68,0.653846153846154,0.0512820512820513
"4F91",0.257142857142857,0.472222222222222,0.645161290322581,0.4375,0.375,0.441176470588235,0.487179487179487,0.488372093023256,0.378378378378378,0.422222222222222,0.487179487179487,0.547619047619048,0,0.48780487804878,0.487179487179487,0.372093023255814,0.391304347826087,0.510204081632653,0.5,0.48,0.431372549019608,0.415094339622642,0.111111111111111
"5971",0.275,0.463414634146341,0.611111111111111,0.394736842105263,0.441860465116279,0.365853658536585,0.477272727272727,0.51063829787234,0.348837209302326,0.448979591836735,0.585365853658537,0.674418604651163,0.48780487804878,0,0.511627906976744,0.404255319148936,0.42,0.528301886792453,0.549019607843137,0.528301886792453,0.666666666666667,0.547169811320755,0.0571428571428571
"0832",0.333333333333333,0.425,0.447368421052632,0.515151515151515,0.475,0.514285714285714,0.58974358974359,0.619047619047619,0.41025641025641,0.545454545454545,0.51219512195122,0.642857142857143,0.487179487179487,0.511627906976744,0,0.5,0.511111111111111,0.529411764705882,0.52,0.5,0.452830188679245,0.519230769230769,0.0625
"A093",0.256410256410256,0.45,0.365853658536585,0.275,0.428571428571429,0.421052631578947,0.615384615384615,0.604651162790698,0.4,0.5,0.5,0.521739130434783,0.372093023255814,0.404255319148936,0.5,0,0.533333333333333,0.462962962962963,0.452830188679245,0.490566037735849,0.392857142857143,0.454545454545455,0.0294117647058824
"A4F8",0.255813953488372,0.465116279069767,0.355555555555556,0.333333333333333,0.477272727272727,0.404761904761905,0.545454545454545,0.541666666666667,0.386363636363636,0.510204081632653,0.446808510638298,0.530612244897959,0.391304347826087,0.42,0.511111111111111,0.533333333333333,0,0.584905660377358,0.547169811320755,0.555555555555556,0.482142857142857,0.545454545454545,0.0810810810810811
"900E",0.28,0.377358490566038,0.42,0.346938775510204,0.442307692307692,0.326923076923077,0.529411764705882,0.647058823529412,0.42,0.647058823529412,0.529411764705882,0.60377358490566,0.510204081632653,0.528301886792453,0.529411764705882,0.462962962962963,0.584905660377358,0,0.735849056603774,0.678571428571429,0.660714285714286,0.759259259259259,0.0638297872340425
"8712",0.319148936170213,0.365384615384615,0.468085106382979,0.333333333333333,0.520833333333333,0.313725490196078,0.461538461538462,0.518518518518518,0.326923076923077,0.607843137254902,0.433962264150943,0.693877551020408,0.5,0.549019607843137,0.52,0.452830188679245,0.547169811320755,0.735849056603774,0,0.642857142857143,0.75,0.823529411764706,0.0434782608695652
"E453",0.28,0.46,0.42,0.375,0.442307692307692,0.38,0.471698113207547,0.615384615384615,0.339622641509434,0.647058823529412,0.5,0.60377358490566,0.48,0.528301886792453,0.5,0.490566037735849,0.555555555555556,0.678571428571429,0.642857142857143,0,0.660714285714286,0.610169491525424,0.0638297872340425
"1338",0.3125,0.358490566037736,0.458333333333333,0.326530612244898,0.48,0.283018867924528,0.4,0.482142857142857,0.272727272727273,0.537037037037037,0.452830188679245,0.68,0.431372549019608,0.666666666666667,0.452830188679245,0.392857142857143,0.482142857142857,0.660714285714286,0.75,0.660714285714286,0,0.773584905660377,0.0425531914893617
