"","A0CF","5EBF3C","A1D2","61B2","4D10","1A0D","94D3","9900","775E","5440","4FCA","4F91","0832","A093","A4F8","900E","8712","1338","E89B","238E","4107","A290"
"A0CF",0,0.272727272727273,0.461538461538462,0.217391304347826,0.62962962962963,0.62962962962963,0.136363636363636,0.552631578947368,0.0869565217391304,0.7,0.67741935483871,0.444444444444444,0.4375,0.0434782608695652,0.466666666666667,0.525,0.421052631578947,0.4,0.454545454545455,0.357142857142857,0.41304347826087,0.409090909090909
"5EBF3C",0.272727272727273,0,0.294117647058824,0.333333333333333,0.272727272727273,0.217391304347826,0.5,0.162162162162162,0.125,0.206896551724138,0.2,0.277777777777778,0.111111111111111,0.142857142857143,0.217391304347826,0.153846153846154,0.1875,0.238095238095238,0.142857142857143,0.108108108108108,0.113636363636364,0.121951219512195
"A1D2",0.461538461538462,0.294117647058824,0,0.294117647058824,0.407407407407407,0.357142857142857,0.1875,0.394736842105263,0.0555555555555556,0.40625,0.4375,0.375,0.379310344827586,0.0588235294117647,0.310344827586207,0.41025641025641,0.333333333333333,0.384615384615385,0.380952380952381,0.307692307692308,0.372093023255814,0.333333333333333
"61B2",0.217391304347826,0.333333333333333,0.294117647058824,0,0.272727272727273,0.272727272727273,0.5,0.162162162162162,0.125,0.166666666666667,0.2,0.210526315789474,0.2,0.142857142857143,0.272727272727273,0.125,0.151515151515152,0.3,0.142857142857143,0.171428571428571,0.13953488372093,0.121951219512195
"4D10",0.62962962962963,0.272727272727273,0.407407407407407,0.272727272727273,0,0.571428571428571,0.136363636363636,0.552631578947368,0.0416666666666667,0.645161290322581,0.733333333333333,0.625,0.586206896551724,0.0434782608695652,0.517241379310345,0.525,0.421052631578947,0.448275862068966,0.454545454545455,0.390243902439024,0.41304347826087,0.409090909090909
"1A0D",0.62962962962963,0.217391304347826,0.357142857142857,0.272727272727273,0.571428571428571,0,0.136363636363636,0.594594594594595,0.0416666666666667,0.645161290322581,0.67741935483871,0.5,0.483870967741935,0.0434782608695652,0.517241379310345,0.48780487804878,0.35,0.5,0.454545454545455,0.425,0.477272727272727,0.441860465116279
"94D3",0.136363636363636,0.5,0.1875,0.5,0.136363636363636,0.136363636363636,0,0.0810810810810811,0.2,0.103448275862069,0.1,0.111111111111111,0.08,0.25,0.136363636363636,0.0769230769230769,0.09375,0.15,0.0714285714285714,0.0857142857142857,0.0697674418604651,0.075
"9900",0.552631578947368,0.162162162162162,0.394736842105263,0.162162162162162,0.552631578947368,0.594594594594595,0.0810810810810811,0,0.0256410256410256,0.692307692307692,0.763157894736842,0.421052631578947,0.564102564102564,0.0263157894736842,0.512820512820513,0.80952380952381,0.533333333333333,0.425,0.755555555555556,0.565217391304348,0.666666666666667,0.638297872340426
"775E",0.0869565217391304,0.125,0.0555555555555556,0.125,0.0416666666666667,0.0416666666666667,0.2,0.0256410256410256,0,0.0666666666666667,0.03125,0.0526315789473684,0.0384615384615385,0.25,0.0416666666666667,0.05,0.0606060606060606,0.0454545454545455,0.0227272727272727,0.027027027027027,0.0222222222222222,0.0238095238095238
"5440",0.7,0.206896551724138,0.40625,0.166666666666667,0.645161290322581,0.645161290322581,0.103448275862069,0.692307692307692,0.0666666666666667,0,0.685714285714286,0.483870967741935,0.558823529411765,0.0333333333333333,0.457142857142857,0.743589743589744,0.564102564102564,0.4,0.577777777777778,0.488372093023256,0.5,0.568181818181818
"4FCA",0.67741935483871,0.2,0.4375,0.2,0.733333333333333,0.67741935483871,0.1,0.763157894736842,0.03125,0.685714285714286,0,0.516129032258065,0.6875,0.032258064516129,0.529411764705882,0.682926829268293,0.476190476190476,0.428571428571429,0.636363636363636,0.511627906976744,0.58695652173913,0.555555555555556
"4F91",0.444444444444444,0.277777777777778,0.375,0.210526315789474,0.625,0.5,0.111111111111111,0.421052631578947,0.0526315789473684,0.483870967741935,0.516129032258065,0,0.518518518518518,0,0.392857142857143,0.4,0.324324324324324,0.48,0.372093023255814,0.3,0.363636363636364,0.295454545454545
"0832",0.4375,0.111111111111111,0.379310344827586,0.2,0.586206896551724,0.483870967741935,0.08,0.564102564102564,0.0384615384615385,0.558823529411765,0.6875,0.518518518518518,0,0,0.533333333333333,0.536585365853659,0.4,0.419354838709677,0.5,0.439024390243902,0.488888888888889,0.454545454545455
"A093",0.0434782608695652,0.142857142857143,0.0588235294117647,0.142857142857143,0.0434782608695652,0.0434782608695652,0.25,0.0263157894736842,0.25,0.0333333333333333,0.032258064516129,0,0,0,0.0434782608695652,0.025,0.0303030303030303,0.0476190476190476,0.0232558139534884,0.0277777777777778,0.0227272727272727,0.024390243902439
"A4F8",0.466666666666667,0.217391304347826,0.310344827586207,0.272727272727273,0.517241379310345,0.517241379310345,0.136363636363636,0.512820512820513,0.0416666666666667,0.457142857142857,0.529411764705882,0.392857142857143,0.533333333333333,0.0434782608695652,0,0.452380952380952,0.45945945945946,0.5,0.422222222222222,0.425,0.444444444444444,0.441860465116279
"900E",0.525,0.153846153846154,0.41025641025641,0.125,0.525,0.48780487804878,0.0769230769230769,0.80952380952381,0.05,0.743589743589744,0.682926829268293,0.4,0.536585365853659,0.025,0.452380952380952,0,0.651162790697674,0.404761904761905,0.760869565217391,0.574468085106383,0.64,0.680851063829787
"8712",0.421052631578947,0.1875,0.333333333333333,0.151515151515152,0.421052631578947,0.35,0.09375,0.533333333333333,0.0606060606060606,0.564102564102564,0.476190476190476,0.324324324324324,0.4,0.0303030303030303,0.45945945945946,0.651162790697674,0,0.368421052631579,0.541666666666667,0.558139534883721,0.5,0.6
"1338",0.4,0.238095238095238,0.384615384615385,0.3,0.448275862068966,0.5,0.15,0.425,0.0454545454545455,0.4,0.428571428571429,0.48,0.419354838709677,0.0476190476190476,0.5,0.404761904761905,0.368421052631579,0,0.441860465116279,0.375,0.465116279069767,0.428571428571429
"E89B",0.454545454545455,0.142857142857143,0.380952380952381,0.142857142857143,0.454545454545455,0.454545454545455,0.0714285714285714,0.755555555555556,0.0227272727272727,0.577777777777778,0.636363636363636,0.372093023255814,0.5,0.0232558139534884,0.422222222222222,0.760869565217391,0.541666666666667,0.441860465116279,0,0.638297872340426,0.808510638297872,0.782608695652174
"238E",0.357142857142857,0.108108108108108,0.307692307692308,0.171428571428571,0.390243902439024,0.425,0.0857142857142857,0.565217391304348,0.027027027027027,0.488372093023256,0.511627906976744,0.3,0.439024390243902,0.0277777777777778,0.425,0.574468085106383,0.558139534883721,0.375,0.638297872340426,0,0.659574468085106,0.595744680851064
"4107",0.41304347826087,0.113636363636364,0.372093023255814,0.13953488372093,0.41304347826087,0.477272727272727,0.0697674418604651,0.666666666666667,0.0222222222222222,0.5,0.58695652173913,0.363636363636364,0.488888888888889,0.0227272727272727,0.444444444444444,0.64,0.5,0.465116279069767,0.808510638297872,0.659574468085106,0,0.804347826086957
