"","5EBF3C","A1D2","775E","5440","4FCA","4F91","A093","A4F8","8712","1338","E89B","238E","0E3A","110D","175F","1E39","2562","28F0","FA6F","1A0D","94D3","9900","4107","A290","4D10","0832"
"5EBF3C",0,0.655172413793103,0.655172413793103,0.566666666666667,0.714285714285714,0.576923076923077,0.703703703703704,0.6,0.628571428571429,0.620689655172414,0.363636363636364,0.612903225806452,0.222222222222222,0.485714285714286,0.485714285714286,0.580645161290323,0.432432432432432,0.6,0.515151515151515,0.518518518518518,0.642857142857143,0.575757575757576,0.481481481481481,0.4,0.384615384615385,0.68
"A1D2",0.655172413793103,0,0.724137931034483,0.53125,0.666666666666667,0.592592592592593,0.714285714285714,0.724137931034483,0.594594594594595,0.814814814814815,0.516129032258065,0.625,0.296296296296296,0.542857142857143,0.588235294117647,0.59375,0.61764705882353,0.5625,0.67741935483871,0.535714285714286,0.655172413793103,0.636363636363636,0.448275862068966,0.466666666666667,0.407407407407407,0.62962962962963
"775E",0.655172413793103,0.724137931034483,0,0.484848484848485,0.851851851851852,0.72,0.777777777777778,0.785714285714286,0.685714285714286,0.884615384615385,0.566666666666667,0.67741935483871,0.296296296296296,0.588235294117647,0.636363636363636,0.545454545454545,0.527777777777778,0.612903225806452,0.67741935483871,0.72,0.846153846153846,0.6875,0.615384615384615,0.517241379310345,0.461538461538462,0.62962962962963
"5440",0.566666666666667,0.53125,0.484848484848485,0,0.441176470588235,0.448275862068966,0.46875,0.441176470588235,0.611111111111111,0.5,0.393939393939394,0.59375,0.214285714285714,0.558823529411765,0.514285714285714,0.515151515151515,0.588235294117647,0.53125,0.457142857142857,0.448275862068966,0.46875,0.514285714285714,0.413793103448276,0.482758620689655,0.321428571428571,0.433333333333333
"4FCA",0.714285714285714,0.666666666666667,0.851851851851852,0.441176470588235,0,0.592592592592593,0.846153846153846,0.724137931034483,0.735294117647059,0.814814814814815,0.516129032258065,0.733333333333333,0.25,0.542857142857143,0.542857142857143,0.59375,0.486486486486487,0.666666666666667,0.625,0.653846153846154,0.714285714285714,0.636363636363636,0.555555555555556,0.571428571428571,0.407407407407407,0.692307692307692
"4F91",0.576923076923077,0.592592592592593,0.72,0.448275862068966,0.592592592592593,0,0.576923076923077,0.535714285714286,0.485714285714286,0.68,0.481481481481481,0.5,0.217391304347826,0.424242424242424,0.46875,0.375,0.411764705882353,0.433333333333333,0.5,0.636363636363636,0.576923076923077,0.566666666666667,0.458333333333333,0.37037037037037,0.409090909090909,0.608695652173913
"A093",0.703703703703704,0.714285714285714,0.777777777777778,0.46875,0.846153846153846,0.576923076923077,0,0.714285714285714,0.676470588235294,0.807692307692308,0.551724137931034,0.724137931034483,0.269230769230769,0.485714285714286,0.485714285714286,0.633333333333333,0.472222222222222,0.655172413793103,0.5625,0.576923076923077,0.703703703703704,0.625,0.538461538461538,0.555555555555556,0.44,0.826086956521739
"A4F8",0.6,0.724137931034483,0.785714285714286,0.441176470588235,0.724137931034483,0.535714285714286,0.714285714285714,0,0.638888888888889,0.75,0.566666666666667,0.625,0.296296296296296,0.542857142857143,0.542857142857143,0.545454545454545,0.527777777777778,0.5625,0.625,0.535714285714286,0.714285714285714,0.6875,0.5,0.419354838709677,0.407407407407407,0.571428571428571
"8712",0.628571428571429,0.594594594594595,0.685714285714286,0.611111111111111,0.735294117647059,0.485714285714286,0.676470588235294,0.638888888888889,0,0.657142857142857,0.513513513513513,0.742857142857143,0.222222222222222,0.75,0.75,0.666666666666667,0.72972972972973,0.735294117647059,0.694444444444444,0.529411764705882,0.628571428571429,0.702702702702703,0.457142857142857,0.558823529411765,0.342857142857143,0.558823529411765
"1338",0.620689655172414,0.814814814814815,0.884615384615385,0.5,0.814814814814815,0.68,0.807692307692308,0.75,0.657142857142857,0,0.642857142857143,0.758620689655172,0.307692307692308,0.514285714285714,0.558823529411765,0.5625,0.588235294117647,0.580645161290323,0.645161290322581,0.68,0.740740740740741,0.65625,0.518518518518518,0.535714285714286,0.48,0.72
