"","5EBF3C","A1D2","4D10","94D3","9900","775E","5440","4FCA","0832","A093","A4F8","8712","1338","238E","4107","A290","175F","1E39","2562","ED72","D8F5","FBF5","F886","DB0A","6587","FA5B","1A0D","E89B","110D"
"5EBF3C",0,0.615384615384615,0.19047619047619,0.478260869565217,0.571428571428571,0.68,0.538461538461538,0.608695652173913,0.608695652173913,0.666666666666667,0.64,0.68,0.5,0.695652173913043,0.576923076923077,0.615384615384615,0.217391304347826,0.576923076923077,0.580645161290323,0.5,0.580645161290323,0.703703703703704,0.633333333333333,0.217391304347826,0.592592592592593,0.483870967741935,0.304347826086957,0.433333333333333,0.586206896551724
"A1D2",0.615384615384615,0,0.19047619047619,0.478260869565217,0.571428571428571,0.75,0.6,0.608695652173913,0.608695652173913,0.666666666666667,0.576923076923077,0.68,0.448275862068966,0.625,0.708333333333333,0.5,0.166666666666667,0.518518518518518,0.580645161290323,0.457142857142857,0.53125,0.703703703703704,0.580645161290323,0.217391304347826,0.592592592592593,0.483870967741935,0.363636363636364,0.535714285714286,0.483870967741935
"4D10",0.19047619047619,0.19047619047619,0,0.214285714285714,0.173913043478261,0.19047619047619,0.210526315789474,0.25,0.25,0.15,0.2,0.19047619047619,0.19047619047619,0.222222222222222,0.2,0.19047619047619,0.375,0.2,0.142857142857143,0.133333333333333,0.142857142857143,0.16,0.142857142857143,0.222222222222222,0.181818181818182,0.115384615384615,0.0833333333333333,0.130434782608696,0.115384615384615
"94D3",0.478260869565217,0.478260869565217,0.214285714285714,0,0.44,0.478260869565217,0.333333333333333,0.611111111111111,0.611111111111111,0.454545454545455,0.5,0.619047619047619,0.545454545454545,0.722222222222222,0.571428571428571,0.478260869565217,0.333333333333333,0.571428571428571,0.464285714285714,0.34375,0.413793103448276,0.461538461538462,0.366666666666667,0.25,0.458333333333333,0.407407407407407,0.375,0.4,0.357142857142857
"9900",0.571428571428571,0.571428571428571,0.173913043478261,0.44,0,0.517241379310345,0.555555555555556,0.56,0.625,0.5,0.653846153846154,0.571428571428571,0.571428571428571,0.518518518518518,0.535714285714286,0.571428571428571,0.2,0.592592592592593,0.5,0.709677419354839,0.758620689655172,0.714285714285714,0.645161290322581,0.25,0.666666666666667,0.714285714285714,0.391304347826087,0.666666666666667,0.6
"775E",0.68,0.75,0.19047619047619,0.478260869565217,0.517241379310345,0,0.538461538461538,0.681818181818182,0.608695652173913,0.666666666666667,0.782608695652174,0.75,0.615384615384615,0.695652173913043,0.708333333333333,0.68,0.166666666666667,0.64,0.53125,0.5,0.580645161290323,0.769230769230769,0.53125,0.272727272727273,0.592592592592593,0.483870967741935,0.363636363636364,0.482758620689655,0.586206896551724
"5440",0.538461538461538,0.6,0.210526315789474,0.333333333333333,0.555555555555556,0.538461538461538,0,0.521739130434783,0.521739130434783,0.583333333333333,0.56,0.538461538461538,0.428571428571429,0.48,0.56,0.538461538461538,0.181818181818182,0.5,0.46875,0.484848484848485,0.516129032258065,0.571428571428571,0.46875,0.181818181818182,0.576923076923077,0.419354838709677,0.272727272727273,0.413793103448276,0.466666666666667
"4FCA",0.608695652173913,0.608695652173913,0.25,0.611111111111111,0.56,0.681818181818182,0.521739130434783,0,0.68421052631579,0.521739130434783,0.714285714285714,0.681818181818182,0.608695652173913,0.619047619047619,0.565217391304348,0.608695652173913,0.277777777777778,0.565217391304348,0.466666666666667,0.4375,0.466666666666667,0.64,0.466666666666667,0.277777777777778,0.583333333333333,0.366666666666667,0.388888888888889,0.357142857142857,0.464285714285714
"0832",0.608695652173913,0.608695652173913,0.25,0.611111111111111,0.625,0.608695652173913,0.521739130434783,0.68421052631579,0,0.521739130434783,0.8,0.608695652173913,0.608695652173913,0.7,0.565217391304348,0.761904761904762,0.277777777777778,0.714285714285714,0.466666666666667,0.533333333333333,0.517241379310345,0.576923076923077,0.466666666666667,0.277777777777778,0.727272727272727,0.518518518518518,0.5625,0.52,0.576923076923077
"A093",0.666666666666667,0.666666666666667,0.15,0.454545454545455,0.5,0.666666666666667,0.583333333333333,0.521739130434783,0.521739130434783,0,0.56,0.6,0.428571428571429,0.541666666666667,0.695652173913043,0.538461538461538,0.130434782608696,0.5,0.516129032258065,0.441176470588235,0.46875,0.571428571428571,0.46875,0.238095238095238,0.576923076923077,0.419354838709677,0.4,0.464285714285714,0.466666666666667
